,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
3131,7.0,5.0,116.0,0.58,21100.0,12300.0,37.0,123.0,171.54471544715446,153.11617813858066,7.0,5.691056910569105,0.9269718903245024,2.0,155.33333333333303,10310.0,10100.0,23.0,101.0,102.07920792079209,43.76091045751278,13.0,12.871287128712872,3.182723023430018,1.0,87.5
3169,7.0,5.0,129.0,0.54,21890.0,13100.0,37.0,131.0,167.09923664122138,159.62988345402556,8.0,6.106870229007633,1.1576909074887864,2.0,98.0,12240.0,11200.0,23.0,112.0,109.28571428571428,39.30431836158611,15.0,13.392857142857142,3.219242210235705,2.0,76.75925925925924
3175,7.0,5.0,131.0,0.54,21890.0,13300.0,37.0,133.0,164.58646616541353,151.71345600246053,8.0,6.015037593984962,1.1402820216618872,2.0,98.0,12240.0,10500.0,23.0,105.0,116.57142857142856,40.59869665716087,15.0,14.285714285714285,3.4338583575847514,2.0,76.75925925925924
3178,7.0,5.0,132.0,0.54,21890.0,13300.0,37.0,133.0,164.58646616541353,164.1261948600314,8.0,6.015037593984962,1.1402820216618872,2.0,98.0,12240.0,10700.0,23.0,107.0,114.39252336448598,36.159609568391794,15.0,14.018691588785046,3.3696740892186816,2.0,76.75925925925924
3181,7.0,5.0,133.0,0.54,21890.0,12800.0,37.0,128.0,171.015625,162.3447378307958,8.0,6.25,1.1848242881330548,2.0,98.0,12240.0,10400.0,23.0,104.0,117.6923076923077,37.74366332264761,15.0,14.423076923076922,3.4668762264076816,2.0,76.75925925925924
3184,7.0,5.0,134.0,0.54,21890.0,12400.0,37.0,124.0,176.53225806451613,174.7678860419468,8.0,6.451612903225806,1.2230444264599274,2.0,98.0,10810.0,10100.0,23.0,101.0,107.02970297029704,42.2993297305676,14.0,13.861386138613865,3.748454353663546,1.0,95.92592592592598
3187,7.0,5.0,135.0,0.54,21100.0,12400.0,37.0,124.0,170.16129032258064,153.17574685603762,7.0,5.64516129032258,0.9194963105638212,2.0,155.33333333333303,12240.0,10000.0,23.0,100.0,122.4,38.28639278733444,15.0,15.0,3.605551275463989,2.0,76.75925925925924
3190,7.0,5.0,136.0,0.54,21890.0,12200.0,37.0,122.0,179.4262295081967,188.3135237924253,8.0,6.557377049180328,1.2430943350904182,2.0,98.0,10310.0,9800.0,23.0,98.0,105.20408163265309,36.09182581875818,13.0,13.26530612244898,3.280153320065631,1.0,87.5
3234,7.0,5.0,151.0,0.5,21890.0,13200.0,37.0,132.0,165.83333333333334,147.81988747002424,8.0,6.0606060606060606,1.1489205218259926,2.0,98.0,11750.0,10800.0,23.0,108.0,108.7962962962963,34.652201277828674,15.0,13.88888888888889,3.20750149549792,1.0,103.7037037037038
3240,7.0,5.0,153.0,0.5,21100.0,12700.0,37.0,127.0,166.14173228346456,149.4735749027719,7.0,5.511811023622047,0.8977759252749118,2.0,155.33333333333303,10810.0,10400.0,23.0,104.0,103.94230769230772,39.51462588658425,14.0,13.461538461538462,3.640325862692483,1.0,95.92592592592598
3243,7.0,5.0,154.0,0.5,21890.0,13000.0,37.0,130.0,168.3846153846154,147.17141833332147,8.0,6.153846153846154,1.166596222161777,2.0,98.0,12240.0,10500.0,23.0,105.0,116.57142857142856,39.62732859820619,15.0,14.285714285714285,3.4338583575847514,2.0,76.75925925925924
