,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
8,1.0,5.0,83.0,0.58,46650.0,42400.0,69.0,424.0,110.02358490566036,22.770833968184835,35.0,8.254716981132075,0.2888549224980162,3.0,620.4642857142858,23490.0,24300.0,35.0,243.0,96.66666666666669,28.34307373660853,29.0,11.934156378600823,0.9503708134808656,2.0,13.852813852813938
10,1.0,5.0,84.0,0.54,47480.0,47300.0,69.0,473.0,100.38054968287528,19.50624853642494,36.0,7.610993657505285,0.2756533786555031,3.0,604.6785714285713,26680.0,27900.0,35.0,279.0,95.62724014336918,43.30439031195744,31.0,11.11111111111111,1.0950001660587432,1.0,33.736263736263595
11,1.0,5.0,84.0,0.58,42380.0,41800.0,69.0,418.0,101.38755980861244,39.83205402979591,34.0,8.133971291866029,0.393102313998923,3.0,497.4642857142858,22640.0,23900.0,35.0,239.0,94.72803347280336,24.1367928045799,28.0,11.715481171548117,0.8709899579356204,2.0,24.42857142857133
13,1.0,5.0,85.0,0.54,47480.0,47000.0,69.0,470.0,101.0212765957447,20.353267833955854,36.0,7.659574468085106,0.2774128683064957,3.0,604.6785714285713,26680.0,27600.0,35.0,276.0,96.66666666666669,44.92381728887093,31.0,11.231884057971014,1.106902341776773,1.0,33.736263736263595
16,1.0,5.0,86.0,0.54,47480.0,46900.0,69.0,469.0,101.2366737739872,20.88330080600443,36.0,7.675906183368871,0.2780043669596012,3.0,604.6785714285713,26680.0,27500.0,35.0,275.0,97.01818181818182,44.84936712691003,31.0,11.272727272727272,1.1109274412014158,1.0,33.736263736263595
17,1.0,5.0,86.0,0.58,41690.0,41200.0,69.0,412.0,101.18932038834951,38.15592250917204,33.0,8.009708737864079,0.3681007497112403,3.0,538.25,22640.0,23600.0,35.0,236.0,95.9322033898305,23.876484543444143,28.0,11.864406779661016,0.8820618641805646,2.0,24.42857142857133
19,1.0,5.0,87.0,0.54,47480.0,46600.0,69.0,466.0,101.88841201716738,21.309253904363334,36.0,7.725321888412018,0.2797940946438906,3.0,604.6785714285713,26680.0,27100.0,35.0,271.0,98.45018450184502,43.995003035969695,31.0,11.439114391143912,1.1273248942080785,1.0,33.736263736263595
22,1.0,5.0,88.0,0.54,47480.0,45700.0,69.0,457.0,103.89496717724288,20.88408660344652,36.0,7.87746170678337,0.2853042628097439,3.0,604.6785714285713,26680.0,26700.0,35.0,267.0,99.9250936329588,44.14495079819686,31.0,11.610486891385769,1.144213656668125,1.0,33.736263736263595
26,1.0,5.0,89.0,0.58,40360.0,39000.0,69.0,390.0,103.48717948717947,40.024029043410096,32.0,8.205128205128204,0.3440104580768907,3.0,563.8571428571427,22640.0,21600.0,35.0,216.0,104.8148148148148,25.255799389727414,28.0,12.962962962962962,0.9637342590120986,2.0,24.42857142857133
28,1.0,5.0,90.0,0.54,47480.0,45100.0,69.0,451.0,105.27716186252772,21.52073779152895,36.0,7.982261640798225,0.2890998849313813,3.0,604.6785714285713,26680.0,26600.0,35.0,266.0,100.30075187969923,44.06241299820935,31.0,11.654135338345863,1.148515211768381,1.0,33.736263736263595
