,place_name,date_cate,income,num_date,num_plus_day,num_minus_day
0,amagasaki,first,-28600.0,21,28.571,61.905
1,amagasaki,last,-38200.0,21,19.048,71.429
2,amagasaki,other,-222600.0,75,20.0,73.333
3,asiya,first,-43300.0,21,9.524,76.19
4,asiya,last,2700.0,21,14.286,71.429
5,asiya,other,-43100.0,76,17.105,67.105
6,biwako,first,-80900.0,18,16.667,83.333
7,biwako,last,-86600.0,18,22.222,77.778
8,biwako,other,-163200.0,68,17.647,82.353
9,edogawa,first,-19800.0,19,15.789,31.579
10,edogawa,last,-29300.0,19,10.526,52.632
11,edogawa,other,-322000.0,68,23.529,44.118
12,fukuoka,first,-13300.0,17,29.412,64.706
13,fukuoka,last,42800.0,17,29.412,58.824
14,fukuoka,other,-16700.0,66,27.273,68.182
15,gamagori,first,-48400.0,21,38.095,61.905
16,gamagori,last,-104800.0,21,14.286,80.952
17,gamagori,other,-645100.0,78,19.231,80.769
18,hamanako,first,-153200.0,22,22.727,77.273
19,hamanako,last,-77800.0,22,27.273,72.727
20,hamanako,other,-134200.0,76,31.579,68.421
21,heiwazima,first,-22200.0,16,37.5,62.5
22,heiwazima,last,30300.0,16,37.5,62.5
23,heiwazima,other,-101400.0,54,25.926,72.222
24,karatu,first,-40100.0,23,26.087,69.565
25,karatu,last,-58900.0,23,34.783,65.217
26,karatu,other,-234400.0,80,25.0,73.75
27,kiryu,first,-55600.0,19,21.053,78.947
28,kiryu,last,-75100.0,19,5.263,89.474
29,kiryu,other,-38300.0,70,25.714,74.286
30,kozima,first,-75800.0,21,14.286,85.714
31,kozima,last,-89400.0,21,9.524,85.714
32,kozima,other,-44800.0,79,31.646,67.089
33,marugame,first,-84800.0,23,13.043,82.609
34,marugame,last,-49800.0,23,13.043,82.609
35,marugame,other,-125100.0,84,25.0,69.048
36,mikuni,first,127700.0,18,50.0,38.889
37,mikuni,last,-400.0,18,11.111,72.222
38,mikuni,other,-215000.0,70,25.714,64.286
39,miyazima,first,-10300.0,22,27.273,68.182
40,miyazima,last,2800.0,22,18.182,77.273
41,miyazima,other,-112400.0,79,15.19,78.481
42,naruto,first,-119400.0,18,16.667,77.778
43,naruto,last,-15400.0,18,33.333,66.667
44,naruto,other,-216000.0,57,31.579,66.667
45,omura,first,7300.0,20,20.0,75.0
46,omura,last,-19300.0,20,20.0,75.0
47,omura,other,-321800.0,74,16.216,81.081
48,simonoseki,first,-44600.0,18,27.778,50.0
49,simonoseki,last,37100.0,18,27.778,66.667
50,simonoseki,other,-229500.0,64,18.75,71.875
51,suminoe,first,-700.0,20,35.0,65.0
52,suminoe,last,-19500.0,20,25.0,75.0
53,suminoe,other,-123800.0,73,27.397,72.603
54,tamagawa,first,-100500.0,21,9.524,80.952
55,tamagawa,last,19500.0,21,38.095,57.143
56,tamagawa,other,-56100.0,70,27.143,65.714
57,toda,first,-18200.0,21,23.81,76.19
58,toda,last,22000.0,21,33.333,52.381
59,toda,other,376400.0,66,36.364,57.576
60,tokoname,first,-63000.0,25,16.0,72.0
61,tokoname,last,-34100.0,25,28.0,56.0
62,tokoname,other,-277900.0,70,15.714,71.429
63,tu,first,7600.0,14,28.571,50.0
64,tu,last,-132200.0,14,7.143,85.714
65,tu,other,-271700.0,55,18.182,67.273
66,wakamatu,first,-69100.0,20,10.0,75.0
67,wakamatu,last,-50600.0,20,5.0,75.0
68,wakamatu,other,-73000.0,73,20.548,65.753
