,place_name,num_date,income,date_count,num_plus_day,num_minus_day
0,amagasaki,1.0,-28600.0,21,28.571,61.905
1,amagasaki,2.0,-103000.0,21,14.286,80.952
2,amagasaki,3.0,-70900.0,21,14.286,80.952
3,amagasaki,4.0,-63300.0,21,23.81,71.429
4,amagasaki,5.0,-2400.0,19,31.579,63.158
5,amagasaki,6.0,-21200.0,13,15.385,69.231
6,amagasaki,7.0,,1,0.0,0.0
7,asiya,1.0,-43300.0,21,9.524,76.19
8,asiya,2.0,-14500.0,21,23.81,57.143
9,asiya,3.0,-22600.0,21,19.048,66.667
10,asiya,4.0,8300.0,21,19.048,71.429
11,asiya,5.0,-12500.0,19,5.263,78.947
12,asiya,6.0,900.0,15,13.333,66.667
13,biwako,1.0,-80900.0,18,16.667,83.333
14,biwako,2.0,26400.0,18,33.333,66.667
15,biwako,3.0,-81700.0,18,11.111,88.889
16,biwako,4.0,-47100.0,18,16.667,83.333
17,biwako,5.0,-79800.0,17,5.882,94.118
18,biwako,6.0,-67600.0,15,26.667,73.333
19,edogawa,1.0,-19800.0,19,15.789,31.579
20,edogawa,2.0,-98400.0,19,21.053,36.842
21,edogawa,3.0,-27900.0,19,21.053,42.105
22,edogawa,4.0,-110200.0,19,26.316,42.105
23,edogawa,5.0,-73500.0,13,15.385,61.538
24,edogawa,6.0,-98100.0,12,16.667,50.0
25,edogawa,7.0,56800.0,5,20.0,60.0
26,fukuoka,1.0,-13300.0,17,29.412,64.706
27,fukuoka,2.0,-46800.0,17,11.765,82.353
28,fukuoka,3.0,-35000.0,17,23.529,64.706
29,fukuoka,4.0,30100.0,17,47.059,52.941
30,fukuoka,5.0,78900.0,17,29.412,70.588
31,fukuoka,6.0,-1100.0,15,26.667,60.0
32,gamagori,1.0,-48400.0,21,38.095,61.905
33,gamagori,2.0,-180700.0,21,19.048,80.952
34,gamagori,3.0,-137600.0,21,23.81,76.19
35,gamagori,4.0,-219200.0,21,9.524,90.476
36,gamagori,5.0,-127800.0,19,21.053,78.947
37,gamagori,6.0,-73600.0,16,18.75,75.0
38,gamagori,7.0,-11000.0,1,0.0,100.0
39,hamanako,1.0,-153200.0,22,22.727,77.273
40,hamanako,2.0,-135300.0,22,31.818,68.182
41,hamanako,3.0,153800.0,22,50.0,50.0
42,hamanako,4.0,-70600.0,22,22.727,77.273
43,hamanako,5.0,-68000.0,19,21.053,78.947
44,hamanako,6.0,-59900.0,11,27.273,72.727
45,hamanako,7.0,-32000.0,2,0.0,100.0
46,heiwazima,1.0,-22200.0,16,37.5,62.5
47,heiwazima,2.0,-47300.0,16,25.0,75.0
48,heiwazima,3.0,-19500.0,16,31.25,68.75
49,heiwazima,4.0,9000.0,16,18.75,75.0
50,heiwazima,5.0,44800.0,13,46.154,53.846
51,heiwazima,6.0,-58100.0,9,22.222,77.778
52,karatu,1.0,-40100.0,23,26.087,69.565
53,karatu,2.0,-40000.0,23,26.087,69.565
54,karatu,3.0,-99900.0,23,17.391,82.609
55,karatu,4.0,-53200.0,23,34.783,65.217
56,karatu,5.0,2100.0,17,35.294,64.706
57,karatu,6.0,-105000.0,15,20.0,80.0
58,karatu,7.0,2700.0,2,50.0,50.0
59,kiryu,1.0,-55600.0,19,21.053,78.947
60,kiryu,2.0,69700.0,19,36.842,63.158
61,kiryu,3.0,-52000.0,19,15.789,84.211
62,kiryu,4.0,-68200.0,19,10.526,89.474
63,kiryu,5.0,-2400.0,18,33.333,66.667
64,kiryu,6.0,-57500.0,13,7.692,84.615
65,kiryu,7.0,-3000.0,1,0.0,100.0
66,kozima,1.0,-75800.0,21,14.286,85.714
67,kozima,2.0,15600.0,21,38.095,61.905
68,kozima,3.0,-88700.0,21,14.286,85.714
69,kozima,4.0,33000.0,21,38.095,61.905
70,kozima,5.0,-10900.0,19,36.842,57.895
71,kozima,6.0,-83200.0,18,5.556,88.889
72,marugame,1.0,-84800.0,23,13.043,82.609
73,marugame,2.0,-65500.0,23,21.739,73.913
74,marugame,3.0,-62700.0,23,17.391,78.261
75,marugame,4.0,-24000.0,23,34.783,60.87
76,marugame,5.0,-19200.0,20,20.0,75.0
77,marugame,6.0,-11700.0,14,14.286,78.571
78,marugame,7.0,8200.0,4,25.0,50.0
79,mikuni,1.0,127700.0,18,50.0,38.889
80,mikuni,2.0,-80800.0,18,16.667,72.222
81,mikuni,3.0,-71600.0,18,16.667,72.222
82,mikuni,4.0,-45800.0,18,33.333,61.111
83,mikuni,5.0,-44900.0,17,29.412,58.824
84,mikuni,6.0,42500.0,14,21.429,64.286
85,mikuni,7.0,-14800.0,3,0.0,66.667
86,miyazima,1.0,-10300.0,22,27.273,68.182
87,miyazima,2.0,22700.0,22,18.182,77.273
88,miyazima,3.0,-95300.0,22,9.091,86.364
89,miyazima,4.0,-22600.0,22,13.636,72.727
90,miyazima,5.0,-61600.0,17,5.882,88.235
91,miyazima,6.0,56200.0,14,35.714,64.286
92,miyazima,7.0,-9000.0,4,25.0,75.0
93,naruto,1.0,-119400.0,18,16.667,77.778
94,naruto,2.0,-152600.0,18,27.778,66.667
95,naruto,3.0,-44200.0,18,38.889,61.111
96,naruto,4.0,8000.0,18,27.778,72.222
97,naruto,5.0,-77600.0,14,28.571,71.429
98,naruto,6.0,35000.0,7,42.857,57.143
99,omura,1.0,7300.0,20,20.0,75.0
100,omura,2.0,-116900.0,20,15.0,80.0
101,omura,3.0,-45500.0,20,25.0,70.0
102,omura,4.0,-96400.0,20,5.0,90.0
103,omura,5.0,-52600.0,16,18.75,81.25
104,omura,6.0,16300.0,13,30.769,69.231
105,omura,7.0,-46000.0,5,0.0,100.0
106,simonoseki,1.0,-44600.0,18,27.778,50.0
107,simonoseki,2.0,-107400.0,18,11.111,83.333
108,simonoseki,3.0,-60400.0,18,16.667,77.778
109,simonoseki,4.0,-27500.0,18,22.222,66.667
110,simonoseki,5.0,-15200.0,15,40.0,53.333
111,simonoseki,6.0,-32000.0,9,11.111,77.778
112,simonoseki,7.0,50100.0,4,25.0,50.0
113,suminoe,1.0,-700.0,20,35.0,65.0
114,suminoe,2.0,-54100.0,20,20.0,80.0
115,suminoe,3.0,-18600.0,20,40.0,60.0
116,suminoe,4.0,-13500.0,20,25.0,75.0
117,suminoe,5.0,-78900.0,16,18.75,81.25
118,suminoe,6.0,29400.0,14,28.571,71.429
119,suminoe,7.0,-7600.0,3,33.333,66.667
120,tamagawa,1.0,-100500.0,21,9.524,80.952
121,tamagawa,2.0,5400.0,21,23.81,66.667
122,tamagawa,3.0,-34100.0,21,42.857,52.381
123,tamagawa,4.0,-51300.0,21,28.571,66.667
124,tamagawa,5.0,38300.0,17,17.647,76.471
125,tamagawa,6.0,5100.0,11,36.364,54.545
126,toda,1.0,-18200.0,21,23.81,76.19
127,toda,2.0,-93800.0,21,28.571,66.667
128,toda,3.0,6500.0,21,38.095,61.905
129,toda,4.0,440700.0,21,52.381,47.619
130,toda,5.0,55300.0,13,30.769,46.154
131,toda,6.0,-8300.0,10,20.0,50.0
132,toda,7.0,-2000.0,1,0.0,100.0
133,tokoname,1.0,-63000.0,25,16.0,72.0
134,tokoname,2.0,-91000.0,25,20.0,64.0
135,tokoname,3.0,-115200.0,25,16.0,72.0
136,tokoname,4.0,-66200.0,25,16.0,72.0
137,tokoname,5.0,-29000.0,14,28.571,64.286
138,tokoname,6.0,-10600.0,6,16.667,50.0
139,tu,1.0,7600.0,14,28.571,50.0
140,tu,2.0,-63700.0,14,14.286,64.286
141,tu,3.0,-97000.0,14,14.286,71.429
142,tu,4.0,-119200.0,14,7.143,85.714
143,tu,5.0,5600.0,12,33.333,58.333
144,tu,6.0,-90100.0,11,18.182,72.727
145,tu,7.0,-39500.0,4,0.0,75.0
146,wakamatu,1.0,-69100.0,20,10.0,75.0
147,wakamatu,2.0,-34000.0,20,15.0,75.0
148,wakamatu,3.0,-600.0,20,25.0,65.0
149,wakamatu,4.0,-17300.0,20,25.0,65.0
150,wakamatu,5.0,-41300.0,18,11.111,66.667
151,wakamatu,6.0,-20500.0,12,8.333,66.667
152,wakamatu,7.0,-9900.0,3,0.0,66.667
