,place_name,num_date,income,date_count,num_plus_day,num_minus_day
0,amagasaki,1.0,25500.0,21,14.286,71.429
1,amagasaki,2.0,51600.0,21,23.81,57.143
2,amagasaki,3.0,100500.0,21,9.524,76.19
3,amagasaki,4.0,-35800.0,21,9.524,66.667
4,amagasaki,5.0,19500.0,19,15.789,73.684
5,amagasaki,6.0,-17400.0,13,7.692,84.615
6,amagasaki,7.0,,1,0.0,0.0
7,asiya,1.0,8200.0,21,14.286,71.429
8,asiya,2.0,12400.0,21,19.048,71.429
9,asiya,3.0,129800.0,21,28.571,61.905
10,asiya,4.0,-35100.0,21,19.048,61.905
11,asiya,5.0,-24900.0,19,10.526,78.947
12,asiya,6.0,-36000.0,15,0.0,60.0
13,biwako,1.0,-37000.0,18,5.556,94.444
14,biwako,2.0,7300.0,18,11.111,88.889
15,biwako,3.0,-45000.0,18,0.0,83.333
16,biwako,4.0,-37400.0,18,5.556,94.444
17,biwako,5.0,-33300.0,17,5.882,76.471
18,biwako,6.0,-20300.0,15,13.333,80.0
19,edogawa,1.0,22200.0,19,10.526,26.316
20,edogawa,2.0,-46000.0,19,0.0,57.895
21,edogawa,3.0,141000.0,19,15.789,42.105
22,edogawa,4.0,34500.0,19,26.316,36.842
23,edogawa,5.0,-16300.0,13,15.385,53.846
24,edogawa,6.0,-42300.0,12,8.333,58.333
25,edogawa,7.0,-7300.0,5,20.0,40.0
26,fukuoka,1.0,-12400.0,17,17.647,52.941
27,fukuoka,2.0,32000.0,17,11.765,82.353
28,fukuoka,3.0,-20900.0,17,11.765,70.588
29,fukuoka,4.0,-50000.0,17,0.0,88.235
30,fukuoka,5.0,-27400.0,17,11.765,76.471
31,fukuoka,6.0,-37000.0,15,0.0,80.0
32,gamagori,1.0,-44600.0,21,9.524,90.476
33,gamagori,2.0,-98900.0,21,4.762,95.238
34,gamagori,3.0,-87300.0,21,4.762,90.476
35,gamagori,4.0,42800.0,21,23.81,76.19
36,gamagori,5.0,-13700.0,19,10.526,84.211
37,gamagori,6.0,300.0,16,31.25,56.25
38,gamagori,7.0,-3000.0,1,0.0,100.0
39,hamanako,1.0,177000.0,22,18.182,72.727
40,hamanako,2.0,-40900.0,22,4.545,86.364
41,hamanako,3.0,-21200.0,22,9.091,86.364
42,hamanako,4.0,76300.0,22,13.636,77.273
43,hamanako,5.0,63300.0,19,15.789,78.947
44,hamanako,6.0,-32000.0,11,0.0,100.0
45,hamanako,7.0,0.0,2,0.0,0.0
46,heiwazima,1.0,84400.0,16,18.75,68.75
47,heiwazima,2.0,-33200.0,16,18.75,81.25
48,heiwazima,3.0,-21700.0,16,12.5,81.25
49,heiwazima,4.0,-24700.0,16,18.75,75.0
50,heiwazima,5.0,-16000.0,13,23.077,53.846
51,heiwazima,6.0,47300.0,9,44.444,44.444
52,karatu,1.0,-41400.0,23,26.087,65.217
53,karatu,2.0,-30500.0,23,21.739,73.913
54,karatu,3.0,-35400.0,23,21.739,69.565
55,karatu,4.0,-33300.0,23,13.043,82.609
56,karatu,5.0,-6500.0,17,17.647,82.353
57,karatu,6.0,-4300.0,15,13.333,66.667
58,karatu,7.0,11100.0,2,100.0,0.0
59,kiryu,1.0,-27000.0,19,0.0,63.158
60,kiryu,2.0,28700.0,19,10.526,42.105
61,kiryu,3.0,-11700.0,19,5.263,63.158
62,kiryu,4.0,-25000.0,19,0.0,63.158
63,kiryu,5.0,10800.0,18,11.111,72.222
64,kiryu,6.0,-30000.0,13,0.0,92.308
65,kiryu,7.0,-1000.0,1,0.0,100.0
66,kozima,1.0,-137300.0,21,14.286,76.19
67,kozima,2.0,-26700.0,21,23.81,71.429
68,kozima,3.0,76900.0,21,28.571,71.429
69,kozima,4.0,-70800.0,21,19.048,80.952
70,kozima,5.0,3900.0,19,31.579,63.158
71,kozima,6.0,-49600.0,18,22.222,72.222
72,marugame,1.0,-4500.0,23,4.348,26.087
73,marugame,2.0,-1900.0,23,4.348,30.435
74,marugame,3.0,-4700.0,23,4.348,30.435
75,marugame,4.0,4000.0,23,8.696,13.043
76,marugame,5.0,-8000.0,20,0.0,30.0
77,marugame,6.0,11900.0,14,14.286,21.429
78,marugame,7.0,0.0,4,0.0,0.0
79,mikuni,1.0,-4500.0,18,11.111,55.556
80,mikuni,2.0,117600.0,18,5.556,44.444
81,mikuni,3.0,-19800.0,18,5.556,55.556
82,mikuni,4.0,-10400.0,18,5.556,66.667
83,mikuni,5.0,61100.0,17,23.529,52.941
84,mikuni,6.0,-46000.0,14,0.0,64.286
85,mikuni,7.0,0.0,3,0.0,0.0
86,miyazima,1.0,-61000.0,22,4.545,86.364
87,miyazima,2.0,-85000.0,22,0.0,90.909
88,miyazima,3.0,-700.0,22,22.727,77.273
89,miyazima,4.0,2800.0,22,18.182,68.182
90,miyazima,5.0,-58500.0,17,5.882,82.353
91,miyazima,6.0,-18700.0,14,14.286,85.714
92,miyazima,7.0,3200.0,4,25.0,25.0
93,naruto,1.0,14000.0,18,11.111,77.778
94,naruto,2.0,-24200.0,18,16.667,72.222
95,naruto,3.0,15200.0,18,27.778,72.222
96,naruto,4.0,226100.0,18,27.778,72.222
97,naruto,5.0,53000.0,14,35.714,50.0
98,naruto,6.0,-23000.0,7,0.0,85.714
99,simonoseki,1.0,49000.0,18,11.111,38.889
100,simonoseki,2.0,-25000.0,18,0.0,50.0
101,simonoseki,3.0,-17000.0,18,0.0,55.556
102,simonoseki,4.0,-4200.0,18,11.111,38.889
103,simonoseki,5.0,14100.0,15,6.667,73.333
104,simonoseki,6.0,-13000.0,9,0.0,66.667
105,simonoseki,7.0,-6000.0,4,0.0,50.0
106,suminoe,1.0,-4000.0,20,0.0,20.0
107,suminoe,2.0,-2300.0,20,5.0,30.0
108,suminoe,3.0,-4000.0,20,0.0,20.0
109,suminoe,4.0,-2900.0,20,5.0,35.0
110,suminoe,5.0,4800.0,16,12.5,37.5
111,suminoe,6.0,-700.0,14,7.143,7.143
112,suminoe,7.0,5700.0,3,33.333,0.0
113,tamagawa,1.0,42600.0,21,19.048,57.143
114,tamagawa,2.0,2300.0,21,9.524,80.952
115,tamagawa,3.0,-21100.0,21,14.286,71.429
116,tamagawa,4.0,-42200.0,21,9.524,80.952
117,tamagawa,5.0,-6300.0,17,17.647,70.588
118,tamagawa,6.0,-21100.0,11,9.091,81.818
119,toda,1.0,71000.0,21,9.524,85.714
120,toda,2.0,49400.0,21,23.81,76.19
121,toda,3.0,21100.0,21,9.524,85.714
122,toda,4.0,-48900.0,21,4.762,90.476
123,toda,5.0,65500.0,13,23.077,61.538
124,toda,6.0,-4000.0,10,20.0,50.0
125,toda,7.0,-5000.0,1,0.0,100.0
126,tokoname,1.0,-71400.0,25,8.0,80.0
