,place_name,range_date,income,num_date,num_plus_day,num_minus_day
0,amagasaki,4.0,-7500.0,8,37.5,62.5
1,amagasaki,5.0,-97700.0,30,23.333,76.667
2,amagasaki,6.0,-184200.0,72,20.833,76.389
3,amagasaki,7.0,,7,0.0,0.0
4,asiya,4.0,3800.0,8,12.5,87.5
5,asiya,5.0,-51300.0,20,15.0,85.0
6,asiya,6.0,-36200.0,90,15.556,64.444
7,biwako,4.0,-10500.0,4,25.0,75.0
8,biwako,5.0,-80000.0,10,0.0,100.0
9,biwako,6.0,-240200.0,90,20.0,80.0
10,edogawa,4.0,-147900.0,24,4.167,45.833
11,edogawa,5.0,-25500.0,5,20.0,80.0
12,edogawa,6.0,-128200.0,42,19.048,38.095
13,edogawa,7.0,-69500.0,35,31.429,42.857
14,fukuoka,5.0,10500.0,10,20.0,80.0
15,fukuoka,6.0,2300.0,90,28.889,64.444
16,gamagori,4.0,-66900.0,8,25.0,75.0
17,gamagori,5.0,-89700.0,15,33.333,66.667
18,gamagori,6.0,-618700.0,90,17.778,81.111
19,gamagori,7.0,-23000.0,7,42.857,57.143
20,hamanako,4.0,-75700.0,12,25.0,75.0
21,hamanako,5.0,10100.0,40,35.0,65.0
22,hamanako,6.0,-252400.0,54,22.222,77.778
23,hamanako,7.0,-47200.0,14,42.857,57.143
24,heiwazima,4.0,-9200.0,12,33.333,66.667
25,heiwazima,5.0,113700.0,20,45.0,50.0
26,heiwazima,6.0,-197800.0,54,24.074,75.926
27,karatu,4.0,-71100.0,24,16.667,83.333
28,karatu,5.0,38000.0,10,60.0,40.0
29,karatu,6.0,-220200.0,78,28.205,71.795
30,karatu,7.0,-80100.0,14,14.286,71.429
31,kiryu,4.0,-25000.0,4,0.0,100.0
32,kiryu,5.0,64900.0,25,28.0,72.0
33,kiryu,6.0,-171700.0,72,22.222,76.389
34,kiryu,7.0,-37200.0,7,0.0,100.0
35,kozima,4.0,-15300.0,8,25.0,75.0
36,kozima,5.0,9900.0,5,40.0,60.0
37,kozima,6.0,-204600.0,108,24.074,74.074
38,marugame,4.0,29300.0,12,41.667,58.333
39,marugame,5.0,-159600.0,30,10.0,90.0
40,marugame,6.0,-102000.0,60,23.333,76.667
41,marugame,7.0,-27400.0,28,17.857,57.143
42,mikuni,4.0,38600.0,4,25.0,75.0
43,mikuni,5.0,34900.0,15,33.333,33.333
44,mikuni,6.0,-167400.0,66,25.758,71.212
45,mikuni,7.0,6200.0,21,28.571,47.619
46,miyazima,4.0,7900.0,20,20.0,70.0
47,miyazima,5.0,-42000.0,15,0.0,86.667
48,miyazima,6.0,-19300.0,60,20.0,78.333
49,miyazima,7.0,-66500.0,28,21.429,71.429
50,naruto,4.0,-58300.0,16,37.5,62.5
51,naruto,5.0,-326400.0,35,20.0,80.0
52,naruto,6.0,33900.0,42,33.333,61.905
53,omura,4.0,-6700.0,16,18.75,56.25
54,omura,5.0,-67800.0,15,20.0,80.0
55,omura,6.0,-93000.0,48,18.75,81.25
56,omura,7.0,-166300.0,35,14.286,85.714
57,simonoseki,4.0,-99500.0,12,16.667,83.333
58,simonoseki,5.0,-73500.0,30,20.0,73.333
59,simonoseki,6.0,-65300.0,30,30.0,63.333
60,simonoseki,7.0,1300.0,28,17.857,57.143
61,suminoe,4.0,5900.0,16,18.75,81.25
62,suminoe,5.0,43500.0,10,50.0,50.0
63,suminoe,6.0,-188600.0,66,22.727,77.273
64,suminoe,7.0,-4800.0,21,42.857,57.143
65,tamagawa,4.0,-41000.0,16,31.25,68.75
66,tamagawa,5.0,-45200.0,30,23.333,76.667
67,tamagawa,6.0,-50900.0,66,25.758,62.121
68,toda,4.0,-41800.0,32,34.375,65.625
69,toda,5.0,371600.0,15,40.0,60.0
70,toda,6.0,56200.0,54,33.333,55.556
71,toda,7.0,-5800.0,7,14.286,71.429
72,tokoname,4.0,-47900.0,44,25.0,56.818
73,tokoname,5.0,-203600.0,40,15.0,82.5
74,tokoname,6.0,-123500.0,36,13.889,66.667
75,tu,4.0,-47600.0,8,25.0,75.0
76,tu,5.0,-40200.0,5,20.0,80.0
77,tu,6.0,-179500.0,42,23.81,76.19
78,tu,7.0,-129000.0,28,7.143,50.0
79,wakamatu,4.0,-1900.0,8,12.5,87.5
80,wakamatu,5.0,-62800.0,30,10.0,73.333
81,wakamatu,6.0,-41800.0,54,24.074,68.519
82,wakamatu,7.0,-86200.0,21,4.762,57.143
