,place_name,range_date,income,num_date,num_plus_day,num_minus_day
0,amagasaki,4.0,-8000.0,8,25.0,75.0
1,amagasaki,5.0,-22700.0,30,10.0,66.667
2,amagasaki,6.0,174600.0,72,15.278,77.778
3,amagasaki,7.0,,7,0.0,0.0
4,asiya,4.0,8000.0,8,25.0,75.0
5,asiya,5.0,-7700.0,20,20.0,80.0
6,asiya,6.0,54100.0,90,14.444,64.444
7,biwako,4.0,14300.0,4,25.0,75.0
8,biwako,5.0,300.0,10,20.0,70.0
9,biwako,6.0,-180300.0,90,4.444,88.889
10,edogawa,4.0,-9900.0,24,4.167,37.5
11,edogawa,5.0,-4800.0,5,20.0,80.0
12,edogawa,6.0,106600.0,42,9.524,42.857
13,edogawa,7.0,-6100.0,35,22.857,45.714
14,fukuoka,5.0,-19000.0,10,0.0,70.0
15,fukuoka,6.0,-96700.0,90,10.0,75.556
16,gamagori,4.0,-20000.0,8,0.0,87.5
17,gamagori,5.0,-11000.0,15,6.667,93.333
18,gamagori,6.0,-189500.0,90,14.444,82.222
19,gamagori,7.0,16100.0,7,28.571,71.429
20,hamanako,4.0,21800.0,12,8.333,91.667
21,hamanako,5.0,153600.0,40,10.0,72.5
22,hamanako,6.0,73100.0,54,14.815,83.333
23,hamanako,7.0,-26000.0,14,0.0,85.714
24,heiwazima,4.0,4600.0,12,33.333,66.667
25,heiwazima,5.0,-3900.0,20,15.0,75.0
26,heiwazima,6.0,35400.0,54,20.37,68.519
27,karatu,4.0,-9700.0,24,20.833,66.667
28,karatu,5.0,-21200.0,10,10.0,90.0
29,karatu,6.0,-108400.0,78,21.795,73.077
30,karatu,7.0,-1000.0,14,21.429,64.286
31,kiryu,4.0,-3000.0,4,0.0,50.0
32,kiryu,5.0,19200.0,25,8.0,40.0
33,kiryu,6.0,-63400.0,72,4.167,70.833
34,kiryu,7.0,-8000.0,7,0.0,100.0
35,kozima,4.0,99100.0,8,12.5,87.5
36,kozima,5.0,-21000.0,5,0.0,80.0
37,kozima,6.0,-281700.0,108,25.0,71.296
38,marugame,4.0,-4000.0,12,0.0,25.0
39,marugame,5.0,-1300.0,30,10.0,33.333
40,marugame,6.0,0.0,60,1.667,20.0
41,marugame,7.0,2100.0,28,10.714,25.0
42,mikuni,4.0,-3000.0,4,0.0,75.0
43,mikuni,5.0,25700.0,15,6.667,40.0
44,mikuni,6.0,75400.0,66,10.606,65.152
45,mikuni,7.0,-100.0,21,4.762,28.571
46,miyazima,4.0,-55900.0,20,5.0,85.0
47,miyazima,5.0,-2900.0,15,13.333,86.667
48,miyazima,6.0,-132200.0,60,13.333,83.333
49,miyazima,7.0,-26900.0,28,10.714,64.286
50,naruto,4.0,25100.0,16,37.5,62.5
51,naruto,5.0,242900.0,35,31.429,68.571
52,naruto,6.0,-6900.0,42,7.143,76.19
53,simonoseki,4.0,-4500.0,12,8.333,33.333
54,simonoseki,5.0,-30000.0,30,0.0,53.333
55,simonoseki,6.0,-41900.0,30,6.667,76.667
56,simonoseki,7.0,74300.0,28,7.143,32.143
57,suminoe,4.0,-7000.0,16,0.0,31.25
58,suminoe,5.0,1400.0,10,10.0,50.0
59,suminoe,6.0,-1800.0,66,4.545,21.212
60,suminoe,7.0,4000.0,21,9.524,19.048
61,tamagawa,4.0,-44600.0,16,6.25,87.5
62,tamagawa,5.0,11900.0,30,16.667,70.0
63,tamagawa,6.0,-13100.0,66,13.636,71.212
64,toda,4.0,-63400.0,32,6.25,93.75
65,toda,5.0,89700.0,15,26.667,73.333
66,toda,6.0,101300.0,54,12.963,72.222
67,toda,7.0,21500.0,7,28.571,71.429
68,tokoname,4.0,-101100.0,44,9.091,70.455
69,tokoname,5.0,-84800.0,40,17.5,82.5
70,tokoname,6.0,-152400.0,36,8.333,75.0
71,tokuyama,5.0,-55000.0,10,20.0,80.0
72,tokuyama,6.0,214300.0,96,30.208,66.667
73,tokuyama,7.0,-52500.0,14,21.429,78.571
74,tu,4.0,-22000.0,8,0.0,87.5
75,tu,5.0,-17000.0,5,0.0,100.0
76,tu,6.0,-110200.0,42,4.762,85.714
77,tu,7.0,-19400.0,28,3.571,53.571
78,wakamatu,4.0,5500.0,8,25.0,75.0
79,wakamatu,5.0,-26100.0,30,16.667,66.667
80,wakamatu,6.0,-148500.0,54,9.259,74.074
81,wakamatu,7.0,-55300.0,21,4.762,57.143
