,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final,total_get_test_score,total_use_test_score,num_com_test_score,num_pred_test_score,gain_test_score,gain_std_test_score,num_hit_test_score,buy_hit_per_test_score,buy_hit_per_std_test_score,plus_month_num_test_score,diff_mea_med_test_score,score
2048,5.0,5.0,91.0,0.58,26990.0,22400.0,32.0,224.0,120.49107142857144,52.15239284619369,14.0,6.25,0.66216057920497,4.0,86.5333333333333,22500.0,18600.0,24.0,186.0,120.96774193548389,21.80364221982861,19.0,10.21505376344086,0.3104033705320571,2.0,88.33333333333326,0.28312767227819524,-0.10726659171983606,0.0,-0.10726659171983614,-0.1954964537297053,-0.3926197419192971,0.10979176295515784,0.06643203290950382,0.012652759079141367,0.18481898392585616,0.43410621262628957,0.2882800446854694
2054,5.0,5.0,93.0,0.58,26140.0,21200.0,32.0,212.0,123.30188679245282,51.54180961291674,13.0,6.132075471698113,0.5378185967448764,4.0,130.83333333333326,22500.0,17700.0,24.0,177.0,127.1186440677966,25.497631091628897,19.0,10.734463276836156,0.3261865927625008,3.0,88.33333333333326,0.1931282252189335,-0.05767416061648718,0.0,-0.05767416061648723,-0.017845281828594847,-0.42594044754492977,0.04803389629288159,-0.046381749381789426,-0.11841486925904185,0.18481898392585616,-0.16402123919067194,-0.461970803000331
2060,5.0,5.0,95.0,0.58,26140.0,21400.0,32.0,214.0,122.14953271028035,46.74867639207597,13.0,6.074766355140187,0.5327922547192233,4.0,130.83333333333326,22500.0,17900.0,24.0,179.0,125.69832402234636,23.32964624654021,19.0,10.614525139664805,0.3225420498266066,3.0,88.33333333333326,0.1931282252189335,-0.06593956580037866,0.0,-0.06593956580037871,-0.09067719237439428,-0.6875109794098825,0.04803389629288159,-0.1012071389065297,-0.12371308564167291,0.18481898392585616,-0.16402123919067194,-0.8730276616862375
2063,5.0,5.0,96.0,0.58,26140.0,21100.0,32.0,211.0,123.8862559241706,52.74674863914603,13.0,6.161137440758294,0.5403675000469849,4.0,130.83333333333326,22500.0,17300.0,24.0,173.0,130.0578034682081,24.573053970160174,19.0,10.982658959537572,0.3337284793003622,3.0,88.33333333333326,0.1931282252189335,-0.053541458024541445,0.0,-0.05354145802454149,0.019088435841549147,-0.36018459903539296,0.04803389629288159,-0.018579300665451468,-0.11572809602235215,0.18481898392585616,-0.16402123919067194,-0.32052660968373103
2066,5.0,5.0,97.0,0.58,26140.0,20600.0,32.0,206.0,126.89320388349516,53.780169179606006,13.0,6.310679611650485,0.5534832160675427,4.0,130.83333333333326,22500.0,17500.0,24.0,175.0,128.57142857142858,19.27064713433092,19.0,10.857142857142858,0.3299144395369288,3.0,88.33333333333326,0.1931282252189335,-0.032877945064812744,0.0,-0.03287794506481277,0.20913572094035288,-0.3037888453699299,0.04803389629288159,0.12448184321473212,-0.10190295218307534,0.18481898392585616,-0.16402123919067194,0.12412974271945351
2072,5.0,5.0,99.0,0.58,24600.0,19600.0,32.0,196.0,125.51020408163264,64.02103088102966,12.0,6.122448979591836,0.6845106053570784,3.0,130.83333333333326,22500.0,16900.0,24.0,169.0,133.1360946745562,22.235490697826048,19.0,11.242603550295858,0.3416273782187139,3.0,88.33333333333326,0.030070403488035698,0.008449080854644658,0.0,0.00844908085464466,0.12172637392418575,0.25507474522456147,-0.013723970369394678,-0.05559103773209911,0.036211695997276645,-0.08346663790199949,-0.16402123919067194,0.14317849514918365
2078,5.0,5.0,101.0,0.58,23100.0,19600.0,32.0,196.0,117.85714285714286,67.67391102250618,12.0,6.122448979591836,0.8537347209531383,2.0,81.86666666666679,22500.0,16400.0,24.0,164.0,137.19512195121953,25.18032824502895,19.0,11.585365853658535,0.3520428470668453,3.0,88.33333333333326,-0.12875215014595567,0.008449080854644658,0.0,0.00844908085464466,-0.3619678994997923,0.454419465561238,-0.013723970369394678,-0.05559103773209911,0.21458912773816544,-0.35175225972985513,0.49711437158368005,0.27123380911527595
2081,5.0,5.0,102.0,0.58,24600.0,18500.0,32.0,185.0,132.97297297297297,68.8915375604939,12.0,6.486486486486487,0.7252112359458778,3.0,130.83333333333326,22500.0,16300.0,24.0,163.0,138.03680981595093,20.324959545421525,19.0,11.65644171779141,0.3542026191347397,3.0,88.33333333333326,0.030070403488035698,0.05390880936604779,0.0,0.05390880936604783,0.5933936546035695,0.5208676960776565,-0.013723970369394678,0.2926694017206917,0.07911381978201297,-0.08346663790199949,-0.16402123919067194,1.3627207469419957
2095,5.0,5.0,107.0,0.54,26990.0,23000.0,32.0,230.0,117.34782608695652,51.52817292428419,14.0,6.086956521739131,0.6448868249648403,4.0,86.5333333333333,22500.0,18700.0,24.0,187.0,120.32085561497324,21.50204819477665,19.0,10.16042780748663,0.3087434594596926,2.0,88.33333333333326,0.28312767227819524,-0.13206280727151049,0.0,-0.1320628072715106,-0.39415810389925543,-0.42668462796599177,0.10979176295515784,-0.08954528347584874,-0.005555330867285633,0.18481898392585616,0.43410621262628957,-0.1682243289659039
2098,5.0,5.0,108.0,0.54,26990.0,22800.0,32.0,228.0,118.37719298245617,50.724295448463074,14.0,6.140350877192982,0.6505437269382159,4.0,86.5333333333333,22500.0,18600.0,24.0,186.0,120.96774193548389,20.736878678255387,19.0,10.21505376344086,0.3104033705320571,3.0,88.33333333333326,0.28312767227819524,-0.12379740208761902,0.0,-0.12379740208761912,-0.32909931787881647,-0.470553773515821,0.10979176295515784,-0.038464992729769054,0.0004075523900236382,0.18481898392585616,0.43410621262628957,-0.0734607041241222
2101,5.0,5.0,109.0,0.54,26990.0,22900.0,32.0,229.0,117.86026200873364,52.489695992713735,14.0,6.11353711790393,0.6477029246371757,4.0,86.5333333333333,22500.0,18300.0,24.0,183.0,122.95081967213116,21.20813866254148,19.0,10.382513661202186,0.3154919503768448,3.0,88.33333333333326,0.28312767227819524,-0.12793010467956475,0.0,-0.12793010467956487,-0.3617707606401718,-0.37421245813019904,0.10979176295515784,-0.06411666712190507,-0.0025869086343893676,0.18481898392585616,0.43410621262628957,-0.04670237210029615
2111,5.0,5.0,112.0,0.58,20610.0,16000.0,32.0,160.0,128.8125,62.03677159921082,10.0,6.25,0.625,2.0,166.0,21510.0,13200.0,24.0,132.0,162.95454545454547,27.38617853991516,18.0,13.636363636363637,0.0,3.0,75.0,-0.3923975891783813,0.1572263741646913,0.0,0.15722637416469143,0.3304404529066339,0.1467898860751052,-0.1372397036939472,0.06643203290950382,-0.026517832282724536,-0.35175225972985513,-0.6388327227624525,-0.6886249874267351
2125,5.0,5.0,117.0,0.54,23810.0,19900.0,32.0,199.0,119.64824120603016,56.94040446799572,12.0,6.030150753768844,0.6741913499999366,3.0,127.33333333333326,22500.0,17200.0,24.0,172.0,130.8139534883721,25.113353271133427,19.0,11.046511627906977,0.3356687611567592,3.0,88.33333333333326,-0.05357614142586641,-0.003949026921192563,0.0,-0.00394902692119257,-0.24876561493899038,-0.13132870559991716,-0.013723970369394678,-0.1438891391008972,0.025334273109872123,-0.08346663790199949,-0.11676511997262755,-0.7740791100422058
2145,5.0,5.0,124.0,0.5,26990.0,23300.0,32.0,233.0,115.83690987124464,47.73953971146407,14.0,6.008583690987124,0.6365835611240912,4.0,86.5333333333333,22500.0,19500.0,24.0,195.0,115.38461538461536,18.71175498268896,19.0,9.743589743589745,0.2960770611228847,2.0,88.33333333333326,0.28312767227819524,-0.14446091504734773,0.0,-0.14446091504734784,-0.4896521159979218,-0.6334376554449054,0.10979176295515784,-0.16452150422760697,-0.014307717450975931,0.18481898392585616,0.43410621262628957,-0.5789961914306068
2148,5.0,5.0,125.0,0.5,26990.0,23300.0,32.0,233.0,115.83690987124464,49.27431004811451,14.0,6.008583690987124,0.6365835611240912,4.0,86.5333333333333,22500.0,19100.0,24.0,191.0,117.80104712041886,19.551994931546123,19.0,9.947643979057592,0.3022776278479715,2.0,88.33333333333326,0.28312767227819524,-0.14446091504734773,0.0,-0.14446091504734784,-0.4896521159979218,-0.5496822756647896,0.10979176295515784,-0.16452150422760697,-0.014307717450975931,0.18481898392585616,0.43410621262628957,-0.4952408116504913
2151,5.0,5.0,126.0,0.5,26990.0,23300.0,32.0,233.0,115.83690987124464,50.77837355510901,14.0,6.008583690987124,0.6365835611240912,4.0,86.5333333333333,22500.0,18500.0,24.0,185.0,121.62162162162164,20.99639893018441,19.0,10.27027027027027,0.312081226588987,2.0,88.33333333333326,0.28312767227819524,-0.14446091504734773,0.0,-0.14446091504734784,-0.4896521159979218,-0.46760262685122933,0.10979176295515784,-0.16452150422760697,-0.014307717450975931,0.18481898392585616,0.43410621262628957,-0.41316116283693105
