,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
0,0.0,0.0,0.0,0.0,0.0,3,2020-04-02,2020,4,2,1,5,sp,0,0,850.0
1,0.0,0.0,0.0,0.0,0.0,4,2020-04-02,2020,4,2,1,5,sp,0,0,1750.0
2,0.0,0.0,0.0,0.0,0.0,75,2020-04-02,2020,4,2,1,5,sp,0,0,2960.0
3,0.0,0.0,0.0,0.0,0.0,1,2020-04-02,2020,4,2,1,5,sp,0,0,500.0
4,0.0,0.0,0.0,1.0,0.0,31,2020-04-02,2020,4,2,1,5,sp,0,1,6400.0
5,0.0,0.0,0.0,0.0,0.0,6,2020-04-02,2020,4,2,1,5,sp,0,0,2010.0
6,0.0,0.0,0.0,0.0,0.0,62,2020-04-02,2020,4,2,1,5,sp,0,0,12560.0
7,0.0,0.0,0.0,0.0,0.0,2,2020-04-02,2020,4,2,1,5,sp,0,0,770.0
8,0.0,0.0,0.0,0.0,0.0,11,2020-04-02,2020,4,2,1,5,sp,0,0,3760.0
9,0.0,1.0,0.0,0.0,0.0,45,2020-04-02,2020,4,2,1,5,sp,0,1,13080.0
10,0.0,0.0,0.0,0.0,0.0,111,2020-04-03,2020,4,3,2,5,sp,0,0,7480.0
11,0.0,0.0,0.0,0.0,0.0,3,2020-04-03,2020,4,3,2,5,sp,0,0,1590.0
12,0.0,0.0,0.0,0.0,0.0,2,2020-04-03,2020,4,3,2,5,sp,0,0,2410.0
13,0.0,1.0,0.0,0.0,0.0,73,2020-04-03,2020,4,3,2,5,sp,0,1,4590.0
14,0.0,0.0,0.0,0.0,0.0,20,2020-04-03,2020,4,3,2,5,sp,0,0,2380.0
15,0.0,0.0,0.0,0.0,0.0,21,2020-04-03,2020,4,3,2,5,sp,0,0,6570.0
16,0.0,0.0,0.0,0.0,0.0,84,2020-04-03,2020,4,3,2,5,sp,0,0,1710.0
17,0.0,0.0,0.0,0.0,0.0,41,2020-04-03,2020,4,3,2,5,sp,0,0,7220.0
18,0.0,0.0,1.0,0.0,0.0,41,2020-04-03,2020,4,3,2,5,sp,0,1,1970.0
19,1.0,0.0,1.0,0.0,0.0,82,2020-04-03,2020,4,3,2,5,sp,0,2,3590.0
20,0.0,0.0,0.0,0.0,0.0,16,2020-04-03,2020,4,3,2,5,sp,0,0,4070.0
21,0.0,1.0,1.0,0.0,0.0,2,2020-04-03,2020,4,3,2,5,sp,0,2,550.0
22,0.0,0.0,0.0,0.0,0.0,4,2020-04-04,2020,4,4,3,5,sp,0,0,860.0
23,0.0,0.0,0.0,0.0,0.0,9,2020-04-04,2020,4,4,3,5,sp,0,0,1630.0
24,0.0,0.0,0.0,1.0,1.0,42,2020-04-04,2020,4,4,3,5,sp,0,2,3870.0
25,0.0,0.0,0.0,0.0,0.0,21,2020-04-04,2020,4,4,3,5,sp,0,0,8680.0
26,0.0,0.0,0.0,0.0,0.0,15,2020-04-04,2020,4,4,3,5,sp,0,0,4470.0
27,0.0,0.0,0.0,0.0,0.0,14,2020-04-04,2020,4,4,3,5,sp,0,0,3990.0
28,0.0,0.0,0.0,1.0,1.0,84,2020-04-04,2020,4,4,3,5,sp,0,2,7750.0
29,0.0,0.0,1.0,0.0,0.0,15,2020-04-04,2020,4,4,3,5,sp,0,1,1230.0
30,0.0,0.0,0.0,0.0,0.0,2,2020-04-04,2020,4,4,3,5,sp,0,0,560.0
31,0.0,0.0,0.0,0.0,0.0,22,2020-04-04,2020,4,4,3,5,sp,0,0,1980.0
32,0.0,1.0,1.0,0.0,0.0,9,2020-04-04,2020,4,4,3,5,sp,0,2,610.0
33,0.0,1.0,1.0,0.0,0.0,8,2020-04-04,2020,4,4,3,5,sp,0,2,2980.0
34,1.0,0.0,0.0,0.0,0.0,44,2020-04-05,2020,4,5,4,5,sp,0,1,4490.0
35,0.0,0.0,0.0,1.0,0.0,21,2020-04-05,2020,4,5,4,5,sp,1,1,3240.0
36,0.0,0.0,0.0,0.0,0.0,41,2020-04-05,2020,4,5,4,5,sp,0,0,12670.0
37,0.0,0.0,1.0,0.0,0.0,78,2020-04-05,2020,4,5,4,5,sp,0,1,22870.0
38,0.0,0.0,0.0,0.0,0.0,5,2020-04-05,2020,4,5,4,5,sp,0,0,1830.0
39,0.0,0.0,0.0,0.0,0.0,2,2020-04-05,2020,4,5,4,5,sp,0,0,750.0
40,0.0,0.0,0.0,0.0,0.0,19,2020-04-05,2020,4,5,4,5,sp,0,0,940.0
41,0.0,0.0,0.0,0.0,0.0,104,2020-04-05,2020,4,5,4,5,sp,0,0,3810.0
