,racer_1_rank,racer_1_age,racer_1_doub,racer_1_ave_st,racer_2_rank,racer_2_age,racer_2_doub,racer_2_ave_st,racer_3_rank,racer_3_age,racer_3_doub,racer_3_ave_st,racer_4_rank,racer_4_age,racer_4_doub,racer_4_ave_st,racer_5_rank,racer_5_age,racer_5_doub,racer_5_ave_st,racer_6_rank,racer_6_age,racer_6_doub,racer_6_ave_st,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11,race_12,racer_1_male_0,racer_1_male_1,racer_2_male_0,racer_2_male_1,racer_3_male_0,racer_3_male_1,racer_4_male_0,racer_4_male_1,racer_5_male_0,racer_5_male_1,racer_6_male_0,racer_6_male_1
0,2,43.0,0.267,0.21,3,37.0,0.384,0.18,2,30.0,0.343,0.18,3,35.0,0.375,0.19,2,30.0,0.115,0.18,3,24.0,0.42,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1,2,52.0,0.321,0.16,3,42.0,0.35,0.19,2,34.0,0.226,0.17,3,37.0,0.364,0.18,2,55.0,0.18,0.19,2,33.0,0.302,0.21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
2,2,30.0,0.108,0.23,3,39.0,0.381,0.21,2,55.0,0.166,0.19,4,43.0,0.576,0.21,3,26.0,0.361,0.17,3,41.0,0.329,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
3,2,38.0,0.242,0.22,1,26.0,0.2,0.22,2,25.0,0.267,0.18,4,43.0,0.535,0.15,3,36.0,0.45,0.19,4,45.0,0.515,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
4,3,44.0,0.459,0.18,3,57.0,0.391,0.15,3,24.0,0.42,0.18,2,43.0,0.177,0.2,2,34.0,0.226,0.17,2,32.0,0.322,0.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
5,2,30.0,0.343,0.18,2,43.0,0.338,0.2,2,42.0,0.16,0.22,4,49.0,0.471,0.15,2,55.0,0.166,0.19,2,54.0,0.171,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
6,2,36.0,0.278,0.17,2,43.0,0.267,0.21,3,39.0,0.381,0.21,2,33.0,0.302,0.21,2,27.0,0.29,0.2,2,39.0,0.252,0.17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
7,4,43.0,0.455,0.16,2,50.0,0.313,0.2,3,37.0,0.364,0.18,3,41.0,0.329,0.17,2,32.0,0.359,0.17,3,36.0,0.45,0.19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
8,3,37.0,0.384,0.18,2,30.0,0.108,0.23,2,52.0,0.321,0.16,2,32.0,0.322,0.17,3,54.0,0.375,0.17,4,43.0,0.535,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
9,3,42.0,0.35,0.19,4,49.0,0.471,0.15,4,38.0,0.51,0.13,3,44.0,0.459,0.18,4,45.0,0.515,0.16,4,43.0,0.576,0.21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
10,2,39.0,0.252,0.17,2,30.0,0.18,0.21,2,33.0,0.302,0.21,2,43.0,0.338,0.2,2,42.0,0.16,0.22,2,38.0,0.242,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
11,2,55.0,0.18,0.19,2,55.0,0.166,0.19,2,36.0,0.278,0.17,4,38.0,0.51,0.13,3,39.0,0.381,0.21,2,44.0,0.21,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
12,4,43.0,0.535,0.15,3,24.0,0.42,0.18,3,34.0,0.357,0.16,2,27.0,0.29,0.2,1,26.0,0.2,0.22,3,54.0,0.375,0.17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
13,2,54.0,0.171,0.2,4,45.0,0.515,0.16,2,30.0,0.18,0.21,1,22.0,0.05,0.19,4,43.0,0.576,0.21,3,26.0,0.361,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
14,3,37.0,0.364,0.18,2,25.0,0.301,0.2,3,57.0,0.391,0.15,2,38.0,0.242,0.22,3,42.0,0.35,0.19,2,50.0,0.313,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
15,4,49.0,0.471,0.15,2,39.0,0.252,0.17,2,27.0,0.29,0.2,2,30.0,0.115,0.18,2,25.0,0.267,0.18,2,30.0,0.108,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
16,2,32.0,0.359,0.17,2,55.0,0.18,0.19,2,32.0,0.322,0.17,3,54.0,0.375,0.17,2,43.0,0.267,0.21,3,44.0,0.459,0.18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
17,2,34.0,0.226,0.17,4,43.0,0.535,0.15,4,43.0,0.576,0.21,2,42.0,0.16,0.22,2,50.0,0.313,0.2,4,43.0,0.455,0.16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
18,3,57.0,0.391,0.15,3,41.0,0.329,0.17,3,26.0,0.361,0.17,2,25.0,0.267,0.18,2,43.0,0.177,0.2,2,36.0,0.278,0.17,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
19,3,36.0,0.45,0.19,2,32.0,0.359,0.17,4,49.0,0.471,0.15,3,34.0,0.357,0.16,2,27.0,0.294,0.2,3,42.0,0.35,0.19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
20,4,45.0,0.515,0.16,2,52.0,0.321,0.16,4,43.0,0.455,0.16,2,25.0,0.301,0.2,2,32.0,0.322,0.17,3,39.0,0.381,0.21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
21,2,43.0,0.338,0.2,4,38.0,0.51,0.13,3,41.0,0.329,0.17,1,26.0,0.2,0.22,3,44.0,0.459,0.18,2,30.0,0.343,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
22,2,50.0,0.313,0.2,2,44.0,0.21,0.2,2,38.0,0.242,0.22,4,45.0,0.515,0.16,2,54.0,0.171,0.2,2,30.0,0.115,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
23,2,32.0,0.322,0.17,2,27.0,0.29,0.2,3,24.0,0.42,0.18,1,22.0,0.05,0.19,2,30.0,0.18,0.21,3,57.0,0.391,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
24,3,26.0,0.361,0.17,4,43.0,0.455,0.16,3,36.0,0.45,0.19,2,36.0,0.278,0.17,4,43.0,0.535,0.15,2,55.0,0.18,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
25,3,41.0,0.329,0.17,2,33.0,0.302,0.21,2,32.0,0.359,0.17,2,30.0,0.343,0.18,4,49.0,0.471,0.15,2,34.0,0.226,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
26,2,44.0,0.21,0.2,2,25.0,0.267,0.18,1,26.0,0.2,0.22,2,52.0,0.321,0.16,3,37.0,0.364,0.18,2,43.0,0.338,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
27,4,43.0,0.576,0.21,2,42.0,0.16,0.22,2,55.0,0.18,0.19,2,55.0,0.166,0.19,2,25.0,0.301,0.2,2,43.0,0.267,0.21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
28,2,33.0,0.302,0.21,3,54.0,0.375,0.17,3,42.0,0.35,0.19,2,50.0,0.313,0.2,1,22.0,0.05,0.19,2,27.0,0.294,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
29,3,24.0,0.42,0.18,3,34.0,0.357,0.16,3,44.0,0.459,0.18,2,30.0,0.108,0.23,2,43.0,0.338,0.2,2,32.0,0.359,0.17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
