,racer_1_rank,racer_1_age,racer_1_doub,racer_1_ave_st,racer_2_rank,racer_2_age,racer_2_doub,racer_2_ave_st,racer_3_rank,racer_3_age,racer_3_doub,racer_3_ave_st,racer_4_rank,racer_4_age,racer_4_doub,racer_4_ave_st,racer_5_rank,racer_5_age,racer_5_doub,racer_5_ave_st,racer_6_rank,racer_6_age,racer_6_doub,racer_6_ave_st,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_10,race_11,race_12,racer_1_male_0,racer_1_male_1,racer_2_male_0,racer_2_male_1,racer_3_male_0,racer_3_male_1,racer_4_male_0,racer_4_male_1,racer_5_male_0,racer_5_male_1,racer_6_male_0,racer_6_male_1
0,2,43.0,0.161,0.16,2,28.0,0.185,0.2,2,24.0,0.168,0.19,2,27.0,0.226,0.18,2,31.0,0.138,0.17,2,32.0,0.112,0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1,2,52.0,0.352,0.17,2,43.0,0.235,0.21,2,37.0,0.355,0.2,2,25.0,0.271,0.21,2,36.0,0.1,0.24,2,37.0,0.225,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
2,2,52.0,0.233,0.23,2,46.0,0.252,0.2,2,37.0,0.193,0.2,2,39.0,0.351,0.19,1,32.0,0.052,0.23,2,52.0,0.189,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
3,2,30.0,0.264,0.19,3,24.0,0.432,0.18,2,33.0,0.291,0.18,4,28.0,0.48,0.15,3,38.0,0.469,0.15,4,35.0,0.525,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
4,2,51.0,0.207,0.2,3,32.0,0.419,0.17,3,39.0,0.322,0.17,2,55.0,0.294,0.19,2,38.0,0.25,0.18,4,36.0,0.434,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
5,2,40.0,0.205,0.19,2,26.0,0.2,0.18,4,37.0,0.496,0.16,2,25.0,0.1,0.19,3,31.0,0.359,0.17,2,32.0,0.112,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
6,3,40.0,0.396,0.18,2,27.0,0.226,0.18,2,25.0,0.271,0.21,2,47.0,0.305,0.24,2,28.0,0.215,0.19,2,46.0,0.252,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
7,3,42.0,0.392,0.19,4,26.0,0.603,0.15,3,54.0,0.416,0.2,2,52.0,0.352,0.17,2,33.0,0.291,0.18,2,20.0,0.105,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
8,2,43.0,0.244,0.25,4,32.0,0.444,0.16,4,35.0,0.525,0.17,4,36.0,0.434,0.17,2,37.0,0.355,0.2,2,28.0,0.185,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
9,3,40.0,0.407,0.17,2,55.0,0.294,0.19,3,37.0,0.358,0.16,4,37.0,0.496,0.16,2,37.0,0.193,0.2,3,38.0,0.469,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
10,3,44.0,0.452,0.18,2,39.0,0.351,0.19,3,40.0,0.396,0.18,4,38.0,0.529,0.2,3,39.0,0.322,0.17,3,24.0,0.432,0.18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
11,4,26.0,0.603,0.15,4,28.0,0.48,0.15,2,52.0,0.189,0.19,3,32.0,0.419,0.17,2,47.0,0.305,0.24,3,31.0,0.359,0.17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
12,2,27.0,0.226,0.18,2,51.0,0.207,0.2,2,52.0,0.233,0.23,2,32.0,0.112,0.19,2,20.0,0.105,0.2,2,36.0,0.1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
13,2,25.0,0.1,0.19,2,28.0,0.215,0.19,2,43.0,0.161,0.16,2,47.0,0.305,0.24,2,46.0,0.252,0.2,2,33.0,0.291,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
14,2,55.0,0.294,0.19,3,37.0,0.358,0.16,2,38.0,0.25,0.18,2,31.0,0.138,0.17,2,40.0,0.205,0.19,2,24.0,0.168,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
15,3,24.0,0.432,0.18,3,44.0,0.452,0.18,4,36.0,0.434,0.17,2,43.0,0.235,0.21,4,38.0,0.529,0.2,2,43.0,0.244,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
