,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1258,3.0,6.0,121.0,24350.0,20300.0,145.0,203.0,119.95073891625616,15.763546798029553,32.0,70.0
1862,4.0,7.0,131.0,31920.0,28300.0,89.0,283.0,112.79151943462894,10.247349823321557,29.0,80.0
5999,13.0,4.0,110.0,76970.0,59000.0,84.0,590.0,130.4576271186441,5.084745762711865,30.0,59.0
6000,13.0,4.0,111.0,61030.0,52800.0,84.0,528.0,115.5871212121212,5.303030303030303,28.0,60.0
6096,13.0,5.0,108.0,109840.0,89600.0,84.0,896.0,122.58928571428572,4.6875,42.0,57.0
6097,13.0,5.0,109.0,95700.0,82600.0,84.0,826.0,115.85956416464892,4.600484261501211,38.0,58.0
6201,13.0,6.0,114.0,75900.0,67000.0,84.0,670.0,113.28358208955223,4.925373134328358,33.0,63.0
6202,13.0,6.0,115.0,88370.0,66700.0,84.0,667.0,132.4887556221889,5.247376311844079,35.0,64.0
6204,13.0,6.0,117.0,59720.0,50500.0,84.0,505.0,118.25742574257427,5.544554455445545,28.0,66.0
6505,14.0,4.0,121.0,24460.0,21900.0,79.0,219.0,111.68949771689499,7.305936073059359,16.0,70.0
6506,14.0,4.0,122.0,22480.0,20400.0,79.0,204.0,110.19607843137257,7.84313725490196,16.0,71.0
6507,14.0,4.0,123.0,24550.0,18700.0,79.0,187.0,131.28342245989305,9.090909090909092,17.0,72.0
6713,14.0,6.0,131.0,24570.0,21100.0,79.0,211.0,116.44549763033176,8.056872037914692,17.0,80.0
6714,14.0,6.0,132.0,23850.0,18500.0,79.0,185.0,128.9189189189189,8.648648648648651,16.0,81.0
6919,14.0,8.0,139.0,27280.0,20700.0,79.0,207.0,131.78743961352654,8.695652173913043,18.0,88.0
6920,14.0,8.0,140.0,23770.0,19600.0,79.0,196.0,121.27551020408166,8.16326530612245,16.0,89.0
8488,18.0,4.0,124.0,22020.0,19000.0,29.0,190.0,115.89473684210527,4.2105263157894735,8.0,73.0
8489,18.0,4.0,125.0,17240.0,14800.0,29.0,148.0,116.4864864864865,4.0540540540540535,6.0,74.0
11028,23.0,5.0,90.0,188350.0,161400.0,53.0,1614.0,116.69764560099131,2.4783147459727393,40.0,39.0
11029,23.0,5.0,91.0,177790.0,156700.0,53.0,1567.0,113.45883854499044,2.4250159540523293,38.0,40.0
11225,23.0,7.0,89.0,178710.0,152900.0,53.0,1529.0,116.88031393067364,2.4852844996729893,38.0,38.0
11226,23.0,7.0,90.0,177790.0,147000.0,53.0,1470.0,120.94557823129252,2.585034013605442,38.0,39.0
11936,25.0,4.0,107.0,92110.0,81900.0,28.0,819.0,112.46642246642249,2.0757020757020754,17.0,56.0
12136,25.0,6.0,109.0,99850.0,85300.0,28.0,853.0,117.05744431418523,1.992966002344666,17.0,58.0
12234,25.0,7.0,108.0,110140.0,94600.0,28.0,946.0,116.42706131078224,1.9027484143763211,18.0,57.0
13450,28.0,4.0,136.0,19770.0,14700.0,13.0,147.0,134.48979591836738,2.0408163265306123,3.0,85.0
13451,28.0,4.0,137.0,19770.0,14300.0,13.0,143.0,138.25174825174824,2.097902097902098,3.0,86.0
13452,28.0,4.0,138.0,19770.0,14300.0,13.0,143.0,138.25174825174824,2.097902097902098,3.0,87.0
13453,28.0,4.0,139.0,19770.0,14300.0,13.0,143.0,138.25174825174824,2.097902097902098,3.0,88.0
13454,28.0,4.0,140.0,19770.0,12200.0,13.0,122.0,162.04918032786887,2.459016393442623,3.0,89.0
15036,31.0,5.0,138.0,15890.0,11100.0,12.0,111.0,143.15315315315314,2.702702702702702,3.0,87.0
15135,31.0,6.0,138.0,18110.0,16200.0,12.0,162.0,111.79012345679013,2.469135802469136,4.0,87.0
15136,31.0,6.0,139.0,18110.0,13800.0,12.0,138.0,131.231884057971,2.898550724637681,4.0,88.0
15137,31.0,6.0,140.0,18110.0,13800.0,12.0,138.0,131.231884057971,2.898550724637681,4.0,89.0
15138,31.0,6.0,141.0,18110.0,14900.0,12.0,149.0,121.54362416107382,2.684563758389262,4.0,90.0
15139,31.0,6.0,142.0,18110.0,14900.0,12.0,149.0,121.54362416107382,2.684563758389262,4.0,91.0
15243,31.0,7.0,147.0,18110.0,15200.0,12.0,152.0,119.14473684210527,2.631578947368421,4.0,96.0
16210,33.0,7.0,124.0,53890.0,41900.0,7.0,419.0,128.61575178997612,0.954653937947494,4.0,73.0
