,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,400.0,1,3679,3137,4420,4390,4176,3564,4
,200.0,2,4021,2776,3310,3615,4511,4705,3
,2820.0,3,3121,3344,4096,3758,3834,4732,21
,460.0,4,3555,2788,2920,4365,4343,4745,2
,3170.0,5,3975,4370,3614,4420,4073,4607,21
,1010.0,6,2997,3550,3538,3747,3820,3920,10
,5120.0,7,2776,3121,3576,4076,3912,3489,17
,6930.0,9,2920,3614,3344,3564,4521,3310,5
,2290.0,10,2788,3615,3550,3975,3489,3834,8
,6540.0,11,4076,3555,3912,4021,3747,3692,14
,590.0,12,3576,3484,3679,4370,3920,4096,2
,240.0,1,3489,4511,4607,4521,3137,3344,1
,520.0,2,4370,2997,4390,4091,2920,4705,2
,390.0,3,3912,4365,3692,4343,3484,3614,2
,6850.0,4,3920,3747,3615,4176,3850,4420,13
,510.0,5,3820,4096,3758,3137,2776,4745,8
,430.0,6,4073,3834,2997,3679,3121,3975,3
,2110.0,7,3310,3692,4521,3576,4705,4076,18
,1610.0,8,3550,4343,2788,3538,4607,3850,4
,1510.0,9,4390,4176,4073,3344,4745,4732,13
,840.0,10,3564,3912,3920,2920,3679,4021,6
,470.0,11,4091,3820,4370,3484,3615,3121,11
,330.0,12,4096,3489,3747,3555,3538,3576,3
,6230.0,1,3484,4521,4390,3614,2997,4732,18
,270.0,2,3747,4607,4365,4096,4176,4073,3
,500.0,3,3615,3137,3975,3850,4370,4705,2
,170.0,4,3576,3758,3564,3550,3310,4745,3
,1180.0,5,3692,3920,4521,4343,2788,2776,2
,1300.0,6,4420,3121,3555,3679,4091,3912,12
,430.0,7,3614,3834,4607,4021,4096,3820,4
,760.0,9,3850,4420,4511,2776,4365,2997,11
,2610.0,10,3344,4021,3576,4073,3555,4370,9
,2000.0,11,3834,3489,3484,3692,4076,4091,11
,570.0,12,3679,3538,3920,3820,3975,3550,1
,380.0,1,3576,4511,2788,3344,4745,4365,3
,25730.0,2,3550,2776,3564,3679,3614,4732,25
,750.0,3,3912,4390,3538,2997,4076,3137,4
,180.0,4,4096,4073,3820,3489,4521,4705,1
,190.0,5,3747,3615,2920,3310,3850,3758,1
,330.0,6,3920,3834,3975,4091,3564,4176,2
,1650.0,7,3121,3692,3555,4607,4021,3484,13
,1300.0,8,4370,3344,3489,4390,4732,4420,11
,4110.0,9,2788,3310,3137,2776,4705,4343,5
,290.0,10,3679,4096,3912,3975,3834,3747,1
,430.0,11,3555,3550,4073,3920,3538,4511,3
,1590.0,12,3615,3576,4370,4076,3121,3614,3
,200.0,1,4370,2788,4607,4365,3310,4521,2
,240.0,3,3747,4073,3576,3564,3692,3850,2
,2000.0,4,3121,3614,3137,4021,4091,3344,19
,4960.0,6,3912,3489,2788,3834,2776,4745,4
,4930.0,7,3820,4365,3692,4343,4521,4176,28
,400.0,8,4021,3310,3484,3850,3344,2997,11
,2640.0,9,4607,2920,3564,3137,4390,4732,14
,4150.0,10,3538,3912,3121,4370,3747,4511,22
,8410.0,11,3576,3975,3550,4073,3614,3834,18
,680.0,1,3529,3714,3708,3520,4336,4697,4
,390.0,2,3838,3927,3277,4351,4449,4405,16
,780.0,3,4051,4578,4418,3851,4363,4718,14
