,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,5780.0,2.0,4501.0,31.0,0.16,19.0,0.45299999999999996,0,72.0,4,4924.0,27.0,0.16,4.0,0.17,0,24.0,1,3357.0,51.0,0.2,8.0,0.254,0,70.0,2,3845.0,43.0,0.17,43.0,0.521,0,67.0,4,4984.0,22.0,0.19,7.0,0.191,0,56.0,2,3604.0,49.0,0.2,49.0,0.225,0,11.0,2,7.0
,790.0,3.0,3302.0,52.0,0.18,17.0,0.32799999999999996,0,15.0,3,4670.0,34.0,0.21,44.0,0.121,0,37.0,1,4885.0,23.0,0.12,34.0,0.564,0,74.0,4,4993.0,22.0,0.21,24.0,0.09300000000000001,0,46.0,1,3334.0,51.0,0.21,55.0,0.391,0,60.0,3,3943.0,41.0,0.17,31.0,0.207,0,23.0,2,5.0
,390.0,4.0,4050.0,38.0,0.16,13.0,0.525,0,68.0,4,3142.0,57.0,0.22,54.0,0.078,0,25.0,2,4347.0,34.0,0.16,56.0,0.491,0,38.0,4,4183.0,33.0,0.13,35.0,0.39299999999999996,0,42.0,3,4938.0,22.0,0.17,50.0,0.2,0,14.0,2,4947.0,27.0,0.2,65.0,0.1,0,41.0,2,6.0
,3060.0,5.0,4373.0,31.0,0.19,51.0,0.344,0,44.0,3,4117.0,38.0,0.18,39.0,0.45,0,21.0,4,4694.0,34.0,0.2,30.0,0.16399999999999998,0,29.0,2,3932.0,43.0,0.18,2.0,0.285,0,53.0,2,4065.0,40.0,0.2,48.0,0.319,0,30.0,2,5057.0,23.0,0.18,1.0,0.013999999999999999,0,20.0,1,31.0
,1360.0,6.0,4419.0,32.0,0.2,63.0,0.245,0,50.0,2,3674.0,47.0,0.15,33.0,0.38799999999999996,0,51.0,3,4447.0,32.0,0.17,3.0,0.37799999999999995,0,69.0,3,3357.0,51.0,0.2,8.0,0.254,0,70.0,2,4806.0,32.0,0.19,21.0,0.177,0,54.0,1,3900.0,42.0,0.16,14.0,0.526,0,57.0,4,1.0
,3200.0,7.0,3177.0,55.0,0.24,6.0,0.095,0,71.0,2,3604.0,49.0,0.2,49.0,0.225,0,11.0,2,3580.0,46.0,0.18,25.0,0.35200000000000004,0,17.0,3,3943.0,41.0,0.17,31.0,0.207,0,23.0,2,4893.0,29.0,0.17,32.0,0.18899999999999997,0,27.0,2,4744.0,27.0,0.18,20.0,0.19699999999999998,0,58.0,2,21.0
,4750.0,8.0,3801.0,45.0,0.17,45.0,0.408,0,39.0,3,3474.0,49.0,0.18,38.0,0.35600000000000004,0,47.0,3,4929.0,24.0,0.24,59.0,0.043,0,34.0,1,3188.0,58.0,0.17,42.0,0.467,0,52.0,4,4924.0,27.0,0.16,4.0,0.17,0,24.0,1,4993.0,22.0,0.21,24.0,0.09300000000000001,0,46.0,1,67.0
,560.0,10.0,4347.0,34.0,0.16,56.0,0.491,0,38.0,4,4447.0,32.0,0.17,3.0,0.37799999999999995,0,69.0,3,4501.0,31.0,0.16,19.0,0.45299999999999996,0,72.0,4,4670.0,34.0,0.21,44.0,0.121,0,37.0,1,4373.0,31.0,0.19,51.0,0.344,0,44.0,3,4961.0,23.0,0.15,12.0,0.295,0,75.0,2,1.0
,68240.0,11.0,3334.0,51.0,0.21,55.0,0.391,0,60.0,3,3932.0,43.0,0.18,2.0,0.285,0,53.0,2,4183.0,33.0,0.13,35.0,0.39299999999999996,0,42.0,3,3801.0,45.0,0.17,45.0,0.408,0,39.0,3,3674.0,47.0,0.15,33.0,0.38799999999999996,0,51.0,3,4893.0,29.0,0.17,32.0,0.18899999999999997,0,27.0,2,58.0
,2370.0,12.0,4885.0,23.0,0.12,34.0,0.564,0,74.0,4,3845.0,43.0,0.17,43.0,0.521,0,67.0,4,3188.0,58.0,0.17,42.0,0.467,0,52.0,4,4050.0,38.0,0.16,13.0,0.525,0,68.0,4,4304.0,36.0,0.17,27.0,0.387,0,64.0,3,4117.0,38.0,0.18,39.0,0.45,0,21.0,4,9.0
