,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
0,2014.0,2,1,71.0,0.183,0.18
1,2538.0,2,1,69.0,0.079,0.20
2,2785.0,2,1,64.0,0.169,0.19
3,2787.0,2,1,63.0,0.260,0.18
4,2816.0,2,1,65.0,0.266,0.21
5,2841.0,2,1,62.0,0.308,0.18
6,2844.0,2,1,61.0,0.247,0.19
7,2876.0,2,1,61.0,0.401,0.17
8,2878.0,3,1,60.0,0.411,0.18
9,2883.0,2,1,65.0,0.160,0.21
10,2903.0,2,1,59.0,0.247,0.18
11,2907.0,2,1,64.0,0.058,0.20
12,2912.0,2,1,63.0,0.275,0.17
13,2930.0,3,1,62.0,0.402,0.17
14,2935.0,2,1,60.0,0.269,0.19
15,2941.0,2,1,58.0,0.103,0.20
16,2942.0,2,1,58.0,0.366,0.12
17,2958.0,2,1,61.0,0.204,0.19
18,2983.0,2,0,59.0,0.140,0.17
19,2992.0,4,1,57.0,0.405,0.15
20,3005.0,1,1,61.0,0.000,0.00
21,3006.0,2,1,61.0,0.197,0.22
22,3020.0,2,1,58.0,0.241,0.24
23,3022.0,4,1,58.0,0.486,0.16
24,3024.0,4,1,57.0,0.560,0.16
25,3025.0,2,1,56.0,0.181,0.20
26,3036.0,2,1,60.0,0.219,0.17
27,3044.0,2,1,58.0,0.180,0.19
28,3051.0,2,1,56.0,0.218,0.17
29,3052.0,2,1,56.0,0.142,0.20
30,3054.0,4,1,55.0,0.482,0.16
31,3058.0,2,1,61.0,0.256,0.18
32,3064.0,2,1,59.0,0.381,0.17
33,3065.0,2,1,59.0,0.245,0.19
34,3066.0,2,1,58.0,0.168,0.19
35,3070.0,3,1,57.0,0.338,0.15
36,3072.0,2,1,57.0,0.375,0.17
37,3073.0,2,1,56.0,0.238,0.16
38,3075.0,3,1,56.0,0.414,0.16
39,3079.0,2,1,55.0,0.291,0.19
40,3081.0,3,1,55.0,0.457,0.17
41,3085.0,2,1,58.0,0.338,0.19
42,3105.0,2,1,55.0,0.311,0.18
43,3107.0,2,1,55.0,0.245,0.17
44,3108.0,2,1,55.0,0.186,0.18
45,3117.0,2,0,57.0,0.109,0.22
46,3122.0,2,1,57.0,0.196,0.17
47,3123.0,2,1,56.0,0.133,0.19
48,3135.0,1,1,60.0,0.047,0.22
49,3136.0,1,1,59.0,0.104,0.18
50,3137.0,2,1,58.0,0.062,0.19
51,3138.0,2,1,58.0,0.146,0.23
52,3141.0,2,1,57.0,0.234,0.17
53,3142.0,2,0,56.0,0.261,0.21
54,3151.0,2,1,54.0,0.367,0.15
55,3153.0,2,1,54.0,0.255,0.23
56,3156.0,2,1,54.0,0.320,0.16
57,3158.0,4,1,53.0,0.511,0.14
58,3159.0,4,1,53.0,0.627,0.15
59,3161.0,3,1,58.0,0.413,0.19
60,3164.0,2,1,57.0,0.217,0.22
61,3170.0,2,1,55.0,0.128,0.23
62,3174.0,2,1,55.0,0.149,0.19
63,3175.0,3,0,55.0,0.336,0.16
64,3176.0,2,1,54.0,0.230,0.21
65,3177.0,2,0,54.0,0.175,0.20
66,3182.0,2,0,53.0,0.144,0.21
67,3186.0,2,1,58.0,0.344,0.19
68,3187.0,2,1,57.0,0.186,0.20
69,3188.0,4,0,57.0,0.512,0.17
70,3189.0,2,1,56.0,0.137,0.20
71,3200.0,4,1,53.0,0.438,0.16
72,3202.0,2,1,53.0,0.209,0.19
73,3207.0,2,0,53.0,0.184,0.19
74,3211.0,2,1,56.0,0.250,0.17
75,3212.0,3,1,56.0,0.409,0.16
76,3214.0,2,1,56.0,0.076,0.19
77,3220.0,2,1,54.0,0.245,0.19
78,3224.0,3,1,53.0,0.350,0.17
79,3226.0,2,1,53.0,0.237,0.20
80,3227.0,3,1,53.0,0.439,0.16
81,3231.0,3,1,52.0,0.376,0.17
82,3232.0,4,0,52.0,0.547,0.15
83,3233.0,3,1,51.0,0.458,0.17
84,3234.0,2,1,51.0,0.157,0.17
85,3235.0,2,1,56.0,0.220,0.18
86,3236.0,2,1,56.0,0.208,0.20
87,3243.0,1,1,54.0,0.083,0.22
88,3245.0,3,1,54.0,0.318,0.16
89,3246.0,3,1,54.0,0.353,0.16
90,3251.0,4,1,52.0,0.376,0.17
91,3254.0,2,0,51.0,0.175,0.22
92,3256.0,4,1,51.0,0.608,0.15
93,3257.0,4,1,51.0,0.694,0.13
94,3261.0,2,1,55.0,0.252,0.18
95,3265.0,4,1,53.0,0.634,0.14
96,3268.0,4,1,53.0,0.465,0.17
97,3273.0,2,1,53.0,0.215,0.17
98,3276.0,2,1,52.0,0.218,0.20
99,3277.0,2,1,52.0,0.299,0.17
100,3280.0,2,0,51.0,0.281,0.19
101,3281.0,2,1,51.0,0.152,0.22
102,3282.0,2,1,51.0,0.271,0.21
103,3283.0,2,1,51.0,0.294,0.17
104,3284.0,4,1,51.0,0.444,0.19
105,3286.0,2,1,50.0,0.360,0.18
106,3289.0,3,0,55.0,0.376,0.19
107,3290.0,4,1,55.0,0.581,0.15
108,3293.0,2,1,53.0,0.203,0.20
109,3294.0,2,1,53.0,0.257,0.15
110,3295.0,3,1,52.0,0.421,0.17
111,3296.0,1,1,51.0,0.142,0.25
112,3297.0,3,1,51.0,0.389,0.19
113,3298.0,1,0,51.0,0.400,0.14
114,3300.0,4,1,51.0,0.566,0.14
