racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
1485,2,1,69,0.221,0.18
1710,2,1,68,0.239,0.21
1759,2,1,65,0.191,0.22
2014,2,1,64,0.310,0.16
2015,1,1,64,0.096,0.24
2205,1,1,63,0.000,0.00
2223,2,1,67,0.100,0.22
2273,2,1,62,0.271,0.19
2276,2,1,61,0.302,0.18
2349,1,1,64,0.067,0.21
2372,3,1,62,0.432,0.19
2376,2,1,61,0.181,0.19
2377,2,1,61,0.288,0.16
2380,2,1,61,0.245,0.17
2429,2,1,60,0.100,0.22
2430,2,1,60,0.258,0.18
2504,2,1,60,0.229,0.19
2505,2,1,60,0.108,0.21
2528,3,1,63,0.383,0.19
2531,1,1,63,0.000,0.28
2538,2,1,62,0.221,0.19
2568,2,1,62,0.186,0.18
2569,1,1,62,0.000,0.00
2585,3,1,59,0.397,0.18
2596,2,1,63,0.198,0.18
2606,2,1,62,0.250,0.23
2613,2,1,61,0.176,0.20
2679,2,1,62,0.230,0.24
2687,2,1,60,0.120,0.23
2698,2,1,57,0.186,0.22
2709,2,1,62,0.120,0.22
2712,2,1,62,0.122,0.22
2715,2,1,61,0.210,0.19
2752,1,1,59,0.075,0.20
2757,2,1,59,0.187,0.19
2763,2,1,55,0.250,0.18
2774,1,1,59,0.000,0.00
2776,1,1,58,0.087,0.21
2781,2,1,57,0.205,0.21
2782,2,1,57,0.154,0.22
2784,2,1,57,0.212,0.16
2785,3,1,57,0.403,0.18
2787,3,1,56,0.440,0.16
2788,2,1,56,0.235,0.19
2789,2,1,56,0.128,0.18
2793,2,1,55,0.207,0.20
2795,2,1,55,0.101,0.22
2800,2,1,59,0.138,0.23
2803,2,1,58,0.211,0.19
2808,1,1,56,0.042,0.31
2809,2,1,55,0.242,0.21
2811,2,1,59,0.141,0.18
2816,2,1,58,0.214,0.22
2820,2,1,58,0.314,0.17
2823,2,1,58,0.309,0.21
2833,3,1,56,0.431,0.18
2837,2,1,55,0.254,0.18
2838,2,1,55,0.175,0.19
2841,3,1,55,0.325,0.20
2842,2,1,55,0.252,0.18
2843,2,1,54,0.153,0.21
2844,2,1,54,0.363,0.18
2850,2,1,59,0.159,0.21
2857,2,1,56,0.260,0.20
2858,2,1,56,0.118,0.22
2871,2,1,55,0.121,0.19
2874,2,1,54,0.122,0.19
2876,4,1,54,0.512,0.18
2878,3,1,53,0.448,0.19
2881,1,1,58,0.058,0.27
2883,2,1,58,0.152,0.20
2885,2,1,57,0.112,0.20
2887,2,1,56,0.259,0.22
2888,2,1,56,0.156,0.21
2891,2,1,55,0.115,0.24
2894,1,1,55,0.076,0.20
2902,2,1,52,0.125,0.22
2903,3,1,52,0.336,0.18
2904,2,1,52,0.218,0.21
2905,1,1,58,0.000,0.19
2907,2,1,57,0.141,0.22
2909,2,1,56,0.289,0.21
2910,2,1,56,0.255,0.19
2912,2,1,56,0.306,0.18
2913,2,1,55,0.150,0.20
2914,4,1,54,0.463,0.16
2920,2,1,53,0.177,0.21
2930,3,1,55,0.426,0.19
2935,2,1,53,0.212,0.20
2936,2,1,53,0.171,0.19
2939,2,1,52,0.106,0.21
2941,2,1,51,0.200,0.21
2942,4,1,51,0.472,0.11
2946,2,1,50,0.113,0.27
2958,3,1,54,0.336,0.18
2959,2,1,53,0.256,0.20
2960,2,1,53,0.148,0.22
2969,2,1,55,0.272,0.19
2970,2,1,55,0.100,0.19
2972,2,1,54,0.255,0.19
2973,2,1,54,0.144,0.21
2974,2,1,54,0.330,0.17
2975,1,1,54,0.077,0.21
2983,2,0,52,0.311,0.19
2988,2,0,50,0.101,0.26
2989,2,1,50,0.254,0.19
2992,4,1,50,0.565,0.13
2994,2,1,50,0.234,0.21
2995,2,0,50,0.102,0.22
2997,3,1,49,0.350,0.22
2998,1,1,49,0.072,0.22
3004,2,1,54,0.101,0.24
3005,3,1,54,0.357,0.17
3006,2,1,54,0.201,0.21
3008,2,1,54,0.166,0.18
3010,4,1,53,0.534,0.15
3013,2,1,53,0.213,0.21
3020,2,1,51,0.245,0.24
3022,4,1,51,0.496,0.17
3024,4,1,50,0.641,0.18
3025,3,1,49,0.400,0.19
3036,3,1,53,0.410,0.18
3044,3,1,51,0.335,0.18
3051,2,1,49,0.314,0.17
3052,2,1,49,0.254,0.21
3054,4,1,48,0.554,0.16
3056,4,1,55,0.554,0.16
3058,2,1,54,0.168,0.17
3060,2,1,53,0.207,0.18
3064,3,1,52,0.464,0.17
3065,2,1,52,0.275,0.25
3066,2,1,51,0.234,0.22
3070,4,1,50,0.518,0.15
3071,1,1,50,0.092,0.24
3072,4,1,50,0.618,0.15
3073,2,1,49,0.320,0.17
3075,3,1,49,0.344,0.18
3076,2,0,49,0.192,0.20
3078,1,1,48,0.000,0.26
3079,2,1,48,0.306,0.20
3081,4,1,48,0.504,0.18
3083,2,0,52,0.121,0.24
3085,3,1,51,0.333,0.18
3086,2,1,51,0.227,0.17
3089,2,0,50,0.136,0.21
3090,2,1,50,0.144,0.21
3091,2,1,50,0.250,0.23
3092,1,0,50,0.081,0.22
3094,2,0,49,0.104,0.23
3095,2,1,49,0.283,0.18
3100,1,0,48,0.181,0.18
3103,2,1,48,0.308,0.17
3104,2,1,48,0.170,0.19
3105,2,1,48,0.319,0.19
3107,4,1,48,0.452,0.18
3108,2,1,48,0.127,0.18
3113,2,1,51,0.391,0.18
3114,2,0,51,0.119,0.22
3115,2,1,50,0.123,0.24
3117,2,0,50,0.100,0.27
3120,2,1,50,0.263,0.21
3121,3,1,50,0.362,0.18
3122,2,1,50,0.270,0.18
3123,2,1,49,0.278,0.19
3128,2,0,48,0.128,0.21
3135,2,1,53,0.343,0.19
3136,2,1,52,0.208,0.16
3137,2,1,51,0.275,0.20
3138,2,1,51,0.125,0.24
3139,2,0,51,0.108,0.21
3140,3,0,50,0.320,0.20
3141,2,1,50,0.256,0.18
3142,2,0,49,0.100,0.24
3151,3,1,47,0.411,0.16
3153,2,1,47,0.323,0.21
3156,3,1,47,0.424,0.16
3158,4,1,46,0.475,0.15
3159,4,1,46,0.518,0.16
3160,2,1,51,0.194,0.20
3161,4,1,51,0.503,0.18
3162,2,1,51,0.133,0.16
3164,3,1,50,0.353,0.21
3166,2,1,50,0.181,0.18
3169,2,0,49,0.119,0.24
3170,2,1,48,0.161,0.24
3171,2,1,48,0.150,0.22
3174,2,1,48,0.193,0.17
3175,3,0,48,0.388,0.19
3176,3,1,47,0.335,0.19
3177,2,0,47,0.190,0.21
3181,2,1,47,0.237,0.21
3182,2,0,46,0.290,0.19
3185,2,1,52,0.100,0.23
3186,2,1,51,0.250,0.20
3187,3,1,50,0.367,0.19
3188,4,0,50,0.535,0.16
3189,2,1,49,0.163,0.20
3190,2,1,49,0.337,0.19
3191,2,1,49,0.128,0.28
3195,1,0,48,0.087,0.19
3200,4,1,46,0.538,0.18
3202,2,1,46,0.259,0.20
3207,2,0,46,0.233,0.20
3211,2,1,49,0.296,0.19
3212,3,1,49,0.487,0.18
3214,2,1,49,0.196,0.19
3215,2,1,49,0.236,0.23
3219,2,1,48,0.320,0.18
3220,2,1,47,0.253,0.16
3223,1,1,47,0.094,0.21
3224,2,1,46,0.217,0.18
3225,2,0,46,0.178,0.24
3226,2,1,46,0.323,0.17
3227,3,1,46,0.507,0.18
3228,2,1,46,0.101,0.23
3231,3,1,45,0.358,0.17
3232,4,0,45,0.560,0.14
3233,4,1,44,0.451,0.16
3234,2,1,44,0.250,0.18
3235,2,1,49,0.301,0.20
3236,3,1,49,0.431,0.15
3243,2,1,47,0.291,0.22
3244,2,1,47,0.363,0.13
3245,4,1,47,0.598,0.15
3246,2,1,47,0.318,0.19
3251,4,1,45,0.393,0.18
3254,2,0,44,0.211,0.23
3256,4,1,44,0.491,0.15
3257,4,1,44,0.591,0.14
3261,3,1,48,0.366,0.18
3262,1,1,48,0.000,0.25
3263,1,1,47,0.081,0.21
3265,3,1,46,0.638,0.18
3268,2,1,46,0.319,0.19
3269,2,1,46,0.209,0.21
3271,2,1,46,0.277,0.18
3273,2,1,46,0.287,0.21
3276,2,1,45,0.207,0.21
3277,2,1,45,0.213,0.18
3278,3,1,45,0.448,0.19
3280,3,0,44,0.398,0.20
3281,2,1,44,0.193,0.22
3282,4,1,44,0.424,0.16
3283,3,1,44,0.426,0.19
3284,3,1,44,0.449,0.18
3286,2,1,43,0.346,0.18
3289,2,0,48,0.291,0.19
3290,4,1,48,0.512,0.16
3291,2,1,47,0.205,0.21
3293,2,1,46,0.275,0.22
3294,2,1,46,0.238,0.19
3295,4,1,45,0.441,0.17
3296,2,1,44,0.120,0.20
3297,4,1,44,0.557,0.18
3298,2,0,44,0.222,0.21
3299,1,0,44,0.061,0.21
3300,4,1,44,0.582,0.15
3302,4,0,44,0.583,0.18
3303,2,1,44,0.302,0.23
3304,4,1,44,0.529,0.15
3305,3,1,44,0.437,0.18
3306,2,1,43,0.217,0.19
3307,1,1,43,0.000,0.00
3308,2,1,48,0.189,0.25
3309,2,1,48,0.252,0.17
3310,2,1,47,0.212,0.20
3311,2,1,47,0.176,0.22
3312,4,1,46,0.493,0.18
3313,3,1,46,0.341,0.18
3314,2,1,46,0.114,0.18
3315,3,1,46,0.340,0.17
3317,2,0,45,0.247,0.19
3318,2,1,45,0.131,0.19
3319,4,1,44,0.440,0.16
3320,2,1,44,0.254,0.19
3324,2,0,44,0.103,0.23
3325,2,1,44,0.229,0.18
3326,2,1,44,0.247,0.18
3327,4,1,44,0.500,0.17
3328,2,0,44,0.149,0.21
3329,4,1,44,0.503,0.15
3331,4,1,43,0.592,0.17
3333,4,1,43,0.560,0.16
3334,4,0,43,0.462,0.18
3335,2,1,42,0.299,0.20
3336,2,1,47,0.258,0.16
3338,2,1,46,0.214,0.17
3339,3,1,46,0.471,0.16
3340,2,1,46,0.280,0.21
3341,2,1,46,0.106,0.23
3342,2,1,46,0.205,0.16
3343,3,1,46,0.453,0.19
3344,2,1,45,0.258,0.17
3346,3,1,45,0.384,0.18
3347,3,1,44,0.360,0.21
3349,4,1,43,0.568,0.17
3350,4,1,43,0.458,0.17
3352,2,1,43,0.306,0.15
3353,3,1,43,0.373,0.19
3354,3,1,43,0.384,0.19
3355,2,0,43,0.245,0.25
3357,3,0,43,0.447,0.21
3358,2,1,42,0.240,0.24
3360,4,1,42,0.521,0.21
3361,3,1,42,0.309,0.19
3362,3,1,42,0.390,0.18
3363,1,1,47,0.081,0.23
3365,2,1,46,0.215,0.19
3368,2,1,46,0.192,0.21
3369,2,1,45,0.132,0.20
3370,2,1,45,0.291,0.18
3372,2,1,45,0.170,0.24
3373,2,1,44,0.263,0.20
3374,2,1,44,0.108,0.23
3376,2,1,44,0.190,0.22
3377,3,1,44,0.363,0.20
3378,2,1,43,0.198,0.21
3379,3,1,43,0.473,0.18
3380,2,1,43,0.131,0.22
3381,4,1,43,0.524,0.16
3382,3,1,43,0.410,0.16
3385,3,1,42,0.382,0.18
3388,4,1,42,0.500,0.15
3390,2,1,46,0.116,0.20
3391,4,1,46,0.484,0.17
3392,2,1,46,0.255,0.23
3393,2,1,46,0.222,0.19
3394,2,1,45,0.195,0.22
3396,2,1,45,0.102,0.18
3397,2,1,45,0.172,0.22
3398,2,1,44,0.135,0.23
3400,2,1,44,0.336,0.18
3401,3,1,44,0.379,0.19
3402,1,1,44,0.061,0.16
3404,2,1,44,0.211,0.20
3405,2,1,43,0.114,0.23
3406,4,1,43,0.543,0.15
3407,2,1,43,0.330,0.16
3408,2,1,42,0.100,0.25
3409,3,1,42,0.439,0.19
3411,2,1,42,0.272,0.17
3412,4,1,42,0.458,0.17
3413,2,1,42,0.115,0.22
3414,4,1,42,0.489,0.17
3415,4,1,42,0.480,0.15
3417,2,1,42,0.317,0.17
3419,2,1,42,0.232,0.21
3420,2,1,42,0.166,0.19
3422,4,1,40,0.394,0.16
3424,2,1,45,0.235,0.19
3425,2,1,45,0.147,0.22
3426,2,1,45,0.217,0.21
3427,1,1,44,0.000,0.00
3428,2,1,44,0.265,0.21
3430,4,1,43,0.496,0.17
3432,3,1,43,0.426,0.16
3433,2,1,43,0.294,0.20
3434,3,1,42,0.405,0.18
3435,4,0,42,0.510,0.18
3436,4,1,42,0.514,0.13
3438,3,1,42,0.333,0.21
3439,4,1,42,0.506,0.16
3440,4,1,42,0.595,0.16
3441,2,1,42,0.333,0.19
3442,3,1,42,0.372,0.17
3443,4,1,42,0.454,0.17
3444,2,1,42,0.366,0.16
3445,4,1,42,0.504,0.19
3446,2,0,42,0.120,0.23
3447,1,1,42,0.041,0.21
3448,3,1,41,0.328,0.18
3452,4,1,41,0.483,0.17
3453,2,1,40,0.129,0.26
3454,3,1,40,0.415,0.18
3455,3,1,40,0.330,0.16
3456,2,1,40,0.233,0.18
3457,2,1,45,0.130,0.22
3458,3,1,45,0.468,0.16
3459,2,1,44,0.306,0.19
3460,2,1,44,0.217,0.19
3461,3,1,44,0.352,0.19
3462,4,1,44,0.527,0.17
3463,4,1,44,0.452,0.15
3465,2,1,44,0.126,0.23
3466,2,1,43,0.151,0.20
3467,3,1,43,0.409,0.16
3468,2,1,42,0.342,0.18
3469,2,0,42,0.171,0.22
3470,3,0,42,0.389,0.16
3471,2,1,41,0.287,0.21
3472,2,1,41,0.136,0.21
3473,4,1,41,0.503,0.16
3474,2,0,41,0.265,0.18
3475,4,1,41,0.525,0.17
3476,2,1,41,0.145,0.24
3477,3,1,41,0.316,0.18
3478,3,1,41,0.383,0.17
3480,2,1,41,0.121,0.20
3481,1,0,41,0.000,0.00
3482,2,1,40,0.315,0.18
3483,2,0,40,0.125,0.23
3484,4,1,40,0.570,0.18
3485,3,1,40,0.414,0.17
3486,2,0,45,0.268,0.23
3487,1,1,44,0.020,0.23
