,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,5780.0,2,4501,19.0,72.0,4924,4.0,24.0,3357,8.0,70.0,3845,43.0,67.0,4984,7.0,56.0,3604,49.0,11.0,7
,790.0,3,3302,17.0,15.0,4670,44.0,37.0,4885,34.0,74.0,4993,24.0,46.0,3334,55.0,60.0,3943,31.0,23.0,5
,390.0,4,4050,13.0,68.0,3142,54.0,25.0,4347,56.0,38.0,4183,35.0,42.0,4938,50.0,14.0,4947,65.0,41.0,6
,3060.0,5,4373,51.0,44.0,4117,39.0,21.0,4694,30.0,29.0,3932,2.0,53.0,4065,48.0,30.0,5057,1.0,20.0,31
,1360.0,6,4419,63.0,50.0,3674,33.0,51.0,4447,3.0,69.0,3357,8.0,70.0,4806,21.0,54.0,3900,14.0,57.0,1
,3200.0,7,3177,6.0,71.0,3604,49.0,11.0,3580,25.0,17.0,3943,31.0,23.0,4893,32.0,27.0,4744,20.0,58.0,21
,4750.0,8,3801,45.0,39.0,3474,38.0,47.0,4929,59.0,34.0,3188,42.0,52.0,4924,4.0,24.0,4993,24.0,46.0,67
,560.0,10,4347,56.0,38.0,4447,3.0,69.0,4501,19.0,72.0,4670,44.0,37.0,4373,51.0,44.0,4961,12.0,75.0,1
,68240.0,11,3334,55.0,60.0,3932,2.0,53.0,4183,35.0,42.0,3801,45.0,39.0,3674,33.0,51.0,4893,32.0,27.0,58
,2370.0,12,4885,34.0,74.0,3845,43.0,67.0,3188,42.0,52.0,4050,13.0,68.0,4304,27.0,64.0,4117,39.0,21.0,9
,8120.0,1,4117,39.0,21.0,4419,63.0,50.0,3604,49.0,11.0,3142,54.0,25.0,3580,25.0,17.0,4694,30.0,29.0,20
,6310.0,2,4447,3.0,69.0,4744,20.0,58.0,3474,38.0,47.0,4885,34.0,74.0,5057,1.0,20.0,4938,50.0,14.0,44
,5710.0,3,3900,14.0,57.0,3177,6.0,71.0,3845,43.0,67.0,4984,7.0,56.0,4183,35.0,42.0,4929,59.0,34.0,42
,5520.0,4,3188,42.0,52.0,4714,61.0,65.0,4993,24.0,46.0,4373,51.0,44.0,4901,18.0,35.0,4670,44.0,37.0,14
,1410.0,5,4893,32.0,27.0,4050,13.0,68.0,4947,65.0,41.0,4419,63.0,50.0,3801,45.0,39.0,4501,19.0,72.0,36
,8110.0,6,3357,8.0,70.0,3334,55.0,60.0,3302,17.0,15.0,4065,48.0,30.0,3474,38.0,47.0,4304,27.0,64.0,47
,850.0,7,3142,54.0,25.0,4347,56.0,38.0,4924,4.0,24.0,4961,12.0,75.0,4929,59.0,34.0,5057,1.0,20.0,29
,3140.0,8,3674,33.0,51.0,3943,31.0,23.0,4373,51.0,44.0,3604,49.0,11.0,4885,34.0,74.0,4984,7.0,56.0,6
,2940.0,9,4744,20.0,58.0,3302,17.0,15.0,4806,21.0,54.0,4901,18.0,35.0,4050,13.0,68.0,3177,6.0,71.0,29
,730.0,10,3580,25.0,17.0,3188,42.0,52.0,3900,14.0,57.0,3334,55.0,60.0,4947,65.0,41.0,3932,2.0,53.0,1
,2070.0,11,4183,35.0,42.0,4938,50.0,14.0,4117,39.0,21.0,4501,19.0,72.0,4961,12.0,75.0,4065,48.0,30.0,42
,2260.0,12,3845,43.0,67.0,4694,30.0,29.0,3801,45.0,39.0,3674,33.0,51.0,4447,3.0,69.0,4347,56.0,38.0,9
,750.0,1,4501,19.0,72.0,3357,8.0,70.0,4744,20.0,58.0,3177,6.0,71.0,4670,44.0,37.0,4929,59.0,34.0,3
,880.0,2,3334,55.0,60.0,4961,12.0,75.0,4893,32.0,27.0,3188,42.0,52.0,4694,30.0,29.0,5057,1.0,20.0,9
,6100.0,3,4373,51.0,44.0,4714,61.0,65.0,4050,13.0,68.0,4924,4.0,24.0,3302,17.0,15.0,3474,38.0,47.0,51
,1560.0,4,3900,14.0,57.0,3801,45.0,39.0,3943,31.0,23.0,4117,39.0,21.0,4993,24.0,46.0,4984,7.0,56.0,22
,3490.0,5,4670,44.0,37.0,4885,34.0,74.0,3142,54.0,25.0,4901,18.0,35.0,4419,63.0,50.0,4304,27.0,64.0,21
,8000.0,6,4961,12.0,75.0,3580,25.0,17.0,3845,43.0,67.0,4947,65.0,41.0,3177,6.0,71.0,4447,3.0,69.0,2
,730.0,7,3604,49.0,11.0,4806,21.0,54.0,4938,50.0,14.0,4694,30.0,29.0,4744,20.0,58.0,4714,61.0,65.0,6
,47860.0,8,3302,17.0,15.0,4117,39.0,21.0,3932,2.0,53.0,4929,59.0,34.0,5057,1.0,20.0,3674,33.0,51.0,107
,950.0,9,3943,31.0,23.0,4183,35.0,42.0,4347,56.0,38.0,3474,38.0,47.0,3845,43.0,67.0,3142,54.0,25.0,27
,1350.0,10,4065,48.0,30.0,4893,32.0,27.0,4885,34.0,74.0,4447,3.0,69.0,4924,4.0,24.0,3357,8.0,70.0,5
,720.0,11,3188,42.0,52.0,4901,18.0,35.0,4501,19.0,72.0,4938,50.0,14.0,3932,2.0,53.0,3801,45.0,39.0,5
,980.0,12,4050,13.0,68.0,3674,33.0,51.0,4419,63.0,50.0,3900,14.0,57.0,3604,49.0,11.0,4183,35.0,42.0,9
,730.0,1,4183,35.0,42.0,3177,6.0,71.0,3932,2.0,53.0,4419,63.0,50.0,3357,8.0,70.0,5057,1.0,20.0,5
,510.0,2,3801,45.0,39.0,4065,48.0,30.0,4714,61.0,65.0,4117,39.0,21.0,4806,21.0,54.0,4947,65.0,41.0,9
