racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
2014,2,1,68,0.265,0.16
2380,3,1,65,0.382,0.16
2504,1,1,64,0.162,0.23
2505,1,1,64,0.083,0.24
2528,2,1,67,0.244,0.19
2538,2,1,66,0.171,0.20
2568,2,1,66,0.172,0.19
2585,2,1,63,0.268,0.19
2596,2,1,67,0.160,0.18
2698,2,1,61,0.166,0.20
2757,1,1,63,0.102,0.19
2776,2,1,62,0.116,0.20
2781,1,1,61,0.071,0.20
2785,2,1,61,0.304,0.18
2787,2,1,60,0.317,0.16
2816,2,1,62,0.314,0.21
2820,1,1,62,0.000,0.00
2823,2,1,62,0.172,0.21
2838,2,1,59,0.155,0.18
2841,2,1,59,0.307,0.19
2842,2,1,59,0.210,0.18
2843,1,1,58,0.040,0.21
2844,2,1,58,0.327,0.19
2850,1,1,63,0.111,0.22
2871,1,1,59,0.066,0.18
2876,3,1,58,0.428,0.19
2878,4,1,57,0.467,0.18
2883,2,1,62,0.220,0.20
2887,2,1,60,0.252,0.19
2903,2,1,56,0.339,0.19
2904,2,1,56,0.178,0.20
2907,2,1,61,0.155,0.19
2910,2,1,60,0.202,0.19
2912,2,1,60,0.285,0.19
2914,3,1,58,0.426,0.15
2930,4,1,59,0.456,0.19
2935,2,1,57,0.154,0.19
2941,2,1,55,0.217,0.18
2942,3,1,55,0.461,0.11
2958,2,1,58,0.320,0.18
2959,2,1,57,0.241,0.20
2969,2,1,59,0.180,0.19
2974,2,1,58,0.202,0.16
2983,3,0,56,0.352,0.18
2992,4,1,54,0.479,0.14
2994,2,1,54,0.176,0.21
2995,2,0,54,0.173,0.24
2997,2,1,53,0.222,0.23
3005,2,1,58,0.269,0.21
3006,2,1,58,0.128,0.21
3010,4,1,57,0.602,0.15
3013,2,1,57,0.295,0.21
3020,2,1,55,0.298,0.23
3022,4,1,55,0.554,0.16
3024,4,1,54,0.696,0.18
3025,2,1,53,0.211,0.21
3036,1,1,57,0.190,0.14
3051,2,1,53,0.293,0.17
3052,2,1,53,0.218,0.22
3054,4,1,52,0.496,0.15
3056,2,1,59,0.413,0.17
3058,2,1,58,0.219,0.18
3064,3,1,56,0.418,0.17
3065,2,1,56,0.123,0.23
3066,2,1,55,0.228,0.21
3070,4,1,54,0.475,0.17
3072,2,1,54,0.347,0.17
3073,2,1,53,0.229,0.17
3075,3,1,53,0.433,0.16
3076,1,0,53,0.081,0.19
3079,3,1,52,0.422,0.19
3081,3,1,52,0.425,0.16
3083,1,0,56,0.040,0.26
3085,2,1,55,0.226,0.20
3090,2,1,54,0.170,0.21
3092,1,0,54,0.122,0.22
3094,1,0,53,0.066,0.19
3095,2,1,53,0.213,0.19
3100,1,0,52,0.145,0.16
3103,2,1,52,0.301,0.15
3104,1,1,52,0.037,0.20
3105,2,1,52,0.285,0.18
3107,3,1,52,0.398,0.20
3108,2,1,52,0.169,0.17
3117,2,0,54,0.137,0.24
3120,2,1,54,0.129,0.19
3121,3,1,54,0.380,0.18
3122,2,1,54,0.250,0.18
3123,2,1,53,0.229,0.19
3128,2,0,52,0.185,0.18
3135,2,1,57,0.321,0.19
3136,2,1,56,0.135,0.18
3137,2,1,55,0.141,0.20
3138,2,1,55,0.144,0.23
3139,2,0,55,0.105,0.21
3141,2,1,54,0.330,0.19
3142,2,0,53,0.183,0.19
3151,3,1,51,0.398,0.15
3153,2,1,51,0.305,0.22
3156,4,1,51,0.536,0.15
3158,3,1,50,0.457,0.15
3159,4,1,50,0.553,0.15
3161,3,1,55,0.313,0.19
3164,3,1,54,0.408,0.19
3166,2,1,54,0.133,0.18
3169,2,0,53,0.163,0.23
3170,2,1,52,0.233,0.22
3171,2,1,52,0.123,0.18
3174,2,1,52,0.217,0.18
3175,3,0,52,0.311,0.16
3176,3,1,51,0.369,0.16
3177,2,0,51,0.172,0.21
3181,2,1,51,0.110,0.20
3182,2,0,50,0.261,0.17
3186,2,1,55,0.236,0.20
3187,2,1,54,0.257,0.19
3188,4,0,54,0.535,0.18
3189,2,1,53,0.115,0.22
3190,2,1,53,0.156,0.19
3191,1,1,53,0.016,0.32
3195,1,0,52,0.041,0.21
3200,4,1,50,0.558,0.15
3202,2,1,50,0.303,0.18
3207,2,0,50,0.228,0.17
3211,2,1,53,0.262,0.17
3212,4,1,53,0.452,0.17
3214,2,1,53,0.195,0.19
3220,3,1,51,0.373,0.18
3224,2,1,50,0.284,0.19
3225,2,0,50,0.138,0.26
3226,2,1,50,0.241,0.20
3227,4,1,50,0.480,0.16
3228,2,1,50,0.165,0.22
3231,3,1,49,0.346,0.17
3232,4,0,49,0.526,0.16
3233,3,1,48,0.386,0.17
3234,2,1,48,0.207,0.18
3235,2,1,53,0.214,0.18
3236,2,1,53,0.250,0.18
3243,1,1,51,0.000,0.00
3245,3,1,51,0.411,0.16
3246,3,1,51,0.339,0.16
3251,4,1,49,0.438,0.18
3254,2,0,48,0.162,0.24
3256,4,1,48,0.620,0.13
3257,4,1,48,0.663,0.14
3261,2,1,52,0.242,0.20
3265,4,1,50,0.533,0.16
3268,3,1,50,0.340,0.19
3269,2,1,50,0.144,0.19
3273,2,1,50,0.294,0.17
3276,2,1,49,0.206,0.22
3277,2,1,49,0.300,0.17
3278,4,1,49,0.474,0.16
3280,3,0,48,0.407,0.19
3281,2,1,48,0.153,0.23
3282,3,1,48,0.400,0.22
3283,2,1,48,0.255,0.17
3284,4,1,48,0.476,0.19
3286,2,1,47,0.313,0.18
3289,3,0,52,0.401,0.17
3290,4,1,52,0.451,0.15
3291,2,1,51,0.126,0.22
3293,2,1,50,0.229,0.20
3294,2,1,50,0.327,0.15
3295,4,1,49,0.511,0.16
3296,2,1,48,0.140,0.21
3297,4,1,48,0.468,0.18
3298,2,0,48,0.198,0.19
3299,2,0,48,0.183,0.22
3300,4,1,48,0.582,0.14
3302,4,0,48,0.520,0.18
3303,3,1,48,0.313,0.18
3304,3,1,48,0.386,0.16
3305,3,1,48,0.398,0.18
3306,2,1,47,0.186,0.18
3307,1,1,47,0.000,0.00
3309,2,1,52,0.202,0.20
3310,2,1,51,0.122,0.20
3312,4,1,50,0.484,0.18
3313,2,1,50,0.320,0.17
3315,2,1,50,0.118,0.28
3317,2,0,49,0.233,0.19
3319,3,1,48,0.353,0.17
3324,1,0,48,0.083,0.21
3325,2,1,48,0.222,0.20
3326,4,1,48,0.485,0.17
3327,4,1,48,0.383,0.16
3328,2,0,48,0.129,0.19
3329,4,1,48,0.494,0.14
3331,3,1,47,0.436,0.17
3333,4,1,47,0.493,0.16
3334,3,0,47,0.386,0.19
3335,2,1,46,0.159,0.20
3336,2,1,51,0.311,0.18
3338,3,1,50,0.344,0.17
3339,2,1,50,0.258,0.17
3340,2,1,50,0.211,0.22
3342,2,1,50,0.159,0.19
3343,3,1,50,0.384,0.18
3344,2,1,49,0.196,0.17
3346,3,1,49,0.363,0.16
3347,4,1,48,0.442,0.20
3349,4,1,47,0.496,0.15
3350,2,1,47,0.293,0.17
3352,2,1,47,0.261,0.14
3353,3,1,47,0.430,0.17
3355,2,0,47,0.171,0.26
3357,3,0,47,0.344,0.21
3358,2,1,46,0.222,0.23
3360,3,1,46,0.439,0.20
3361,2,1,46,0.271,0.17
3362,3,1,46,0.463,0.18
3363,1,1,51,0.224,0.18
3365,2,1,50,0.200,0.18
3370,2,1,49,0.156,0.17
3372,2,1,49,0.241,0.18
3373,2,1,48,0.222,0.19
3374,2,1,48,0.142,0.19
3376,2,1,48,0.125,0.24
3377,2,1,48,0.280,0.21
3378,2,1,47,0.144,0.24
3379,4,1,47,0.466,0.17
3381,3,1,47,0.425,0.15
3382,3,1,47,0.394,0.17
3385,3,1,46,0.403,0.18
3388,4,1,46,0.587,0.15
3391,3,1,50,0.453,0.16
3392,2,1,50,0.218,0.23
3393,2,1,50,0.174,0.20
3396,1,1,49,0.187,0.20
3397,2,1,49,0.142,0.20
3398,2,1,48,0.218,0.20
3400,2,1,48,0.320,0.18
3401,3,1,48,0.363,0.17
3404,2,1,48,0.121,0.18
3406,4,1,47,0.459,0.17
3407,2,1,47,0.205,0.20
3408,2,1,46,0.136,0.20
3409,2,1,46,0.255,0.18
3411,2,1,46,0.278,0.17
3412,4,1,46,0.510,0.17
3414,4,1,46,0.487,0.16
3415,4,1,46,0.596,0.14
3417,2,1,46,0.185,0.15
3419,2,1,46,0.285,0.21
3422,4,1,44,0.395,0.16
3424,2,1,49,0.187,0.17
3425,2,1,49,0.135,0.21
3426,1,1,49,0.102,0.21
3427,4,1,48,0.504,0.18
3430,2,1,47,0.296,0.16
3432,3,1,47,0.381,0.14
3433,2,1,47,0.127,0.22
3434,2,1,46,0.344,0.17
