,pred,trans_result
15171,0,0
15172,0,0
15173,0,0
15174,0,0
15175,0,1
15176,0,0
15177,0,0
15178,0,1
15179,0,0
15180,0,0
15181,0,0
15182,0,0
15183,0,0
15184,0,0
15185,0,0
15186,0,0
15187,0,0
15188,0,0
15189,0,0
15190,0,1
15191,0,0
15192,0,0
15193,0,0
15194,0,0
15195,0,0
15196,1,0
15197,0,0
15198,0,0
15199,0,0
15200,0,0
15201,0,0
15202,0,0
15203,0,0
15204,0,0
15205,0,0
15206,0,0
15207,0,0
15208,0,0
15209,0,1
15210,0,0
15211,0,0
15212,0,0
15213,0,0
15214,0,0
15215,0,0
15216,0,0
15217,0,0
15218,0,0
15219,0,0
15220,0,0
15221,0,0
15222,0,0
15223,0,0
15224,0,0
15225,0,0
15226,0,0
15227,0,0
15228,0,0
15229,0,1
15230,0,0
15231,0,0
15232,0,0
15233,0,0
15234,0,0
15235,0,0
15236,0,0
15237,0,0
15238,0,0
15239,0,0
15240,0,0
15241,0,1
15242,0,0
15243,0,0
15244,0,0
15245,0,0
15246,0,0
15247,0,0
15248,0,0
15249,0,0
15250,0,0
15251,0,0
15252,0,1
15253,0,0
15254,0,0
15255,0,0
15256,0,0
15257,0,0
15258,0,0
15259,0,0
15260,0,0
15261,1,0
15262,0,0
15263,0,0
15264,0,0
15265,0,0
15266,0,0
15267,0,0
15268,0,0
15269,0,0
15270,0,0
15271,0,1
15272,0,1
15273,0,0
15274,0,0
15275,0,0
15276,0,0
15277,0,0
15278,0,1
15279,0,0
15280,0,0
15281,0,1
15282,0,0
15283,0,0
15284,0,0
15285,0,0
15286,0,0
15287,0,0
15288,0,0
15289,0,0
15290,0,0
15291,0,0
15292,0,0
15293,0,0
15294,0,0
15295,0,0
15296,1,0
15297,0,0
15298,0,0
15299,0,1
15300,0,0
15301,0,1
15302,0,0
15303,0,0
15304,0,0
15305,0,0
15306,0,0
15307,0,0
15308,1,0
15309,0,0
15310,0,0
15311,0,0
15312,0,0
15313,0,0
15314,0,0
15315,0,0
15316,0,0
