,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,220.0,1,4885,3551,4590,4283,4961,4938,2
,5310.0,2,3802,4882,3357,4530,3182,4947,4
,210.0,3,3611,3693,3188,4994,3894,3207,2
,560.0,5,3175,4045,3817,3551,3435,4936,6
,440.0,6,3357,3845,4525,4694,3232,4891,6
,780.0,7,3117,3182,3254,4961,4738,4994,2
,610.0,8,3801,4590,4400,3693,3994,4984,4
,410.0,9,4017,3435,3207,4885,4947,4929,6
,820.0,10,3894,4283,3175,4901,3845,4882,1
,1980.0,11,3188,4738,4694,3817,3802,4014,6
,570.0,12,4530,3232,3618,3801,3611,4045,2
,250.0,1,3188,4694,3693,4891,4990,3117,1
,10100.0,2,4014,3254,4901,3175,4525,4938,12
,180.0,3,3801,4936,4530,4984,4885,3817,2
,150.0,4,3232,4017,3317,4400,4947,4961,1
,6310.0,5,3845,4482,3182,4990,4994,3611,4
,8220.0,6,3693,3802,4045,4929,3207,3618,25
,530.0,7,4590,4901,4283,3357,4088,4984,3
,870.0,8,4525,3894,3435,4738,4891,4017,7
,510.0,9,3551,3611,4882,4936,4938,3994,1
,570.0,11,4045,4014,3894,4088,4530,4400,2
,290.0,12,3435,3188,3845,4885,3802,3175,1
,710.0,1,3802,3207,4738,3317,4994,4961,3
,410.0,2,3175,3817,3117,4045,4929,4590,16
,230.0,3,3894,3254,3435,4990,4482,4283,2
,270.0,4,3845,3357,4882,4947,4885,3801,1
,4050.0,5,4901,4530,4936,4961,4017,4088,21
,1490.0,6,3817,4525,4014,4994,3188,3994,2
,2420.0,7,3317,4400,3551,4891,4984,4929,12
,550.0,8,4738,3611,3232,4938,4283,4947,1
,4350.0,9,4882,3894,4901,3802,3117,3618,29
,240.0,11,4530,3845,3611,3435,3551,3693,1
,170.0,12,3232,3188,4088,4482,4045,3357,1
,3140.0,1,3611,3693,4017,4882,4984,4990,12
,450.0,2,4482,3551,3817,3845,4938,4590,16
,250.0,3,4885,4283,4530,3254,3618,4738,2
,570.0,5,3207,3435,3317,4947,3357,4891,1
,450.0,6,4088,4400,3188,3611,4929,3894,13
,480.0,7,3117,4525,4738,4938,4990,4694,1
,4180.0,8,4283,3175,3802,4984,3801,4901,5
,480.0,9,4400,4482,4936,3618,4891,4014,1
,1050.0,10,3254,4045,4885,4017,3994,3551,12
,10370.0,12,3435,4530,3117,3188,3817,3802,27
,190.0,1,4530,3117,4088,4936,4947,4929,1
,38560.0,2,4885,4901,4283,3232,4891,4994,30
,5200.0,3,3611,4400,3845,4882,4014,3317,16
,190.0,4,3435,3817,4738,4984,4694,3801,2
,280.0,5,3175,3188,3551,4929,4590,3994,6
,3280.0,6,3802,4088,3254,4482,4994,3894,6
,350.0,7,4017,3207,3693,4961,4901,4947,1
,300.0,8,4045,4525,3357,4938,4936,3618,2
,4070.0,9,4283,4882,4482,3801,3994,4990,9
,230.0,10,3845,4017,4885,3117,3551,3254,2
,420.0,11,3188,4045,3802,3207,4738,4400,2
,390.0,12,3232,4530,3435,3611,3175,4525,2
,310.0,1,4017,3317,4936,4088,4694,4984,1
,230.0,2,3611,3117,3817,3618,4990,4929,3
