,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
0,2014.0,2,1,69.0,0.315,0.15
1,2380.0,2,1,66.0,0.166,0.20
2,2505.0,2,1,65.0,0.062,0.21
3,2538.0,2,1,67.0,0.201,0.20
4,2568.0,2,1,67.0,0.157,0.20
5,2596.0,2,1,68.0,0.112,0.19
6,2698.0,2,1,62.0,0.191,0.20
7,2776.0,2,1,63.0,0.079,0.21
8,2785.0,2,1,62.0,0.303,0.17
9,2787.0,2,1,61.0,0.296,0.17
10,2816.0,2,1,63.0,0.197,0.21
11,2820.0,1,1,63.0,0.000,0.27
12,2823.0,2,1,63.0,0.176,0.21
13,2841.0,2,1,60.0,0.211,0.19
14,2842.0,2,1,60.0,0.115,0.19
15,2844.0,2,1,59.0,0.243,0.17
16,2876.0,3,1,59.0,0.468,0.17
17,2878.0,3,1,58.0,0.358,0.19
18,2883.0,2,1,63.0,0.125,0.21
19,2887.0,2,1,61.0,0.230,0.20
20,2903.0,3,1,57.0,0.341,0.19
21,2907.0,2,1,62.0,0.073,0.21
22,2910.0,2,1,61.0,0.276,0.19
23,2912.0,2,1,61.0,0.312,0.18
24,2914.0,3,1,59.0,0.375,0.15
25,2930.0,4,1,60.0,0.480,0.18
26,2935.0,2,1,58.0,0.206,0.19
27,2941.0,2,1,56.0,0.168,0.20
28,2942.0,3,1,56.0,0.405,0.12
29,2958.0,2,1,59.0,0.238,0.20
30,2969.0,2,1,60.0,0.222,0.18
31,2974.0,2,1,59.0,0.260,0.17
32,2983.0,2,0,57.0,0.304,0.19
33,2992.0,4,1,55.0,0.485,0.14
34,2994.0,1,1,55.0,0.170,0.24
35,2995.0,2,0,55.0,0.226,0.23
36,3005.0,2,1,59.0,0.206,0.20
37,3006.0,2,1,59.0,0.173,0.20
38,3010.0,4,1,58.0,0.576,0.20
39,3020.0,2,1,56.0,0.299,0.22
40,3022.0,4,1,56.0,0.547,0.17
41,3024.0,4,1,55.0,0.657,0.17
42,3025.0,2,1,54.0,0.210,0.19
43,3036.0,2,1,58.0,0.227,0.20
44,3044.0,2,1,56.0,0.296,0.17
45,3051.0,2,1,54.0,0.281,0.16
46,3052.0,2,1,54.0,0.178,0.19
47,3054.0,4,1,53.0,0.510,0.14
48,3058.0,2,1,59.0,0.240,0.16
49,3064.0,2,1,57.0,0.349,0.17
50,3065.0,2,1,57.0,0.182,0.22
51,3066.0,2,1,56.0,0.122,0.20
52,3070.0,4,1,55.0,0.509,0.15
53,3072.0,3,1,55.0,0.420,0.17
54,3073.0,2,1,54.0,0.237,0.17
55,3075.0,3,1,54.0,0.468,0.14
56,3079.0,2,1,53.0,0.346,0.19
57,3081.0,4,1,53.0,0.540,0.16
58,3085.0,2,1,56.0,0.313,0.17
59,3090.0,2,1,55.0,0.156,0.19
60,3095.0,2,1,54.0,0.227,0.17
61,3105.0,3,1,53.0,0.342,0.18
62,3107.0,3,1,53.0,0.365,0.19
63,3108.0,2,1,53.0,0.181,0.18
