,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,1840.0,1.0,4065.0,38.0,0.17,59.0,0.44,0,57.0,3,4525.0,29.0,0.16,60.0,0.223,0,56.0,2,4473.0,30.0,0.17,5.0,0.276,0,12.0,2,4546.0,29.0,0.2,43.0,0.42700000000000005,0,59.0,4,2995.0,56.0,0.22,32.0,0.10400000000000001,0,19.0,2,4585.0,27.0,0.25,31.0,0.193,0,37.0,2,6.0
,930.0,3.0,4478.0,29.0,0.2,47.0,0.266,0,49.0,2,4806.0,30.0,0.18,38.0,0.136,0,41.0,1,3334.0,49.0,0.18,49.0,0.406,0,48.0,3,4569.0,29.0,0.19,21.0,0.23199999999999998,0,39.0,2,3435.0,48.0,0.16,35.0,0.612,0,45.0,4,4893.0,27.0,0.18,19.0,0.017,0,15.0,2,53.0
,2510.0,5.0,4183.0,31.0,0.15,39.0,0.377,0,13.0,3,3188.0,56.0,0.18,16.0,0.455,0,38.0,4,4689.0,24.0,0.21,1.0,0.139,0,20.0,2,4525.0,29.0,0.16,60.0,0.223,0,56.0,2,4891.0,28.0,0.27,13.0,0.0,0,64.0,1,4927.0,24.0,0.19,20.0,0.22,0,21.0,2,4.0
,840.0,6.0,2995.0,56.0,0.22,32.0,0.10400000000000001,0,19.0,2,4611.0,27.0,0.17,52.0,0.486,0,28.0,4,3232.0,51.0,0.15,46.0,0.469,0,68.0,4,3801.0,43.0,0.15,11.0,0.515,0,33.0,4,3943.0,39.0,0.19,56.0,0.196,0,11.0,2,4283.0,33.0,0.18,48.0,0.313,0,24.0,2,46.0
,2230.0,8.0,4117.0,36.0,0.18,40.0,0.446,0,66.0,4,4473.0,30.0,0.17,5.0,0.276,0,12.0,2,4400.0,29.0,0.2,15.0,0.163,0,58.0,2,3302.0,50.0,0.19,36.0,0.462,0,34.0,4,4893.0,27.0,0.18,19.0,0.017,0,15.0,2,4841.0,26.0,0.19,4.0,0.121,0,40.0,2,29.0
,1120.0,9.0,3317.0,51.0,0.22,51.0,0.165,0,70.0,2,3435.0,48.0,0.16,35.0,0.612,0,45.0,4,4849.0,23.0,0.19,55.0,0.145,0,43.0,2,4065.0,38.0,0.17,59.0,0.44,0,57.0,3,4929.0,22.0,0.19,33.0,0.0,0,65.0,1,4891.0,28.0,0.27,13.0,0.0,0,64.0,1,65.0
,730.0,10.0,3801.0,43.0,0.15,11.0,0.515,0,33.0,4,4045.0,38.0,0.15,9.0,0.41700000000000004,0,26.0,3,4546.0,29.0,0.2,43.0,0.42700000000000005,0,59.0,4,4689.0,24.0,0.21,1.0,0.139,0,20.0,2,4286.0,33.0,0.16,45.0,0.43700000000000006,0,35.0,4,4569.0,29.0,0.19,21.0,0.23199999999999998,0,39.0,2,1.0
,1160.0,11.0,3232.0,51.0,0.15,46.0,0.469,0,68.0,4,4373.0,29.0,0.19,57.0,0.28300000000000003,0,31.0,2,4738.0,26.0,0.18,26.0,0.275,0,25.0,2,4183.0,31.0,0.15,39.0,0.377,0,13.0,3,4478.0,29.0,0.2,47.0,0.266,0,49.0,2,4746.0,23.0,0.14,18.0,0.364,0,42.0,3,12.0
,6520.0,12.0,3188.0,56.0,0.18,16.0,0.455,0,38.0,4,4050.0,36.0,0.14,2.0,0.6409999999999999,0,50.0,4,3302.0,50.0,0.19,36.0,0.462,0,34.0,4,3334.0,49.0,0.18,49.0,0.406,0,48.0,3,3470.0,48.0,0.17,29.0,0.391,0,14.0,3,4611.0,27.0,0.17,52.0,0.486,0,28.0,4,8.0
,640.0,1.0,4045.0,38.0,0.15,9.0,0.41700000000000004,0,26.0,3,3943.0,39.0,0.19,56.0,0.196,0,11.0,2,4781.0,31.0,0.26,28.0,0.061,0,27.0,1,4283.0,33.0,0.18,48.0,0.313,0,24.0,2,4947.0,25.0,0.2,24.0,0.0,0,62.0,1,4806.0,30.0,0.18,38.0,0.136,0,41.0,1,9.0
