,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
0,2014.0,2,1,72.0,0.329,0.17
1,2538.0,2,1,70.0,0.152,0.20
2,2787.0,2,1,64.0,0.326,0.15
3,2841.0,2,1,63.0,0.263,0.17
4,2844.0,2,1,62.0,0.277,0.19
5,2876.0,4,1,62.0,0.514,0.16
6,2878.0,3,1,61.0,0.393,0.20
7,2903.0,2,1,60.0,0.219,0.18
8,2907.0,2,1,65.0,0.108,0.21
9,2912.0,2,1,64.0,0.244,0.17
10,2930.0,2,1,63.0,0.333,0.18
11,2935.0,2,1,61.0,0.107,0.20
12,2941.0,2,1,59.0,0.131,0.19
13,2942.0,3,1,59.0,0.369,0.11
14,2958.0,2,1,62.0,0.096,0.18
15,2983.0,1,0,60.0,0.114,0.18
16,2992.0,4,1,58.0,0.392,0.14
17,3005.0,1,1,62.0,0.000,0.00
18,3006.0,2,1,62.0,0.164,0.23
19,3020.0,2,1,59.0,0.202,0.21
20,3022.0,4,1,59.0,0.496,0.16
21,3024.0,4,1,58.0,0.503,0.15
22,3025.0,2,1,57.0,0.133,0.21
23,3036.0,2,1,61.0,0.203,0.17
24,3044.0,2,1,59.0,0.261,0.15
25,3051.0,2,1,57.0,0.262,0.17
26,3052.0,2,1,57.0,0.123,0.20
27,3054.0,2,1,56.0,0.262,0.16
28,3058.0,2,1,62.0,0.178,0.19
29,3064.0,2,1,60.0,0.386,0.17
30,3065.0,2,1,60.0,0.183,0.21
31,3066.0,2,1,59.0,0.198,0.19
32,3070.0,4,1,58.0,0.588,0.14
33,3072.0,3,1,58.0,0.391,0.16
34,3073.0,2,1,57.0,0.191,0.16
35,3075.0,3,1,57.0,0.434,0.16
36,3079.0,2,1,56.0,0.272,0.19
37,3081.0,3,1,56.0,0.414,0.16
38,3105.0,3,1,56.0,0.395,0.18
39,3107.0,2,1,56.0,0.300,0.17
40,3108.0,2,1,56.0,0.190,0.17
41,3117.0,2,0,58.0,0.061,0.25
42,3122.0,2,1,58.0,0.210,0.17
43,3123.0,2,1,57.0,0.168,0.19
44,3138.0,2,1,59.0,0.069,0.22
45,3141.0,2,1,58.0,0.282,0.18
46,3142.0,2,0,57.0,0.078,0.22
47,3151.0,2,1,55.0,0.207,0.17
48,3153.0,2,1,55.0,0.200,0.20
49,3156.0,3,1,55.0,0.431,0.17
50,3158.0,3,1,54.0,0.448,0.16
51,3159.0,4,1,54.0,0.640,0.14
52,3161.0,2,1,59.0,0.277,0.18
53,3164.0,2,1,58.0,0.156,0.23
54,3170.0,1,1,56.0,0.142,0.20
55,3175.0,3,0,56.0,0.373,0.17
56,3176.0,2,1,55.0,0.316,0.20
57,3177.0,2,0,55.0,0.095,0.24
58,3182.0,2,0,54.0,0.125,0.22
59,3186.0,2,1,59.0,0.223,0.18
60,3187.0,2,1,58.0,0.287,0.18
61,3188.0,4,0,58.0,0.467,0.17
62,3200.0,4,1,54.0,0.485,0.15
