,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
0,2014.0,2,1,70.0,0.195,0.16
1,2538.0,2,1,68.0,0.243,0.18
2,2568.0,2,1,68.0,0.156,0.19
3,2698.0,2,1,63.0,0.219,0.21
4,2785.0,2,1,63.0,0.204,0.19
5,2787.0,2,1,62.0,0.297,0.16
6,2816.0,2,1,64.0,0.262,0.22
7,2820.0,1,1,64.0,0.000,0.00
8,2841.0,2,1,61.0,0.299,0.18
9,2844.0,2,1,60.0,0.281,0.18
10,2876.0,3,1,60.0,0.448,0.18
11,2878.0,3,1,59.0,0.365,0.19
12,2883.0,2,1,64.0,0.129,0.21
13,2903.0,2,1,58.0,0.364,0.20
14,2907.0,2,1,63.0,0.104,0.20
15,2910.0,2,1,62.0,0.208,0.18
16,2912.0,2,1,62.0,0.333,0.20
17,2930.0,4,1,61.0,0.471,0.18
18,2935.0,2,1,59.0,0.089,0.21
19,2941.0,2,1,57.0,0.163,0.18
20,2942.0,3,1,57.0,0.388,0.12
21,2958.0,2,1,60.0,0.250,0.20
22,2969.0,2,1,61.0,0.187,0.19
23,2983.0,2,0,58.0,0.229,0.17
24,2992.0,4,1,56.0,0.433,0.13
25,2995.0,2,0,56.0,0.104,0.22
26,3005.0,2,1,60.0,0.204,0.19
27,3006.0,2,1,60.0,0.166,0.21
28,3010.0,4,1,59.0,0.598,0.15
29,3020.0,2,1,57.0,0.220,0.21
30,3022.0,4,1,57.0,0.496,0.16
31,3024.0,4,1,56.0,0.439,0.17
32,3025.0,2,1,55.0,0.253,0.23
33,3036.0,2,1,59.0,0.255,0.16
34,3044.0,1,1,57.0,0.000,0.00
35,3051.0,2,1,55.0,0.170,0.19
36,3052.0,2,1,55.0,0.157,0.19
37,3054.0,3,1,54.0,0.377,0.15
38,3058.0,2,1,60.0,0.210,0.18
39,3064.0,1,1,58.0,0.265,0.17
40,3065.0,2,1,58.0,0.207,0.21
41,3066.0,2,1,57.0,0.245,0.19
42,3070.0,4,1,56.0,0.580,0.15
43,3072.0,3,1,56.0,0.447,0.16
44,3073.0,2,1,55.0,0.241,0.18
45,3075.0,3,1,55.0,0.439,0.15
46,3079.0,2,1,54.0,0.295,0.19
47,3081.0,2,1,54.0,0.301,0.20
48,3085.0,2,1,57.0,0.186,0.19
49,3090.0,2,1,56.0,0.112,0.19
50,3105.0,2,1,54.0,0.271,0.18
51,3107.0,2,1,54.0,0.327,0.19
52,3108.0,2,1,54.0,0.132,0.18
53,3117.0,2,0,56.0,0.190,0.22
54,3122.0,2,1,56.0,0.217,0.19
55,3123.0,2,1,55.0,0.226,0.20
56,3128.0,2,0,54.0,0.204,0.19
57,3135.0,2,1,59.0,0.191,0.18
58,3136.0,2,1,58.0,0.135,0.17
59,3137.0,2,1,57.0,0.191,0.17
60,3138.0,2,1,57.0,0.148,0.22
61,3141.0,2,1,56.0,0.203,0.19
62,3142.0,2,0,55.0,0.225,0.18
63,3151.0,2,1,53.0,0.301,0.17
64,3153.0,2,1,53.0,0.207,0.23
65,3156.0,3,1,53.0,0.416,0.16
66,3158.0,4,1,52.0,0.496,0.14
67,3159.0,4,1,52.0,0.524,0.14
68,3161.0,3,1,57.0,0.330,0.18
69,3164.0,2,1,56.0,0.338,0.18
70,3170.0,2,1,54.0,0.234,0.21
71,3171.0,2,1,54.0,0.089,0.19
72,3174.0,2,1,54.0,0.217,0.20
73,3175.0,3,0,54.0,0.371,0.18
74,3176.0,2,1,53.0,0.290,0.18
75,3177.0,2,0,53.0,0.223,0.21
76,3182.0,2,0,52.0,0.149,0.20
77,3186.0,2,1,57.0,0.270,0.22
78,3187.0,3,1,56.0,0.377,0.18
79,3188.0,4,0,56.0,0.455,0.18
80,3189.0,2,1,55.0,0.110,0.19
81,3200.0,4,1,52.0,0.587,0.14
82,3202.0,2,1,52.0,0.142,0.18
83,3207.0,1,0,52.0,0.232,0.20
84,3211.0,3,1,55.0,0.407,0.15
85,3212.0,3,1,55.0,0.418,0.17
86,3214.0,2,1,55.0,0.156,0.20
87,3220.0,2,1,53.0,0.258,0.18
88,3224.0,3,1,52.0,0.357,0.18
89,3225.0,2,0,52.0,0.150,0.24
90,3226.0,2,1,52.0,0.295,0.19
91,3227.0,2,1,52.0,0.381,0.17
92,3231.0,3,1,51.0,0.415,0.17
93,3232.0,4,0,51.0,0.469,0.15
94,3233.0,3,1,50.0,0.365,0.16
95,3234.0,2,1,50.0,0.192,0.17
96,3235.0,2,1,55.0,0.237,0.20
97,3236.0,2,1,55.0,0.252,0.18
98,3243.0,1,1,53.0,0.000,0.00
99,3245.0,2,1,53.0,0.211,0.18
100,3246.0,2,1,53.0,0.195,0.18
101,3251.0,4,1,51.0,0.458,0.15
102,3254.0,2,0,50.0,0.189,0.22
103,3256.0,4,1,50.0,0.489,0.14
104,3257.0,4,1,50.0,0.564,0.15
105,3261.0,2,1,54.0,0.230,0.18
106,3265.0,3,1,52.0,0.561,0.16
107,3268.0,3,1,52.0,0.409,0.17
108,3273.0,2,1,52.0,0.345,0.16
109,3276.0,2,1,51.0,0.236,0.20
110,3277.0,2,1,51.0,0.202,0.16
111,3278.0,3,1,51.0,0.453,0.16
112,3280.0,2,0,50.0,0.313,0.18
113,3281.0,2,1,50.0,0.127,0.22
114,3282.0,3,1,50.0,0.405,0.19
115,3283.0,2,1,50.0,0.256,0.18
116,3284.0,4,1,50.0,0.570,0.18
117,3286.0,3,1,49.0,0.354,0.17
118,3289.0,3,0,54.0,0.371,0.17
119,3290.0,4,1,54.0,0.581,0.13
120,3293.0,2,1,52.0,0.208,0.21
121,3294.0,2,1,52.0,0.311,0.14
122,3295.0,3,1,51.0,0.346,0.17
123,3296.0,2,1,50.0,0.180,0.21
124,3297.0,4,1,50.0,0.477,0.20
125,3298.0,1,0,50.0,0.055,0.18
126,3300.0,3,1,50.0,0.426,0.18
127,3302.0,4,0,50.0,0.462,0.19
128,3303.0,3,1,50.0,0.373,0.19
129,3304.0,3,1,50.0,0.405,0.17
130,3305.0,2,1,50.0,0.321,0.18
131,3306.0,2,1,49.0,0.172,0.17
132,3307.0,1,1,49.0,0.000,0.00
133,3309.0,2,1,54.0,0.125,0.20
134,3310.0,2,1,53.0,0.215,0.17
135,3313.0,2,1,52.0,0.253,0.19
136,3315.0,2,1,52.0,0.341,0.17
137,3317.0,2,0,51.0,0.165,0.22
138,3319.0,4,1,50.0,0.445,0.16
139,3325.0,2,1,50.0,0.200,0.17
140,3327.0,4,1,50.0,0.473,0.17
141,3329.0,4,1,50.0,0.512,0.14
142,3331.0,4,1,49.0,0.431,0.17
143,3333.0,3,1,49.0,0.463,0.18
144,3334.0,3,0,49.0,0.406,0.18
145,3335.0,2,1,48.0,0.190,0.21
146,3336.0,2,1,53.0,0.227,0.18
147,3338.0,2,1,52.0,0.288,0.17
148,3339.0,2,1,52.0,0.381,0.16
149,3340.0,2,1,52.0,0.216,0.19
150,3343.0,3,1,52.0,0.390,0.16
151,3344.0,2,1,51.0,0.204,0.16
152,3346.0,2,1,51.0,0.356,0.16
153,3347.0,3,1,50.0,0.384,0.19
154,3349.0,4,1,49.0,0.601,0.15
155,3350.0,3,1,49.0,0.314,0.19
156,3352.0,2,1,49.0,0.257,0.16
157,3353.0,3,1,49.0,0.370,0.18
158,3355.0,2,0,49.0,0.178,0.26
159,3357.0,2,0,49.0,0.236,0.20
160,3358.0,2,1,48.0,0.233,0.22
161,3360.0,3,1,48.0,0.357,0.22
162,3361.0,3,1,48.0,0.310,0.16
163,3362.0,4,1,48.0,0.518,0.17
164,3365.0,2,1,52.0,0.185,0.17
165,3370.0,2,1,51.0,0.186,0.18
166,3372.0,2,1,51.0,0.172,0.19
167,3373.0,2,1,50.0,0.089,0.20
168,3376.0,2,1,50.0,0.180,0.21
169,3377.0,2,1,50.0,0.268,0.20
170,3379.0,4,1,49.0,0.452,0.16
171,3381.0,3,1,49.0,0.436,0.15
172,3382.0,2,1,49.0,0.209,0.22
173,3385.0,3,1,48.0,0.472,0.17
174,3388.0,4,1,48.0,0.568,0.16
175,3391.0,3,1,52.0,0.377,0.16
176,3392.0,2,1,52.0,0.238,0.19
177,3393.0,2,1,52.0,0.225,0.18
178,3397.0,2,1,51.0,0.197,0.22
179,3398.0,2,1,50.0,0.162,0.23
180,3400.0,2,1,50.0,0.266,0.21
181,3401.0,3,1,50.0,0.411,0.17
182,3404.0,2,1,50.0,0.145,0.17
183,3406.0,3,1,49.0,0.456,0.17
184,3407.0,2,1,49.0,0.131,0.18
185,3408.0,1,1,48.0,0.093,0.16
186,3409.0,2,1,48.0,0.354,0.18
187,3411.0,2,1,48.0,0.205,0.19
188,3412.0,4,1,48.0,0.460,0.17
189,3414.0,3,1,48.0,0.385,0.17
190,3415.0,4,1,48.0,0.443,0.15
191,3417.0,2,1,48.0,0.159,0.16
192,3419.0,2,1,48.0,0.247,0.22
193,3422.0,4,1,46.0,0.491,0.16
194,3424.0,1,1,51.0,0.260,0.20
195,3425.0,1,1,51.0,0.190,0.20
196,3427.0,4,1,50.0,0.647,0.15
197,3430.0,3,1,49.0,0.378,0.16
198,3432.0,2,1,49.0,0.283,0.16
199,3433.0,2,1,49.0,0.190,0.20
200,3434.0,2,1,48.0,0.363,0.18
201,3435.0,4,0,48.0,0.612,0.16
202,3436.0,4,1,48.0,0.551,0.13
203,3439.0,4,1,48.0,0.512,0.16
204,3441.0,2,1,48.0,0.288,0.18
205,3442.0,3,1,48.0,0.394,0.16
206,3443.0,3,1,48.0,0.361,0.18
207,3444.0,2,1,48.0,0.116,0.15
208,3445.0,3,1,48.0,0.392,0.18
209,3448.0,2,1,47.0,0.273,0.18
210,3452.0,2,1,47.0,0.337,0.16
211,3454.0,3,1,46.0,0.427,0.16
212,3455.0,2,1,46.0,0.299,0.18
213,3456.0,2,1,46.0,0.213,0.22
214,3458.0,3,1,51.0,0.328,0.16
215,3459.0,2,1,50.0,0.142,0.18
216,3460.0,2,1,50.0,0.245,0.18
217,3461.0,2,1,50.0,0.280,0.17
218,3462.0,3,1,50.0,0.340,0.16
219,3463.0,3,1,50.0,0.422,0.18
220,3465.0,2,1,50.0,0.192,0.23
221,3467.0,2,1,49.0,0.229,0.21
222,3469.0,2,0,48.0,0.191,0.21
223,3470.0,3,0,48.0,0.391,0.17
224,3471.0,2,1,47.0,0.209,0.20
225,3472.0,1,1,47.0,0.000,0.21
226,3473.0,4,1,47.0,0.590,0.15
227,3474.0,2,0,47.0,0.357,0.20
228,3475.0,3,1,47.0,0.401,0.18
229,3476.0,2,1,47.0,0.197,0.22
230,3477.0,2,1,47.0,0.263,0.19
231,3478.0,2,1,47.0,0.366,0.16
232,3480.0,2,1,47.0,0.109,0.19
233,3482.0,2,1,46.0,0.292,0.16
234,3483.0,2,0,46.0,0.252,0.21
