,money,number_race,racer_1_ID,racer_1_b,racer_1_m,racer_2_ID,racer_2_b,racer_2_m,racer_3_ID,racer_3_b,racer_3_m,racer_4_ID,racer_4_b,racer_4_m,racer_5_ID,racer_5_b,racer_5_m,racer_6_ID,racer_6_b,racer_6_m,result_com
,3200.0,1,3302,2.0,73.0,3469,47.0,70.0,3169,8.0,59.0,3299,43.0,28.0,4829,53.0,42.0,3693,7.0,39.0,16
,6710.0,2,2983,52.0,13.0,3355,6.0,41.0,3528,50.0,48.0,3579,24.0,30.0,4283,44.0,32.0,4819,40.0,24.0,29
,1020.0,3,4243,25.0,34.0,4071,37.0,65.0,3801,42.0,56.0,4733,20.0,71.0,3518,17.0,49.0,4913,28.0,22.0,5
,1900.0,4,3618,54.0,31.0,4098,10.0,52.0,3334,12.0,60.0,3611,16.0,51.0,4443,33.0,36.0,4784,48.0,75.0,7
,3310.0,5,3674,63.0,62.0,3175,57.0,63.0,3299,43.0,28.0,3483,19.0,64.0,4773,29.0,57.0,4884,58.0,54.0,24
,1620.0,6,3254,35.0,38.0,4304,49.0,17.0,3355,6.0,41.0,3469,47.0,70.0,3435,11.0,11.0,3845,31.0,40.0,40
,610.0,7,3994,60.0,74.0,3604,51.0,25.0,3117,32.0,18.0,4385,55.0,61.0,4819,40.0,24.0,4806,1.0,67.0,9
,2460.0,8,3334,12.0,60.0,4642,45.0,23.0,4733,20.0,71.0,4556,4.0,15.0,4738,39.0,46.0,4829,53.0,42.0,63
,1500.0,9,3509,5.0,29.0,3188,22.0,14.0,4243,25.0,34.0,3169,8.0,59.0,4884,58.0,54.0,3611,16.0,51.0,24
,3070.0,10,4071,37.0,65.0,2983,52.0,13.0,3674,63.0,62.0,4443,33.0,36.0,3693,7.0,39.0,3435,11.0,11.0,59
,3270.0,11,4304,49.0,17.0,4385,55.0,61.0,3175,57.0,63.0,4098,10.0,52.0,3579,24.0,30.0,3518,17.0,49.0,15
,1260.0,12,3188,22.0,14.0,3302,2.0,73.0,3618,54.0,31.0,3845,31.0,40.0,3801,42.0,56.0,4556,4.0,15.0,5
,10880.0,1,3801,42.0,56.0,3483,19.0,64.0,4773,29.0,57.0,4806,1.0,67.0,3469,47.0,70.0,4784,48.0,75.0,85
,4430.0,2,3518,17.0,49.0,4738,39.0,46.0,3604,51.0,25.0,3188,22.0,14.0,3528,50.0,48.0,4071,37.0,65.0,76
,18270.0,3,3175,57.0,63.0,3509,5.0,29.0,4556,4.0,15.0,3117,32.0,18.0,3674,63.0,62.0,3254,35.0,38.0,88
,3220.0,4,3845,31.0,40.0,4443,33.0,36.0,4283,44.0,32.0,4304,49.0,17.0,4642,45.0,23.0,4913,28.0,22.0,65
,590.0,5,3579,24.0,30.0,3618,54.0,31.0,3994,60.0,74.0,4819,40.0,24.0,3169,8.0,59.0,4773,29.0,57.0,21
,3440.0,6,3299,43.0,28.0,3518,17.0,49.0,3483,19.0,64.0,3334,12.0,60.0,3302,2.0,73.0,4243,25.0,34.0,68
,14850.0,7,3693,7.0,39.0,4733,20.0,71.0,4098,10.0,52.0,3509,5.0,29.0,4784,48.0,75.0,3528,50.0,48.0,28
,9590.0,8,3611,16.0,51.0,3117,32.0,18.0,4738,39.0,46.0,3801,42.0,56.0,4884,58.0,54.0,4283,44.0,32.0,18
,2180.0,9,4385,55.0,61.0,3435,11.0,11.0,3845,31.0,40.0,4829,53.0,42.0,4806,1.0,67.0,2983,52.0,13.0,48
,1900.0,10,3604,51.0,25.0,3334,12.0,60.0,3254,35.0,38.0,3618,54.0,31.0,4913,28.0,22.0,3188,22.0,14.0,64
,28210.0,11,4556,4.0,15.0,3994,60.0,74.0,4642,45.0,23.0,3175,57.0,63.0,3355,6.0,41.0,3302,2.0,73.0,59
,36880.0,12,3435,11.0,11.0,3579,24.0,30.0,3611,16.0,51.0,3674,63.0,62.0,4243,25.0,34.0,4304,49.0,17.0,71
,5200.0,1,3611,16.0,51.0,3299,43.0,28.0,4071,37.0,65.0,3355,6.0,41.0,4385,55.0,61.0,3469,47.0,70.0,42
,3290.0,3,3579,24.0,30.0,4283,44.0,32.0,3435,11.0,11.0,4784,48.0,75.0,3334,12.0,60.0,4806,1.0,67.0,6
,1990.0,4,3188,22.0,14.0,4773,29.0,57.0,2983,52.0,13.0,3528,50.0,48.0,4829,53.0,42.0,4819,40.0,24.0,15
,2200.0,5,4243,25.0,34.0,3302,2.0,73.0,4443,33.0,36.0,3604,51.0,25.0,3509,5.0,29.0,3994,60.0,74.0,9
,1090.0,6,3355,6.0,41.0,3845,31.0,40.0,4556,4.0,15.0,3518,17.0,49.0,4304,49.0,17.0,4098,10.0,52.0,34
,47090.0,7,3483,19.0,64.0,4642,45.0,23.0,3299,43.0,28.0,3117,32.0,18.0,4071,37.0,65.0,4884,58.0,54.0,19
,1320.0,8,3801,42.0,56.0,3254,35.0,38.0,4733,20.0,71.0,3188,22.0,14.0,4819,40.0,24.0,4385,55.0,61.0,9
,1020.0,9,3169,8.0,59.0,3611,16.0,51.0,3579,24.0,30.0,3175,57.0,63.0,2983,52.0,13.0,4913,28.0,22.0,27
,730.0,10,4443,33.0,36.0,3674,63.0,62.0,4304,49.0,17.0,3302,2.0,73.0,4738,39.0,46.0,4829,53.0,42.0,26
,990.0,11,3845,31.0,40.0,3693,7.0,39.0,3469,47.0,70.0,3435,11.0,11.0,4556,4.0,15.0,3334,12.0,60.0,63
,1590.0,12,3618,54.0,31.0,3801,42.0,56.0,3518,17.0,49.0,4243,25.0,34.0,4098,10.0,52.0,3175,57.0,63.0,6
,1280.0,1,4556,4.0,15.0,3693,7.0,39.0,3117,32.0,18.0,4773,29.0,57.0,4819,40.0,24.0,4806,1.0,67.0,9
,3130.0,2,3334,12.0,60.0,3528,50.0,48.0,3509,5.0,29.0,3579,24.0,30.0,4913,28.0,22.0,3604,51.0,25.0,4
,7690.0,3,2983,52.0,13.0,4738,39.0,46.0,3801,42.0,56.0,3169,8.0,59.0,3188,22.0,14.0,3483,19.0,64.0,56
,820.0,4,3302,2.0,73.0,3299,43.0,28.0,3254,35.0,38.0,3845,31.0,40.0,4784,48.0,75.0,4884,58.0,54.0,12
,1770.0,5,3175,57.0,63.0,3435,11.0,11.0,3994,60.0,74.0,4283,44.0,32.0,4829,53.0,42.0,3355,6.0,41.0,23
,5280.0,6,3469,47.0,70.0,3334,12.0,60.0,4642,45.0,23.0,4243,25.0,34.0,3611,16.0,51.0,4443,33.0,36.0,27
,1990.0,7,3117,32.0,18.0,4385,55.0,61.0,4738,39.0,46.0,4806,1.0,67.0,3604,51.0,25.0,4913,28.0,22.0,33
,1460.0,9,3528,50.0,48.0,4243,25.0,34.0,3175,57.0,63.0,3674,63.0,62.0,3483,19.0,64.0,3509,5.0,29.0,2
,2400.0,10,4098,10.0,52.0,4556,4.0,15.0,4283,44.0,32.0,3302,2.0,73.0,4733,20.0,71.0,3801,42.0,56.0,65
,4140.0,12,3435,11.0,11.0,3518,17.0,49.0,3845,31.0,40.0,3611,16.0,51.0,3994,60.0,74.0,3674,63.0,62.0,11
,5630.0,1,3579,24.0,30.0,4283,44.0,32.0,4443,33.0,36.0,4385,55.0,61.0,3299,43.0,28.0,3693,7.0,39.0,44
,28190.0,2,4243,25.0,34.0,3604,51.0,25.0,3469,47.0,70.0,3801,42.0,56.0,4819,40.0,24.0,4884,58.0,54.0,49
,4030.0,3,3302,2.0,73.0,3483,19.0,64.0,3674,63.0,62.0,3355,6.0,41.0,3618,54.0,31.0,4829,53.0,42.0,15
