,racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
0,1485,2,1,71,0.151,0.19
1,1710,2,1,70,0.277,0.22
2,1759,2,1,67,0.183,0.22
3,2014,3,1,66,0.388,0.14
4,2223,2,1,69,0.180,0.21
5,2273,2,1,64,0.321,0.19
6,2276,2,1,63,0.363,0.18
7,2349,1,1,66,0.061,0.25
8,2372,2,1,64,0.316,0.20
9,2377,2,1,63,0.320,0.17
10,2380,2,1,63,0.336,0.17
11,2504,2,1,62,0.202,0.22
12,2505,2,1,62,0.137,0.22
13,2528,2,1,65,0.284,0.17
14,2538,2,1,64,0.224,0.20
15,2568,2,1,64,0.269,0.19
16,2585,2,1,61,0.267,0.20
17,2596,2,1,65,0.133,0.20
18,2606,2,1,64,0.173,0.24
19,2613,2,1,63,0.190,0.20
20,2698,2,1,59,0.215,0.21
21,2712,2,1,64,0.212,0.22
22,2752,2,1,61,0.104,0.20
23,2757,1,1,61,0.042,0.19
24,2776,2,1,60,0.242,0.20
25,2781,2,1,59,0.125,0.23
26,2785,2,1,59,0.242,0.19
27,2787,3,1,58,0.405,0.14
28,2788,2,1,58,0.121,0.18
29,2789,1,1,58,0.000,0.00
30,2793,2,1,57,0.105,0.24
31,2795,1,1,57,0.068,0.23
32,2800,2,1,61,0.125,0.22
33,2803,1,1,60,0.000,0.00
34,2808,1,1,58,0.000,0.29
35,2809,2,1,57,0.188,0.20
36,2816,2,1,60,0.250,0.23
37,2820,1,1,60,0.000,0.30
38,2823,2,1,60,0.204,0.21
39,2837,2,1,57,0.291,0.17
40,2838,2,1,57,0.217,0.18
41,2841,3,1,57,0.337,0.18
42,2842,2,1,57,0.254,0.18
43,2843,2,1,56,0.166,0.18
44,2844,2,1,56,0.345,0.21
45,2850,2,1,61,0.128,0.21
46,2871,2,1,57,0.135,0.17
47,2874,1,1,56,0.088,0.20
48,2876,4,1,56,0.531,0.17
49,2878,3,1,55,0.369,0.21
50,2883,2,1,60,0.220,0.23
51,2885,2,1,59,0.152,0.21
52,2887,2,1,58,0.150,0.21
53,2888,2,1,58,0.125,0.22
54,2902,1,1,54,0.000,0.00
55,2903,3,1,54,0.401,0.17
56,2904,2,1,54,0.306,0.19
57,2905,1,1,60,0.036,0.20
58,2907,2,1,59,0.134,0.21
59,2909,1,1,58,0.120,0.23
60,2910,2,1,58,0.221,0.19
61,2912,3,1,58,0.350,0.18
62,2914,4,1,56,0.527,0.16
63,2930,3,1,57,0.329,0.19
64,2935,2,1,55,0.189,0.19
65,2941,2,1,53,0.214,0.19
66,2942,3,1,53,0.496,0.12
67,2958,3,1,56,0.350,0.19
68,2959,2,1,55,0.276,0.19
69,2969,2,1,57,0.214,0.20
70,2970,1,1,57,0.085,0.18
71,2972,2,1,56,0.236,0.19
72,2974,2,1,56,0.346,0.15
73,2983,3,0,54,0.367,0.17
74,2988,1,0,52,0.100,0.23
75,2989,2,1,52,0.296,0.19
76,2992,4,1,52,0.509,0.16
77,2994,2,1,52,0.252,0.23
78,2995,2,0,52,0.223,0.26
79,2997,2,1,51,0.345,0.23
80,3004,1,1,56,0.000,0.25
81,3005,2,1,56,0.305,0.20
82,3006,2,1,56,0.273,0.21
83,3008,1,1,56,0.068,0.18
84,3010,4,1,55,0.646,0.14
85,3013,2,1,55,0.215,0.23
86,3020,2,1,53,0.280,0.23
87,3022,4,1,53,0.594,0.17
88,3024,1,1,52,0.510,0.17
89,3025,3,1,51,0.351,0.19
90,3036,2,1,55,0.306,0.16
91,3044,3,1,53,0.345,0.17
92,3051,2,1,51,0.324,0.18
93,3052,2,1,51,0.224,0.21
94,3054,4,1,50,0.500,0.15
95,3056,4,1,57,0.508,0.18
96,3058,2,1,56,0.271,0.20
97,3060,2,1,55,0.192,0.20
98,3064,4,1,54,0.480,0.16
99,3065,2,1,54,0.293,0.22
100,3066,2,1,53,0.315,0.20
101,3070,4,1,52,0.593,0.15
102,3072,4,1,52,0.484,0.15
103,3073,2,1,51,0.226,0.17
104,3075,4,1,51,0.464,0.14
105,3076,1,0,51,0.000,0.00
106,3078,1,1,50,0.062,0.23
107,3079,2,1,50,0.346,0.18
108,3081,3,1,50,0.438,0.17
109,3083,2,0,54,0.123,0.24
110,3085,3,1,53,0.367,0.18
111,3086,2,1,53,0.188,0.19
112,3089,1,0,52,0.061,0.25
113,3090,2,1,52,0.177,0.19
114,3091,2,1,52,0.224,0.23
115,3092,2,0,52,0.150,0.21
116,3094,1,0,51,0.000,0.00
117,3095,2,1,51,0.235,0.19
118,3100,2,0,50,0.240,0.16
119,3103,2,1,50,0.237,0.19
120,3104,2,1,50,0.155,0.23
121,3105,2,1,50,0.356,0.19
122,3107,3,1,50,0.376,0.19
123,3108,2,1,50,0.229,0.19
124,3114,2,0,53,0.111,0.24
125,3115,2,1,52,0.150,0.22
126,3117,2,0,52,0.120,0.26
127,3120,2,1,52,0.236,0.19
128,3121,3,1,52,0.433,0.17
129,3122,2,1,52,0.231,0.18
130,3123,2,1,51,0.247,0.18
131,3128,2,0,50,0.190,0.19
132,3135,2,1,55,0.319,0.19
133,3136,2,1,54,0.192,0.17
134,3137,2,1,53,0.181,0.21
135,3138,2,1,53,0.178,0.23
136,3139,2,0,53,0.160,0.22
137,3141,2,1,52,0.317,0.18
138,3142,2,0,51,0.169,0.24
139,3151,3,1,49,0.417,0.16
140,3153,3,1,49,0.351,0.21
141,3156,4,1,49,0.514,0.14
142,3158,4,1,48,0.512,0.16
143,3159,4,1,48,0.587,0.15
144,3161,4,1,53,0.503,0.19
145,3162,1,1,53,0.000,0.21
