racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
2014,2,1,69,0.315,0.15
2380,2,1,66,0.166,0.20
2505,2,1,65,0.062,0.21
2538,2,1,67,0.201,0.20
2568,2,1,67,0.157,0.20
2596,2,1,68,0.112,0.19
2698,2,1,62,0.191,0.20
2776,2,1,63,0.079,0.21
2785,2,1,62,0.303,0.17
2787,2,1,61,0.296,0.17
2816,2,1,63,0.197,0.21
2820,1,1,63,0.000,0.27
2823,2,1,63,0.176,0.21
2841,2,1,60,0.211,0.19
2842,2,1,60,0.115,0.19
2844,2,1,59,0.243,0.17
2876,3,1,59,0.468,0.17
2878,3,1,58,0.358,0.19
2883,2,1,63,0.125,0.21
2887,2,1,61,0.230,0.20
2903,3,1,57,0.341,0.19
2907,2,1,62,0.073,0.21
2910,2,1,61,0.276,0.19
2912,2,1,61,0.312,0.18
2914,3,1,59,0.375,0.15
2930,4,1,60,0.480,0.18
2935,2,1,58,0.206,0.19
2941,2,1,56,0.168,0.20
2942,3,1,56,0.405,0.12
2958,2,1,59,0.238,0.20
2969,2,1,60,0.222,0.18
2974,2,1,59,0.260,0.17
2983,2,0,57,0.304,0.19
2992,4,1,55,0.485,0.14
2994,1,1,55,0.170,0.24
2995,2,0,55,0.226,0.23
3005,2,1,59,0.206,0.20
3006,2,1,59,0.173,0.20
3010,4,1,58,0.576,0.20
3020,2,1,56,0.299,0.22
3022,4,1,56,0.547,0.17
3024,4,1,55,0.657,0.17
3025,2,1,54,0.210,0.19
3036,2,1,58,0.227,0.20
3044,2,1,56,0.296,0.17
3051,2,1,54,0.281,0.16
3052,2,1,54,0.178,0.19
3054,4,1,53,0.510,0.14
3058,2,1,59,0.240,0.16
3064,2,1,57,0.349,0.17
3065,2,1,57,0.182,0.22
3066,2,1,56,0.122,0.20
3070,4,1,55,0.509,0.15
3072,3,1,55,0.420,0.17
3073,2,1,54,0.237,0.17
3075,3,1,54,0.468,0.14
3079,2,1,53,0.346,0.19
3081,4,1,53,0.540,0.16
3085,2,1,56,0.313,0.17
3090,2,1,55,0.156,0.19
3095,2,1,54,0.227,0.17
3105,3,1,53,0.342,0.18
3107,3,1,53,0.365,0.19
3108,2,1,53,0.181,0.18
3117,2,0,55,0.093,0.24
3120,2,1,55,0.184,0.22
3121,2,1,55,0.245,0.17
3122,2,1,55,0.208,0.19
3123,2,1,54,0.189,0.20
3128,2,0,53,0.232,0.21
3135,2,1,58,0.170,0.22
3136,2,1,57,0.216,0.14
3137,2,1,56,0.106,0.19
3138,2,1,56,0.205,0.22
3139,2,0,56,0.109,0.21
3141,2,1,55,0.224,0.19
3142,2,0,54,0.173,0.17
3151,3,1,52,0.330,0.15
3153,2,1,52,0.295,0.20
3156,3,1,52,0.436,0.16
3158,3,1,51,0.438,0.16
3159,4,1,51,0.577,0.14
3161,3,1,56,0.449,0.19
3164,2,1,55,0.336,0.19
3166,2,1,55,0.126,0.18
3169,2,0,54,0.089,0.24
3170,2,1,53,0.164,0.21
3171,2,1,53,0.117,0.19
3174,2,1,53,0.173,0.18
3175,2,0,53,0.277,0.19
3176,1,1,52,0.000,0.00
3177,2,0,52,0.162,0.21
3182,2,0,51,0.256,0.19
3186,2,1,56,0.284,0.19
3187,2,1,55,0.241,0.19
3188,4,0,55,0.489,0.17
3189,2,1,54,0.165,0.21
3200,4,1,51,0.445,0.15
3202,2,1,51,0.250,0.17
3207,2,0,51,0.234,0.16
3211,3,1,54,0.361,0.16
3212,4,1,54,0.472,0.16
3214,2,1,54,0.228,0.19
3220,2,1,52,0.288,0.18
3224,2,1,51,0.285,0.20
3225,1,0,51,0.000,0.28
3226,2,1,51,0.326,0.17
3227,4,1,51,0.560,0.17
3228,1,1,51,0.140,0.24
3231,3,1,50,0.418,0.18
3232,4,0,50,0.503,0.15
3233,3,1,49,0.385,0.15
3234,2,1,49,0.223,0.16
3235,2,1,54,0.264,0.16
3236,3,1,54,0.302,0.19
3243,1,1,52,0.000,0.00
3245,2,1,52,0.243,0.16
3246,2,1,52,0.310,0.17
3251,4,1,50,0.417,0.16
3254,2,0,49,0.178,0.21
3256,4,1,49,0.512,0.15
3257,4,1,49,0.669,0.15
3261,2,1,53,0.272,0.18
3265,4,1,51,0.638,0.15
