,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,84.0,220690.0,244600.0,401.0,2446.0,90.22485690923958,10.139002452984466,248.0
1,1.0,5.0,88.0,188770.0,219300.0,401.0,2193.0,86.07843137254902,10.305517555859552,226.0
2,1.0,5.0,92.0,214010.0,240600.0,401.0,2406.0,88.94846217788862,10.182876142975894,245.0
3,1.0,5.0,96.0,224830.0,220000.0,401.0,2200.0,102.19545454545455,11.181818181818182,246.0
4,1.0,5.0,100.0,184750.0,209400.0,401.0,2094.0,88.22827125119389,10.601719197707736,222.0
5,1.0,5.0,104.0,196350.0,211800.0,401.0,2118.0,92.70538243626062,10.434372049102928,221.0
6,1.0,5.0,108.0,179170.0,194000.0,401.0,1940.0,92.35567010309278,11.134020618556702,216.0
7,1.0,5.0,112.0,170200.0,182400.0,401.0,1824.0,93.31140350877193,11.458333333333332,209.0
8,1.0,5.0,116.0,182100.0,189700.0,401.0,1897.0,95.99367422245652,11.122825513969426,211.0
9,1.0,5.0,120.0,187010.0,192600.0,401.0,1926.0,97.09761163032191,11.11111111111111,214.0
10,1.0,5.0,124.0,174310.0,181300.0,401.0,1813.0,96.14451185879757,10.81081081081081,196.0
11,1.0,5.0,128.0,156290.0,183000.0,401.0,1830.0,85.40437158469946,10.382513661202186,190.0
12,1.0,5.0,132.0,156720.0,171800.0,401.0,1718.0,91.22235157159487,10.884749708963911,187.0
13,1.0,5.0,136.0,154350.0,176700.0,401.0,1767.0,87.35144312393888,10.073571024335031,178.0
14,1.0,5.0,140.0,159180.0,167100.0,401.0,1671.0,95.26032315978456,11.430281268701377,191.0
15,1.0,5.0,144.0,154470.0,172300.0,401.0,1723.0,89.65177016831109,10.911201392919327,188.0
16,1.0,5.0,148.0,152140.0,169400.0,401.0,1694.0,89.81109799291617,10.625737898465172,180.0
17,1.0,5.0,152.0,148340.0,160900.0,401.0,1609.0,92.1939092604102,10.503418272218768,169.0
18,1.0,5.0,156.0,152480.0,151900.0,401.0,1519.0,100.3818301514154,12.113232389730086,184.0
19,1.0,5.0,160.0,146400.0,161900.0,401.0,1619.0,90.42618900555898,11.550339715873996,187.0
20,1.0,5.0,164.0,158340.0,160800.0,401.0,1608.0,98.47014925373134,11.629353233830846,187.0
21,1.0,5.0,168.0,144890.0,160700.0,401.0,1607.0,90.16179215930305,11.263223397635345,181.0
22,1.0,5.0,172.0,147020.0,156900.0,401.0,1569.0,93.70299553855959,11.344805608667942,178.0
23,1.0,5.0,176.0,143340.0,151600.0,401.0,1516.0,94.55145118733509,10.949868073878628,166.0
24,1.0,5.0,180.0,130760.0,135000.0,401.0,1350.0,96.85925925925926,11.481481481481481,155.0
25,1.0,5.0,184.0,158980.0,163600.0,401.0,1636.0,97.1760391198044,11.246943765281173,184.0
26,1.0,5.0,188.0,114990.0,136800.0,401.0,1368.0,84.05701754385964,10.526315789473683,144.0
27,1.0,5.0,192.0,149000.0,157400.0,401.0,1574.0,94.66327827191868,10.864040660736975,171.0
28,1.0,5.0,196.0,143430.0,152100.0,401.0,1521.0,94.29980276134123,11.702827087442472,178.0
29,1.0,5.0,200.0,143210.0,142400.0,401.0,1424.0,100.56882022471909,12.148876404494382,173.0
30,1.0,5.0,204.0,131750.0,128700.0,401.0,1287.0,102.36985236985237,11.499611499611499,148.0
31,1.0,5.0,208.0,114650.0,119900.0,401.0,1199.0,95.62135112593828,11.592994161801501,139.0
32,1.0,5.0,212.0,135160.0,126500.0,401.0,1265.0,106.84584980237155,12.25296442687747,155.0
33,1.0,5.0,216.0,117160.0,133200.0,401.0,1332.0,87.95795795795796,10.36036036036036,138.0
34,1.0,5.0,220.0,141180.0,128100.0,401.0,1281.0,110.21077283372365,12.256049960967994,157.0
35,1.0,5.0,224.0,109080.0,111600.0,401.0,1116.0,97.74193548387096,11.200716845878137,125.0
36,1.0,5.0,228.0,119220.0,119600.0,401.0,1196.0,99.68227424749165,12.37458193979933,148.0
37,1.0,5.0,232.0,125140.0,122400.0,401.0,1224.0,102.23856209150325,12.091503267973856,148.0
38,1.0,5.0,236.0,110600.0,110100.0,401.0,1101.0,100.45413260672116,12.170753860127158,134.0
39,1.0,5.0,240.0,106860.0,113900.0,401.0,1139.0,93.81913959613696,11.76470588235294,134.0
40,1.0,5.0,244.0,113820.0,108900.0,401.0,1089.0,104.51790633608815,12.947658402203857,141.0
41,1.0,5.0,248.0,106930.0,113100.0,401.0,1131.0,94.5446507515473,11.84792219274978,134.0
42,1.0,5.0,252.0,110730.0,117000.0,401.0,1170.0,94.64102564102565,12.222222222222221,143.0
43,1.0,5.0,256.0,97910.0,104700.0,401.0,1047.0,93.51480420248328,11.843361986628462,124.0
44,1.0,5.0,260.0,110200.0,107500.0,401.0,1075.0,102.51162790697674,12.093023255813954,130.0
45,1.0,5.0,264.0,93160.0,101600.0,401.0,1016.0,91.69291338582677,11.614173228346457,118.0
46,1.0,5.0,268.0,103660.0,110800.0,401.0,1108.0,93.55595667870035,11.462093862815886,127.0
47,1.0,5.0,272.0,100570.0,109100.0,401.0,1091.0,92.18148487626031,11.365719523373052,124.0
48,1.0,5.0,276.0,95590.0,110100.0,401.0,1101.0,86.82107175295187,10.354223433242508,114.0
49,1.0,5.0,280.0,112000.0,104300.0,401.0,1043.0,107.38255033557047,12.36816874400767,129.0
50,1.0,5.0,284.0,96340.0,93000.0,401.0,930.0,103.59139784946237,12.580645161290322,117.0
51,1.0,5.0,288.0,97170.0,112200.0,401.0,1122.0,86.60427807486631,10.51693404634581,118.0
52,1.0,5.0,292.0,116780.0,107100.0,401.0,1071.0,109.03828197945845,12.885154061624648,138.0
53,1.0,5.0,296.0,96570.0,102600.0,401.0,1026.0,94.12280701754386,10.428849902534113,107.0
54,1.0,5.0,300.0,117300.0,103600.0,401.0,1036.0,113.22393822393822,12.934362934362934,134.0
55,1.0,5.0,304.0,80200.0,91500.0,401.0,915.0,87.65027322404372,11.366120218579235,104.0
56,1.0,5.0,308.0,83760.0,90300.0,401.0,903.0,92.75747508305648,11.517165005537098,104.0
57,1.0,5.0,312.0,86480.0,97000.0,401.0,970.0,89.15463917525773,11.030927835051546,107.0
58,1.0,5.0,316.0,87840.0,88900.0,401.0,889.0,98.80764904386952,12.4859392575928,111.0
59,1.0,6.0,84.0,219110.0,238200.0,401.0,2382.0,91.98572628043661,10.789252728799328,257.0
60,1.0,6.0,88.0,191750.0,216700.0,401.0,2167.0,88.48638670973696,10.198431010613753,221.0
61,1.0,6.0,92.0,239350.0,225100.0,401.0,2251.0,106.33051976899155,11.150599733451799,251.0
62,1.0,6.0,96.0,191340.0,209600.0,401.0,2096.0,91.2881679389313,10.305343511450381,216.0
63,1.0,6.0,100.0,184860.0,204800.0,401.0,2048.0,90.263671875,10.3515625,212.0
64,1.0,6.0,104.0,187140.0,203300.0,401.0,2033.0,92.05115592720118,10.919822921790457,222.0
65,1.0,6.0,108.0,189760.0,201700.0,401.0,2017.0,94.08031730292514,11.006445215666833,222.0
66,1.0,6.0,112.0,185430.0,199400.0,401.0,1994.0,92.99398194583752,10.631895687061183,212.0
67,1.0,6.0,116.0,169290.0,190100.0,401.0,1901.0,89.05312993161493,10.678590215675959,203.0
68,1.0,6.0,120.0,188400.0,199300.0,401.0,1993.0,94.53085800301054,10.888108379327646,217.0
69,1.0,6.0,124.0,157850.0,187200.0,401.0,1872.0,84.32158119658119,10.202991452991453,191.0
70,1.0,6.0,128.0,152780.0,186700.0,401.0,1867.0,81.831815747188,9.855382967327262,184.0
71,1.0,6.0,132.0,168640.0,187300.0,401.0,1873.0,90.03737319807796,10.998398291510945,206.0
72,1.0,6.0,136.0,163380.0,165800.0,401.0,1658.0,98.54041013269,11.700844390832328,194.0
73,1.0,6.0,140.0,141020.0,156500.0,401.0,1565.0,90.10862619808306,10.86261980830671,170.0
74,1.0,6.0,144.0,142800.0,159900.0,401.0,1599.0,89.30581613508443,10.569105691056912,169.0
75,1.0,6.0,148.0,162360.0,165600.0,401.0,1656.0,98.04347826086956,11.473429951690822,190.0
76,1.0,6.0,152.0,157470.0,159900.0,401.0,1599.0,98.48030018761726,11.632270168855536,186.0
77,1.0,6.0,156.0,153270.0,157300.0,401.0,1573.0,97.43801652892562,11.697393515575333,184.0
78,1.0,6.0,160.0,139630.0,156200.0,401.0,1562.0,89.39180537772087,10.947503201024327,171.0
79,1.0,6.0,164.0,154510.0,163400.0,401.0,1634.0,94.5593635250918,11.505507955936352,188.0
80,1.0,6.0,168.0,156510.0,153500.0,401.0,1535.0,101.96091205211727,11.921824104234528,183.0
81,1.0,6.0,172.0,153570.0,149900.0,401.0,1499.0,102.4482988659106,12.341561040693797,185.0
82,1.0,6.0,176.0,150320.0,145800.0,401.0,1458.0,103.10013717421126,12.139917695473251,177.0
83,1.0,6.0,180.0,134340.0,138000.0,401.0,1380.0,97.34782608695653,11.014492753623188,152.0
84,1.0,6.0,184.0,132060.0,139900.0,401.0,1399.0,94.39599714081487,11.508220157255183,161.0
85,1.0,6.0,188.0,132330.0,139500.0,401.0,1395.0,94.86021505376344,11.11111111111111,155.0
86,1.0,6.0,192.0,117630.0,135900.0,401.0,1359.0,86.55629139072848,10.5224429727741,143.0
87,1.0,6.0,196.0,152470.0,142800.0,401.0,1428.0,106.77170868347339,12.745098039215685,182.0
88,1.0,6.0,200.0,123640.0,131000.0,401.0,1310.0,94.38167938931298,11.603053435114504,152.0
89,1.0,6.0,204.0,117930.0,115200.0,401.0,1152.0,102.36979166666667,11.11111111111111,128.0
90,1.0,6.0,208.0,107650.0,128600.0,401.0,1286.0,83.70917573872472,10.419906687402799,134.0
91,1.0,6.0,212.0,125810.0,136000.0,401.0,1360.0,92.50735294117646,10.955882352941176,149.0
92,1.0,6.0,216.0,106130.0,118600.0,401.0,1186.0,89.48566610455312,11.129848229342327,132.0
93,1.0,6.0,220.0,112170.0,114000.0,401.0,1140.0,98.39473684210527,12.192982456140351,139.0
94,1.0,6.0,224.0,134010.0,121900.0,401.0,1219.0,109.9343724364233,12.469237079573421,152.0
95,1.0,6.0,228.0,121230.0,123300.0,401.0,1233.0,98.32116788321169,12.084347120843471,149.0
96,1.0,6.0,232.0,115130.0,120300.0,401.0,1203.0,95.7024106400665,11.471321695760599,138.0
97,1.0,6.0,236.0,121840.0,119200.0,401.0,1192.0,102.21476510067113,12.416107382550337,148.0
98,1.0,6.0,240.0,120620.0,123300.0,401.0,1233.0,97.82643957826438,12.408759124087592,153.0
99,1.0,6.0,244.0,105130.0,117100.0,401.0,1171.0,89.77796754910334,11.357813834329633,133.0
100,1.0,6.0,248.0,98960.0,108400.0,401.0,1084.0,91.29151291512915,11.254612546125461,122.0
101,1.0,6.0,252.0,121430.0,118500.0,401.0,1185.0,102.47257383966245,12.57383966244726,149.0
102,1.0,6.0,256.0,90810.0,107000.0,401.0,1070.0,84.86915887850466,11.02803738317757,118.0
103,1.0,6.0,260.0,101270.0,116700.0,401.0,1167.0,86.77806341045415,10.882604970008568,127.0
104,1.0,6.0,264.0,95290.0,101300.0,401.0,1013.0,94.06712734452123,11.94471865745311,121.0
105,1.0,6.0,268.0,107730.0,115100.0,401.0,1151.0,93.59687228496959,12.337098175499566,142.0
106,1.0,6.0,272.0,93230.0,106400.0,401.0,1064.0,87.62218045112782,10.150375939849624,108.0
107,1.0,6.0,276.0,100320.0,107500.0,401.0,1075.0,93.32093023255814,11.720930232558139,126.0
108,1.0,6.0,280.0,111910.0,114100.0,401.0,1141.0,98.0806310254163,11.744084136722172,134.0
109,1.0,6.0,284.0,84200.0,97500.0,401.0,975.0,86.35897435897436,10.871794871794872,106.0
110,1.0,6.0,288.0,99120.0,105900.0,401.0,1059.0,93.59773371104816,12.275731822474032,130.0
111,1.0,6.0,292.0,81540.0,98600.0,401.0,986.0,82.69776876267748,11.05476673427992,109.0
112,1.0,6.0,296.0,78570.0,103200.0,401.0,1032.0,76.13372093023256,10.174418604651162,105.0
113,1.0,6.0,300.0,90280.0,93900.0,401.0,939.0,96.14483493077742,12.034078807241746,113.0
114,1.0,6.0,304.0,73520.0,92300.0,401.0,923.0,79.65330444203683,10.942578548212351,101.0
115,1.0,6.0,308.0,96750.0,98100.0,401.0,981.0,98.62385321100918,12.436289500509684,122.0
116,1.0,6.0,312.0,100660.0,103200.0,401.0,1032.0,97.53875968992249,11.918604651162791,123.0
117,1.0,6.0,316.0,91810.0,97400.0,401.0,974.0,94.26078028747433,11.498973305954825,112.0
118,1.0,8.0,84.0,192730.0,211000.0,401.0,2110.0,91.34123222748815,10.85308056872038,229.0
119,1.0,8.0,88.0,198980.0,233600.0,401.0,2336.0,85.17979452054794,10.145547945205479,237.0
120,1.0,8.0,92.0,181310.0,214100.0,401.0,2141.0,84.68472676319477,10.135450723960766,217.0
121,1.0,8.0,96.0,198300.0,211800.0,401.0,2118.0,93.62606232294618,10.764872521246458,228.0
122,1.0,8.0,100.0,187100.0,214200.0,401.0,2142.0,87.34827264239028,10.03734827264239,215.0
123,1.0,8.0,104.0,198870.0,206200.0,401.0,2062.0,96.44519883608147,11.202715809893308,231.0
124,1.0,8.0,108.0,171880.0,196800.0,401.0,1968.0,87.33739837398375,10.315040650406504,203.0
125,1.0,8.0,112.0,164810.0,183300.0,401.0,1833.0,89.91271140207311,11.074740861974904,203.0
126,1.0,8.0,116.0,169800.0,173700.0,401.0,1737.0,97.75474956822107,11.686816350028785,203.0
127,1.0,8.0,120.0,175130.0,191400.0,401.0,1914.0,91.49947753396029,10.815047021943574,207.0
