,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,5.0,5.0,102.0,0.85,117740.0,140200.0,227.0,1402.0,83.98002853067047,7.0613409415121255,99.0
5,5.0,5.0,104.0,0.85,87660.0,114500.0,227.0,1145.0,76.5589519650655,6.2882096069869,72.0
10,5.0,5.0,106.0,0.85,111490.0,128500.0,227.0,1285.0,86.76264591439688,7.54863813229572,97.0
15,5.0,5.0,108.0,0.85,102450.0,124300.0,227.0,1243.0,82.42156074014481,7.320997586484312,91.0
20,5.0,5.0,110.0,0.85,108800.0,124000.0,227.0,1240.0,87.74193548387098,7.5,93.0
25,5.0,5.0,112.0,0.85,95260.0,116200.0,227.0,1162.0,81.97934595524957,7.142857142857142,83.0
30,5.0,5.0,114.0,0.85,100510.0,108800.0,227.0,1088.0,92.38051470588235,7.9963235294117645,87.0
35,5.0,5.0,116.0,0.85,77570.0,109800.0,227.0,1098.0,70.64663023679417,6.4663023679417115,71.0
40,5.0,5.0,118.0,0.85,103430.0,110100.0,227.0,1101.0,93.9418710263397,7.266121707538602,80.0
45,5.0,5.0,120.0,0.85,96490.0,110500.0,227.0,1105.0,87.3212669683258,7.0588235294117645,78.0
50,5.0,5.0,122.0,0.85,91930.0,116700.0,227.0,1167.0,78.77463581833761,6.683804627249357,78.0
55,5.0,5.0,124.0,0.85,84220.0,113300.0,227.0,1133.0,74.33362753751103,7.0609002647837595,80.0
60,5.0,5.0,126.0,0.85,108930.0,102200.0,227.0,1022.0,106.58512720156557,8.610567514677104,88.0
65,5.0,5.0,128.0,0.85,97970.0,113600.0,227.0,1136.0,86.24119718309859,7.482394366197183,85.0
70,5.0,5.0,130.0,0.85,93630.0,102400.0,227.0,1024.0,91.435546875,7.91015625,81.0
75,5.0,5.0,132.0,0.85,92610.0,102200.0,227.0,1022.0,90.61643835616438,7.8277886497064575,80.0
80,5.0,5.0,134.0,0.85,99090.0,97500.0,227.0,975.0,101.63076923076923,7.794871794871796,76.0
85,5.0,5.0,136.0,0.85,82000.0,95000.0,227.0,950.0,86.31578947368422,7.7894736842105265,74.0
90,5.0,5.0,138.0,0.85,83810.0,111400.0,227.0,1114.0,75.23339317773788,7.001795332136446,78.0
95,5.0,5.0,140.0,0.85,91330.0,104800.0,227.0,1048.0,87.1469465648855,7.633587786259542,80.0
100,5.0,5.0,142.0,0.85,99590.0,100600.0,227.0,1006.0,98.99602385685886,8.151093439363818,82.0
105,5.0,5.0,144.0,0.85,90470.0,86800.0,227.0,868.0,104.22811059907835,8.755760368663594,76.0
110,5.0,5.0,146.0,0.85,70900.0,83400.0,227.0,834.0,85.01199040767386,7.314148681055157,61.0
115,5.0,5.0,148.0,0.85,70590.0,83100.0,227.0,831.0,84.94584837545126,7.460890493381468,62.0
120,5.0,5.0,150.0,0.85,75870.0,84400.0,227.0,844.0,89.89336492890996,7.464454976303317,63.0
125,5.0,5.0,152.0,0.85,74990.0,87100.0,227.0,871.0,86.09644087256028,7.347876004592423,64.0
130,5.0,5.0,154.0,0.85,69400.0,83300.0,227.0,833.0,83.31332533013205,7.44297719087635,62.0
135,5.0,5.0,156.0,0.85,85350.0,84000.0,227.0,840.0,101.60714285714285,7.738095238095238,65.0
140,5.0,5.0,158.0,0.85,84910.0,83300.0,227.0,833.0,101.9327731092437,8.403361344537815,70.0
145,5.0,5.0,160.0,0.85,68350.0,76200.0,227.0,762.0,89.69816272965879,8.267716535433072,63.0
150,5.0,5.0,162.0,0.85,81000.0,80700.0,227.0,807.0,100.3717472118959,9.169764560099132,74.0
155,5.0,5.0,164.0,0.85,67790.0,75700.0,227.0,757.0,89.55085865257595,7.661822985468956,58.0
160,5.0,5.0,166.0,0.85,67730.0,71500.0,227.0,715.0,94.72727272727272,8.111888111888112,58.0
165,5.0,5.0,168.0,0.85,64890.0,73900.0,227.0,739.0,87.80784844384303,8.389715832205685,62.0
