,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,5.0,5.0,83.0,0.85,139660.0,171200.0,227.0,1712.0,81.57710280373833,6.658878504672897,114.0
5,5.0,5.0,86.0,0.85,121650.0,157700.0,227.0,1577.0,77.14013950538998,6.594800253646163,104.0
10,5.0,5.0,89.0,0.85,129090.0,157800.0,227.0,1578.0,81.8060836501901,6.4638783269961975,102.0
15,5.0,5.0,92.0,0.85,144400.0,155600.0,227.0,1556.0,92.80205655526991,7.005141388174807,109.0
20,5.0,5.0,95.0,0.85,129230.0,153900.0,227.0,1539.0,83.97011046133854,6.887589343729694,106.0
25,5.0,5.0,98.0,0.85,123800.0,143700.0,227.0,1437.0,86.151704940849,7.167710508002783,103.0
30,5.0,5.0,101.0,0.85,108020.0,136600.0,227.0,1366.0,79.07759882869692,6.661786237188873,91.0
35,5.0,5.0,104.0,0.85,115950.0,130800.0,227.0,1308.0,88.64678899082568,7.033639143730887,92.0
40,5.0,5.0,107.0,0.85,117270.0,140000.0,227.0,1400.0,83.76428571428572,7.000000000000001,98.0
45,5.0,5.0,110.0,0.85,100720.0,109800.0,227.0,1098.0,91.73041894353369,7.377049180327869,81.0
50,5.0,5.0,113.0,0.85,103150.0,125100.0,227.0,1251.0,82.45403677058354,7.434052757793765,93.0
55,5.0,5.0,116.0,0.85,87620.0,117500.0,227.0,1175.0,74.57021276595745,6.6382978723404245,78.0
60,5.0,5.0,119.0,0.85,104610.0,111100.0,227.0,1111.0,94.15841584158416,8.010801080108012,89.0
65,5.0,5.0,122.0,0.85,96330.0,96700.0,227.0,967.0,99.61737331954498,8.583247156153051,83.0
70,5.0,5.0,125.0,0.85,96730.0,104000.0,227.0,1040.0,93.00961538461539,8.173076923076923,85.0
75,5.0,5.0,128.0,0.85,78320.0,108400.0,227.0,1084.0,72.25092250922509,6.088560885608856,66.0
80,5.0,5.0,131.0,0.85,87850.0,105900.0,227.0,1059.0,82.95561850802645,6.8932955618508025,73.0
85,5.0,5.0,134.0,0.85,88380.0,103900.0,227.0,1039.0,85.06256015399423,7.795957651588066,81.0
90,5.0,5.0,137.0,0.85,77270.0,99800.0,227.0,998.0,77.4248496993988,7.214428857715431,72.0
95,5.0,5.0,140.0,0.85,77250.0,95300.0,227.0,953.0,81.0598111227702,6.715634837355719,64.0
100,5.0,5.0,143.0,0.85,70330.0,84700.0,227.0,847.0,83.03423848878394,7.43801652892562,63.0
105,5.0,5.0,146.0,0.85,73800.0,84700.0,227.0,847.0,87.13105076741441,7.674144037780402,65.0
110,5.0,5.0,149.0,0.85,78080.0,87000.0,227.0,870.0,89.74712643678161,7.7011494252873565,67.0
115,5.0,5.0,152.0,0.85,90610.0,86900.0,227.0,869.0,104.2692750287687,8.860759493670885,77.0
120,5.0,5.0,155.0,0.85,80510.0,81200.0,227.0,812.0,99.15024630541872,8.620689655172415,70.0
125,5.0,5.0,158.0,0.85,81540.0,73700.0,227.0,737.0,110.63772048846675,9.226594301221166,68.0
130,5.0,5.0,161.0,0.85,63530.0,72900.0,227.0,729.0,87.14677640603567,7.544581618655692,55.0
135,5.0,5.0,164.0,0.85,64340.0,74100.0,227.0,741.0,86.82860998650472,7.6923076923076925,57.0
140,5.0,5.0,167.0,0.85,67880.0,72400.0,227.0,724.0,93.75690607734806,8.287292817679557,60.0
145,5.0,5.0,170.0,0.85,67720.0,73000.0,227.0,730.0,92.76712328767124,8.082191780821917,59.0
150,5.0,5.0,173.0,0.85,74880.0,68500.0,227.0,685.0,109.31386861313868,9.05109489051095,62.0
