,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,5.0,5.0,83.0,0.1,250920.0,241556.68699490608,227.0,2415.5668699490607,103.87623837765724,7.575861479001783,183.0
7,5.0,5.0,86.0,0.1,250380.0,236887.4260220725,227.0,2368.874260220725,105.69577465739795,7.851830851615952,186.0
14,5.0,5.0,89.0,0.1,256000.0,226306.88983437995,227.0,2263.0688983437994,113.12072742785277,8.086364499725414,183.0
21,5.0,5.0,92.0,0.1,275160.0,233228.30428084236,227.0,2332.2830428084235,117.97881944408664,7.889265437458912,184.0
28,5.0,5.0,95.0,0.1,237430.0,218248.29957672604,227.0,2182.4829957672605,108.78893464942234,8.201667566123321,179.0
35,5.0,5.0,98.0,0.1,222150.0,209758.03786112348,227.0,2097.5803786112347,105.90774125522712,8.390620058933141,176.0
42,5.0,5.0,101.0,0.1,221850.0,209351.35981263357,227.0,2093.5135981263356,105.97017387350745,8.26361959888068,173.0
49,5.0,5.0,104.0,0.1,246830.0,210839.15053376136,227.0,2108.3915053376136,117.07028764587793,8.015589114837487,169.0
56,5.0,5.0,107.0,0.1,228590.0,201711.0149266024,227.0,2017.1101492660239,113.32549195847248,8.378322822950194,169.0
63,5.0,5.0,110.0,0.1,237870.0,195097.02985650147,227.0,1950.9702985650147,121.92394736862937,8.7648694665303,171.0
70,5.0,5.0,113.0,0.1,211950.0,192666.08273651975,227.0,1926.6608273651975,110.00898393198348,8.56403979654507,165.0
77,5.0,5.0,116.0,0.1,204980.0,178451.23703112954,227.0,1784.5123703112954,114.86611323643707,9.134147944940601,163.0
84,5.0,5.0,119.0,0.1,220140.0,192404.4701125908,227.0,1924.044701125908,114.41522115945591,8.62765817773675,166.0
91,5.0,5.0,122.0,0.1,219980.0,184798.74526368524,227.0,1847.9874526368524,119.03760476626364,8.820406208246649,163.0
98,5.0,5.0,125.0,0.1,226600.0,185283.77091173275,227.0,1852.8377091173274,122.29889260401004,9.22908677638381,171.0
105,5.0,5.0,128.0,0.1,214200.0,157998.25404222656,227.0,1579.9825404222656,135.5711183635947,10.506445213985396,166.0
112,5.0,5.0,131.0,0.1,210500.0,168376.8190401008,227.0,1683.7681904010078,125.01720913843081,9.383714510153002,158.0
119,5.0,5.0,134.0,0.1,212360.0,169198.98759879544,227.0,1691.9898759879543,125.50902520974176,9.751831399325386,165.0
126,5.0,5.0,137.0,0.1,189660.0,156939.5593201108,227.0,1569.395593201108,120.8490713378066,9.812694814943697,154.0
133,5.0,5.0,140.0,0.1,195300.0,149076.12674613897,227.0,1490.7612674613897,131.00689175576412,10.464452183256121,156.0
140,5.0,5.0,143.0,0.1,175620.0,156140.86724797386,227.0,1561.4086724797385,112.47535837052224,9.350530874670453,146.0
147,5.0,5.0,146.0,0.1,164210.0,148038.93891430172,227.0,1480.389389143017,110.9235186392815,8.916572961686352,132.0
154,5.0,5.0,149.0,0.1,200250.0,141888.584982301,227.0,1418.88584982301,141.13186062499597,10.64215278620444,151.0
161,5.0,5.0,152.0,0.1,177840.0,141601.29480994167,227.0,1416.0129480994167,125.59207190774504,9.957536065560085,141.0
168,5.0,5.0,155.0,0.1,184000.0,142618.2461547689,227.0,1426.182461547689,129.01575006070664,9.886533020956325,141.0
175,5.0,5.0,158.0,0.1,173350.0,141645.51976342654,227.0,1416.4551976342652,122.38297426528256,9.813229548817004,139.0
182,5.0,5.0,161.0,0.1,162470.0,138679.92845865857,227.0,1386.7992845865856,117.1546609561696,9.734645921759647,135.0
189,5.0,5.0,164.0,0.1,179550.0,144473.37073440527,227.0,1444.7337073440526,124.27895818259711,9.551933293900529,138.0
196,5.0,5.0,167.0,0.1,178430.0,124538.74733925058,227.0,1245.3874733925059,143.27267923608272,11.16118501026481,139.0
203,5.0,5.0,170.0,0.1,181990.0,127711.27634222803,227.0,1277.1127634222803,142.50112066245524,10.492417258513655,134.0
210,5.0,5.0,173.0,0.1,154520.0,125420.88089832391,227.0,1254.2088089832391,123.20117582754513,10.604294838896907,133.0
217,5.0,5.0,176.0,0.1,183610.0,131504.48082566453,227.0,1315.0448082566454,139.62261882422985,10.722068108608685,141.0
224,5.0,5.0,179.0,0.1,154260.0,125421.17826798376,227.0,1254.2117826798376,122.99358220857819,9.966418887639229,125.0
231,5.0,5.0,182.0,0.1,168470.0,118248.04823797462,227.0,1182.4804823797463,142.47169615937636,11.247542938919128,133.0
238,5.0,5.0,185.0,0.1,169790.0,114606.93224459312,227.0,1146.0693224459312,148.1498515618895,11.866646924092688,136.0
245,5.0,5.0,188.0,0.1,173200.0,126808.11767274747,227.0,1268.0811767274747,136.58431587713937,10.882584059494938,138.0
252,5.0,5.0,191.0,0.1,166480.0,118489.08111703729,227.0,1184.890811170373,140.50239771507705,10.802683149645521,128.0
259,5.0,5.0,194.0,0.1,153990.0,110624.15779463077,227.0,1106.2415779463076,139.20105975936664,11.028332547985407,122.0
266,5.0,5.0,197.0,0.1,173540.0,112298.72739717373,227.0,1122.9872739717373,154.53425343479677,11.576266535970715,130.0
273,5.0,5.0,200.0,0.1,137880.0,110870.86358295933,227.0,1108.7086358295933,124.36089658202314,10.462622572900118,116.0
280,5.0,5.0,203.0,0.1,167190.0,106321.46588879058,227.0,1063.214658887906,157.24952492178417,12.038961175900695,128.0
287,5.0,5.0,206.0,0.1,170820.0,105063.34962775634,227.0,1050.6334962775634,162.58762033118316,12.75420976722781,134.0
294,5.0,5.0,209.0,0.1,177980.0,115864.85423433786,227.0,1158.6485423433787,153.60999776518392,11.651505617653573,135.0
301,5.0,5.0,212.0,0.1,166730.0,108605.97394062723,227.0,1086.0597394062722,153.5182586651707,11.601571757818935,126.0
308,5.0,5.0,215.0,0.1,145470.0,108332.65239424682,227.0,1083.3265239424682,134.280844034541,10.800067884815629,117.0
315,5.0,5.0,218.0,0.1,141400.0,97579.0395397813,227.0,975.790395397813,144.90816948690465,11.785317886134395,115.0
322,5.0,5.0,221.0,0.1,134470.0,107293.34050454968,227.0,1072.9334050454968,125.32930689607704,10.4386720996212,112.0
329,5.0,5.0,224.0,0.1,151200.0,99018.02097783875,227.0,990.1802097783875,152.69947682941483,12.119006097572607,120.0
336,5.0,5.0,227.0,0.1,145400.0,108527.66943879057,227.0,1085.2766943879058,133.97505055796427,11.0570880790617,120.0
343,5.0,5.0,230.0,0.1,141050.0,95518.27954712385,227.0,955.1827954712385,147.66807010004104,11.411428316841171,109.0
350,5.0,5.0,233.0,0.1,147610.0,98239.54523702923,227.0,982.3954523702923,150.25517437387492,11.807872249420425,116.0
357,5.0,5.0,236.0,0.1,122890.0,87793.63344683945,227.0,877.9363344683944,139.97598137274042,11.959864955763484,105.0
364,5.0,5.0,239.0,0.1,128210.0,87752.13738749368,227.0,877.5213738749369,146.1047033348641,11.737605836901178,103.0
371,5.0,5.0,242.0,0.1,147080.0,90613.73361320623,227.0,906.1373361320623,162.31535125550135,11.587647458408787,105.0
378,5.0,5.0,245.0,0.1,146060.0,95715.74468263116,227.0,957.1574468263117,152.59767396084882,11.805790194150292,113.0
385,5.0,5.0,248.0,0.1,128140.0,83216.66115416282,227.0,832.1666115416282,153.98358720811277,11.776487862022046,98.0
392,5.0,5.0,251.0,0.1,138670.0,90788.24261478816,227.0,907.8824261478817,152.74004210916686,12.116106318604134,110.0
399,5.0,5.0,254.0,0.1,146940.0,94814.2990531701,227.0,948.1429905317011,154.97662427225114,11.496156285337806,109.0
406,5.0,5.0,257.0,0.1,131070.0,88424.7197308922,227.0,884.2471973089221,148.2277810988743,12.10068862255249,107.0
1,5.0,5.0,83.0,0.3,222370.0,241556.68699490608,227.0,2415.5668699490607,92.05706650741129,6.74789847583219,163.0
8,5.0,5.0,86.0,0.3,210180.0,236887.4260220725,227.0,2368.874260220725,88.72568862326024,6.880905531254839,163.0
15,5.0,5.0,89.0,0.3,188930.0,226306.88983437995,227.0,2263.0688983437994,83.48398059743838,6.893294327634779,156.0
22,5.0,5.0,92.0,0.3,232210.0,233228.30428084236,227.0,2332.2830428084235,99.56338734958337,7.117489470750975,166.0
29,5.0,5.0,95.0,0.3,210550.0,218248.29957672604,227.0,2182.4829957672605,96.47268748867403,7.4227382442009935,162.0
36,5.0,5.0,98.0,0.3,182990.0,209758.03786112348,227.0,2097.5803786112347,87.23861162410088,7.198770618743776,151.0
43,5.0,5.0,101.0,0.3,189370.0,209351.35981263357,227.0,2093.5135981263356,90.45558632601355,7.260521266068574,152.0
50,5.0,5.0,104.0,0.3,201660.0,210839.15053376136,227.0,2108.3915053376136,95.64637283420873,7.16185772982521,151.0
57,5.0,5.0,107.0,0.3,191570.0,201711.0149266024,227.0,2017.1101492660239,94.97250314748926,7.436381203801948,150.0
64,5.0,5.0,110.0,0.3,175540.0,195097.02985650147,227.0,1950.9702985650147,89.9757418803935,7.278429615481302,142.0
71,5.0,5.0,113.0,0.3,170330.0,192666.08273651975,227.0,1926.6608273651975,88.40684233609221,7.214554737695543,139.0
78,5.0,5.0,116.0,0.3,177680.0,178451.23703112954,227.0,1784.5123703112954,99.56781637159791,7.8452804435072645,140.0
85,5.0,5.0,119.0,0.3,173140.0,192404.4701125908,227.0,1924.044701125908,89.98751427068319,7.4842335999644085,144.0
92,5.0,5.0,122.0,0.3,180870.0,184798.74526368524,227.0,1847.9874526368524,97.874041158624,7.738147777786936,143.0
99,5.0,5.0,125.0,0.3,175690.0,185283.77091173275,227.0,1852.8377091173274,94.82212021888138,7.609948745439282,141.0
106,5.0,5.0,128.0,0.3,168920.0,157998.25404222656,227.0,1579.9825404222656,106.91257382809718,8.670981893469873,137.0
113,5.0,5.0,131.0,0.3,176600.0,168376.8190401008,227.0,1683.7681904010078,104.88379636031773,8.077121350511444,136.0
120,5.0,5.0,134.0,0.3,168190.0,169198.98759879544,227.0,1691.9898759879543,99.4036680637901,8.27428118730639,140.0
127,5.0,5.0,137.0,0.3,143910.0,156939.5593201108,227.0,1569.395593201108,91.69772148172386,7.518818104956858,118.0
134,5.0,5.0,140.0,0.3,149300.0,149076.12674613897,227.0,1490.7612674613897,100.15017377949607,7.982498780817168,119.0
141,5.0,5.0,143.0,0.3,138850.0,156140.86724797386,227.0,1561.4086724797385,88.92611040739673,7.42918891412173,116.0
148,5.0,5.0,146.0,0.3,120100.0,148038.93891430172,227.0,1480.389389143017,81.12730399231293,7.295377877743378,108.0
155,5.0,5.0,149.0,0.3,121490.0,141888.584982301,227.0,1418.88584982301,85.62351933748195,7.752561632334361,110.0
162,5.0,5.0,152.0,0.3,127730.0,141601.29480994167,227.0,1416.0129480994167,90.20397742226875,7.556428078120063,107.0
169,5.0,5.0,155.0,0.3,148870.0,142618.2461547689,227.0,1426.182461547689,104.38355821487717,7.993367123326389,114.0
176,5.0,5.0,158.0,0.3,144230.0,141645.51976342654,227.0,1416.4551976342652,101.82461135437958,8.189457752969584,116.0
183,5.0,5.0,161.0,0.3,130690.0,138679.92845865857,227.0,1386.7992845865856,94.2385833714643,8.292476155573032,115.0
190,5.0,5.0,164.0,0.3,142300.0,144473.37073440527,227.0,1444.7337073440526,98.49565997985835,7.683076779876513,111.0
197,5.0,5.0,167.0,0.3,132680.0,124538.74733925058,227.0,1245.3874733925059,106.53712425625432,8.51140727401489,106.0
204,5.0,5.0,170.0,0.3,122960.0,127711.27634222803,227.0,1277.1127634222803,96.27967359006261,8.221670239880103,105.0
211,5.0,5.0,173.0,0.3,119790.0,125420.88089832391,227.0,1254.2088089832391,95.51041193620003,8.451543255060693,106.0
218,5.0,5.0,176.0,0.3,135060.0,131504.48082566453,227.0,1315.0448082566454,102.70372473394957,8.288690949208132,109.0
225,5.0,5.0,179.0,0.3,114590.0,125421.17826798376,227.0,1254.2117826798376,91.36415522676633,8.13259781231361,102.0
232,5.0,5.0,182.0,0.3,130530.0,118248.04823797462,227.0,1182.4804823797463,110.38659998624915,8.710503178260678,103.0
239,5.0,5.0,185.0,0.3,126170.0,114606.93224459312,227.0,1146.0693224459312,110.0893266479981,9.336258977043512,107.0
246,5.0,5.0,188.0,0.3,130920.0,126808.11767274747,227.0,1268.0811767274747,103.24260181659982,8.75338283046332,111.0
253,5.0,5.0,191.0,0.3,124000.0,118489.08111703729,227.0,1184.890811170373,104.65099301219098,8.439596210660563,100.0
260,5.0,5.0,194.0,0.3,109760.0,110624.15779463077,227.0,1106.2415779463076,99.21883446449822,8.49723983205433,94.0
