,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,5.0,5.0,83.0,0.01,316850.0,380900.0,227.0,3809.0,83.18456287739563,5.56576529272775,212.0
7,5.0,5.0,86.0,0.01,302520.0,394900.0,227.0,3949.0,76.6067358825019,5.368447708280577,212.0
14,5.0,5.0,89.0,0.01,286970.0,387200.0,227.0,3872.0,74.11415289256198,5.294421487603305,205.0
21,5.0,5.0,92.0,0.01,306390.0,387100.0,227.0,3871.0,79.1500904159132,5.321622319814002,206.0
28,5.0,5.0,95.0,0.01,321010.0,384800.0,227.0,3848.0,83.42255717255718,5.535343035343035,213.0
35,5.0,5.0,98.0,0.01,307170.0,376200.0,227.0,3762.0,81.65071770334929,5.502392344497608,207.0
42,5.0,5.0,101.0,0.01,290750.0,369200.0,227.0,3692.0,78.75135427952328,5.335861321776815,197.0
49,5.0,5.0,104.0,0.01,311710.0,374000.0,227.0,3740.0,83.34491978609626,5.588235294117648,209.0
56,5.0,5.0,107.0,0.01,281850.0,374400.0,227.0,3744.0,75.28044871794873,5.368589743589744,201.0
63,5.0,5.0,110.0,0.01,285260.0,371700.0,227.0,3717.0,76.74468657519505,5.407586763518967,201.0
70,5.0,5.0,113.0,0.01,278840.0,363600.0,227.0,3636.0,76.68866886688669,5.500550055005501,200.0
77,5.0,5.0,116.0,0.01,281240.0,360900.0,227.0,3609.0,77.92740371293986,5.569409808811305,201.0
84,5.0,5.0,119.0,0.01,262240.0,353500.0,227.0,3535.0,74.18387553041018,5.4596888260254595,193.0
91,5.0,5.0,122.0,0.01,282530.0,352100.0,227.0,3521.0,80.24140869071287,5.680204487361545,200.0
98,5.0,5.0,125.0,0.01,267280.0,336000.0,227.0,3360.0,79.54761904761905,5.744047619047619,193.0
105,5.0,5.0,128.0,0.01,261540.0,339400.0,227.0,3394.0,77.05951679434295,5.53918680023571,188.0
112,5.0,5.0,131.0,0.01,271880.0,338000.0,227.0,3380.0,80.43786982248521,5.828402366863905,197.0
119,5.0,5.0,134.0,0.01,257610.0,340200.0,227.0,3402.0,75.72310405643738,5.731922398589065,195.0
126,5.0,5.0,137.0,0.01,275790.0,334400.0,227.0,3344.0,82.47308612440192,5.741626794258373,192.0
133,5.0,5.0,140.0,0.01,271020.0,335300.0,227.0,3353.0,80.82910826125857,5.785863405905159,194.0
140,5.0,5.0,143.0,0.01,267520.0,325900.0,227.0,3259.0,82.08652961030991,5.830009205277693,190.0
147,5.0,5.0,146.0,0.01,252350.0,315800.0,227.0,3158.0,79.90816972767576,5.953134895503483,188.0
154,5.0,5.0,149.0,0.01,281900.0,335900.0,227.0,3359.0,83.92378684132183,5.626674605537362,189.0
161,5.0,5.0,152.0,0.01,244150.0,316700.0,227.0,3167.0,77.09188506473002,5.746763498579097,182.0
168,5.0,5.0,155.0,0.01,258050.0,313000.0,227.0,3130.0,82.44408945686901,5.7507987220447285,180.0
175,5.0,5.0,158.0,0.01,262300.0,304200.0,227.0,3042.0,86.22616699539776,5.950032873109796,181.0
182,5.0,5.0,161.0,0.01,251390.0,315500.0,227.0,3155.0,79.6798732171157,5.89540412044374,186.0
189,5.0,5.0,164.0,0.01,264690.0,305800.0,227.0,3058.0,86.55657292347941,6.017004578155658,184.0
196,5.0,5.0,167.0,0.01,264480.0,303900.0,227.0,3039.0,87.02862783810464,6.021717670286279,183.0
203,5.0,5.0,170.0,0.01,265230.0,315400.0,227.0,3154.0,84.09321496512365,5.897273303741281,186.0
210,5.0,5.0,173.0,0.01,242070.0,300000.0,227.0,3000.0,80.69,5.7,171.0
217,5.0,5.0,176.0,0.01,228540.0,288900.0,227.0,2889.0,79.10695742471444,5.919003115264798,171.0
224,5.0,5.0,179.0,0.01,258760.0,301100.0,227.0,3011.0,85.93822650282299,5.944868814347393,179.0
231,5.0,5.0,182.0,0.01,251230.0,298500.0,227.0,2985.0,84.1641541038526,6.030150753768844,180.0
238,5.0,5.0,185.0,0.01,229870.0,284900.0,227.0,2849.0,80.68445068445068,5.826605826605827,166.0
