,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,threshold
0,1.0,5.0,81.0,257500.0,270800.0,401.0,2708.0,95.08862629246676,11.410635155096012,309.0,0.5
5,1.0,5.0,82.0,256120.0,266200.0,401.0,2662.0,96.21337340345605,11.607813673929376,309.0,0.5
10,1.0,5.0,83.0,253950.0,262000.0,401.0,2620.0,96.92748091603053,11.641221374045802,305.0,0.5
15,1.0,5.0,84.0,246880.0,257500.0,401.0,2575.0,95.8757281553398,11.611650485436893,299.0,0.5
20,1.0,5.0,85.0,242530.0,255300.0,401.0,2553.0,94.99804151978066,11.594202898550725,296.0,0.5
25,1.0,5.0,86.0,240470.0,253100.0,401.0,2531.0,95.00987751876728,11.615962070327935,294.0,0.5
30,1.0,5.0,87.0,236150.0,246800.0,401.0,2468.0,95.68476499189627,11.750405186385738,290.0,0.5
35,1.0,5.0,88.0,231520.0,244000.0,401.0,2440.0,94.88524590163935,11.721311475409836,286.0,0.5
40,1.0,5.0,89.0,230510.0,242100.0,401.0,2421.0,95.21272201569599,11.771995043370508,285.0,0.5
45,1.0,5.0,90.0,229630.0,235900.0,401.0,2359.0,97.34209410767274,12.038999576091564,284.0,0.5
50,1.0,5.0,91.0,224860.0,232600.0,401.0,2326.0,96.67239896818572,12.037833190025795,280.0,0.5
55,1.0,5.0,92.0,221880.0,230900.0,401.0,2309.0,96.09354699003899,12.039844088349936,278.0,0.5
60,1.0,5.0,93.0,211800.0,223000.0,401.0,2230.0,94.97757847533632,12.197309417040358,272.0,0.5
65,1.0,5.0,94.0,205380.0,219800.0,401.0,2198.0,93.43949044585987,12.238398544131028,269.0,0.5
70,1.0,5.0,95.0,194680.0,212100.0,401.0,2121.0,91.7868929750118,12.211221122112212,259.0,0.5
75,1.0,5.0,96.0,188890.0,208500.0,401.0,2085.0,90.5947242206235,12.23021582733813,255.0,0.5
80,1.0,5.0,97.0,187320.0,204300.0,401.0,2043.0,91.68869309838473,12.334801762114537,252.0,0.5
85,1.0,5.0,98.0,181840.0,199200.0,401.0,1992.0,91.285140562249,12.399598393574298,247.0,0.5
90,1.0,5.0,99.0,183360.0,197500.0,401.0,1975.0,92.84050632911392,12.60759493670886,249.0,0.5
95,1.0,5.0,100.0,178070.0,196300.0,401.0,1963.0,90.71319409067753,12.379011716760061,243.0,0.5
100,1.0,5.0,101.0,172390.0,193000.0,401.0,1930.0,89.32124352331606,12.331606217616581,238.0,0.5
105,1.0,5.0,102.0,173370.0,188200.0,401.0,1882.0,92.12008501594049,12.646121147715197,238.0,0.5
110,1.0,5.0,103.0,160050.0,181100.0,401.0,1811.0,88.37658752070679,12.424075096631695,225.0,0.5
115,1.0,5.0,104.0,155110.0,177700.0,401.0,1777.0,87.28756330894767,12.436691052335396,221.0,0.5
120,1.0,5.0,105.0,160340.0,173700.0,401.0,1737.0,92.30857800805987,13.010938399539434,226.0,0.5
125,1.0,5.0,106.0,158000.0,171000.0,401.0,1710.0,92.39766081871345,12.982456140350877,222.0,0.5
130,1.0,5.0,107.0,157230.0,170900.0,401.0,1709.0,92.00117027501463,13.04856641310708,223.0,0.5
135,1.0,5.0,108.0,150990.0,165600.0,401.0,1656.0,91.17753623188406,13.043478260869565,216.0,0.5
140,1.0,5.0,109.0,150230.0,162300.0,401.0,1623.0,92.56315465187923,13.185459026494147,214.0,0.5
145,1.0,5.0,110.0,148840.0,157800.0,401.0,1578.0,94.32192648922687,13.434727503168567,212.0,0.5
150,1.0,5.0,111.0,142030.0,155200.0,401.0,1552.0,91.51417525773195,13.337628865979381,207.0,0.5
155,1.0,5.0,112.0,138280.0,150500.0,401.0,1505.0,91.88039867109634,13.421926910299003,202.0,0.5
160,1.0,5.0,113.0,136160.0,147000.0,401.0,1470.0,92.62585034013605,13.46938775510204,198.0,0.5
165,1.0,5.0,114.0,134610.0,146600.0,401.0,1466.0,91.82128240109141,13.437926330150068,197.0,0.5
170,1.0,5.0,115.0,136280.0,144500.0,401.0,1445.0,94.31141868512111,13.702422145328718,198.0,0.5
175,1.0,5.0,116.0,130840.0,139200.0,401.0,1392.0,93.99425287356323,13.793103448275861,192.0,0.5
180,1.0,5.0,117.0,125710.0,138200.0,401.0,1382.0,90.96237337192474,13.53111432706223,187.0,0.5
185,1.0,5.0,118.0,125760.0,133500.0,401.0,1335.0,94.20224719101124,13.93258426966292,186.0,0.5
190,1.0,5.0,119.0,120490.0,131100.0,401.0,1311.0,91.906941266209,13.729977116704806,180.0,0.5
195,1.0,5.0,120.0,121100.0,128200.0,401.0,1282.0,94.46177847113884,14.118564742589705,181.0,0.5
200,1.0,5.0,121.0,117820.0,123700.0,401.0,1237.0,95.24656426839127,14.308811641067098,177.0,0.5
205,1.0,5.0,122.0,118410.0,122900.0,401.0,1229.0,96.346623270952,14.401952807160292,177.0,0.5
210,1.0,5.0,123.0,114080.0,120700.0,401.0,1207.0,94.51532725766363,14.250207125103561,172.0,0.5
215,1.0,5.0,124.0,111260.0,118700.0,401.0,1187.0,93.73209772535805,14.153327716933445,168.0,0.5
220,1.0,5.0,125.0,111390.0,115300.0,401.0,1153.0,96.60884648742412,14.570685169124022,168.0,0.5
225,1.0,5.0,126.0,113280.0,115200.0,401.0,1152.0,98.33333333333333,14.756944444444445,170.0,0.5
