,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,97380.0,98200.0,281.0,982.0,99.16496945010184,11.09979633401222,109.0
1,1.0,5.0,102.0,0.9,78580.0,78800.0,281.0,788.0,99.72081218274111,11.6751269035533,92.0
2,1.0,5.0,102.0,0.92,73100.0,72200.0,281.0,722.0,101.24653739612188,11.772853185595569,85.0
3,1.0,5.0,104.0,0.85,96990.0,101800.0,281.0,1018.0,95.27504911591356,10.609037328094303,108.0
4,1.0,5.0,104.0,0.9,86970.0,85800.0,281.0,858.0,101.36363636363637,11.305361305361306,97.0
5,1.0,5.0,104.0,0.92,84210.0,77600.0,281.0,776.0,108.5180412371134,11.984536082474227,93.0
6,1.0,5.0,106.0,0.85,91060.0,91300.0,281.0,913.0,99.73713033953999,10.514786418400876,96.0
7,1.0,5.0,106.0,0.9,78630.0,75500.0,281.0,755.0,104.1456953642384,10.993377483443709,83.0
8,1.0,5.0,106.0,0.92,71210.0,67700.0,281.0,677.0,105.18463810930577,11.521418020679468,78.0
9,1.0,5.0,108.0,0.85,97290.0,99600.0,281.0,996.0,97.68072289156626,11.04417670682731,110.0
10,1.0,5.0,108.0,0.9,79550.0,83700.0,281.0,837.0,95.04181600955795,10.991636798088411,92.0
11,1.0,5.0,108.0,0.92,69230.0,75000.0,281.0,750.0,92.30666666666667,10.666666666666668,80.0
12,1.0,5.0,110.0,0.85,82100.0,89200.0,281.0,892.0,92.04035874439462,10.762331838565023,96.0
13,1.0,5.0,110.0,0.9,65260.0,72500.0,281.0,725.0,90.01379310344828,11.03448275862069,80.0
14,1.0,5.0,110.0,0.92,60090.0,65200.0,281.0,652.0,92.16257668711656,11.349693251533742,74.0
15,1.0,5.0,112.0,0.85,79360.0,94500.0,281.0,945.0,83.97883597883597,9.417989417989418,89.0
16,1.0,5.0,112.0,0.9,61540.0,76500.0,281.0,765.0,80.44444444444444,9.281045751633988,71.0
17,1.0,5.0,112.0,0.92,58830.0,69500.0,281.0,695.0,84.64748201438849,9.784172661870503,68.0
18,1.0,5.0,114.0,0.85,91240.0,95500.0,281.0,955.0,95.53926701570681,10.471204188481675,100.0
19,1.0,5.0,114.0,0.9,73870.0,81000.0,281.0,810.0,91.19753086419753,10.493827160493826,85.0
20,1.0,5.0,114.0,0.92,65780.0,74400.0,281.0,744.0,88.41397849462366,10.483870967741936,78.0
21,1.0,5.0,116.0,0.85,77810.0,85900.0,281.0,859.0,90.58207217694995,10.128055878928988,87.0
22,1.0,5.0,116.0,0.9,58850.0,72900.0,281.0,729.0,80.72702331961591,10.150891632373114,74.0
23,1.0,5.0,116.0,0.92,52530.0,64600.0,281.0,646.0,81.3157894736842,10.061919504643962,65.0
24,1.0,5.0,118.0,0.85,78850.0,83000.0,281.0,830.0,95.0,10.963855421686747,91.0
25,1.0,5.0,118.0,0.9,63330.0,68000.0,281.0,680.0,93.13235294117646,11.176470588235295,76.0
26,1.0,5.0,118.0,0.92,51780.0,60400.0,281.0,604.0,85.72847682119206,10.76158940397351,65.0
27,1.0,5.0,120.0,0.85,73350.0,83500.0,281.0,835.0,87.8443113772455,10.778443113772456,90.0
28,1.0,5.0,120.0,0.9,60050.0,68100.0,281.0,681.0,88.1791483113069,11.013215859030836,75.0
29,1.0,5.0,120.0,0.92,56220.0,62000.0,281.0,620.0,90.6774193548387,11.29032258064516,70.0
30,1.0,5.0,122.0,0.85,68430.0,81300.0,281.0,813.0,84.16974169741698,10.33210332103321,84.0
31,1.0,5.0,122.0,0.9,57960.0,64600.0,281.0,646.0,89.72136222910217,11.455108359133128,74.0
32,1.0,5.0,122.0,0.92,53580.0,58000.0,281.0,580.0,92.37931034482759,11.89655172413793,69.0
33,1.0,5.0,124.0,0.85,69970.0,78700.0,281.0,787.0,88.90724269377382,10.546378653113088,83.0
34,1.0,5.0,124.0,0.9,61860.0,65000.0,281.0,650.0,95.16923076923078,11.23076923076923,73.0
35,1.0,5.0,124.0,0.92,55800.0,57800.0,281.0,578.0,96.53979238754326,11.245674740484429,65.0
36,1.0,5.0,126.0,0.85,79710.0,82000.0,281.0,820.0,97.20731707317073,11.219512195121952,92.0
37,1.0,5.0,126.0,0.9,61090.0,65800.0,281.0,658.0,92.8419452887538,11.55015197568389,76.0
38,1.0,5.0,126.0,0.92,52830.0,59000.0,281.0,590.0,89.54237288135593,11.694915254237289,69.0
39,1.0,5.0,128.0,0.85,67610.0,76600.0,281.0,766.0,88.26370757180156,10.704960835509137,82.0
40,1.0,5.0,128.0,0.9,53660.0,61800.0,281.0,618.0,86.82847896440128,10.679611650485436,66.0
41,1.0,5.0,128.0,0.92,49460.0,54500.0,281.0,545.0,90.75229357798165,11.376146788990827,62.0
42,1.0,5.0,130.0,0.85,74090.0,83800.0,281.0,838.0,88.41288782816228,10.501193317422434,88.0
43,1.0,5.0,130.0,0.9,61670.0,68500.0,281.0,685.0,90.02919708029196,10.948905109489052,75.0
44,1.0,5.0,130.0,0.92,56680.0,59600.0,281.0,596.0,95.1006711409396,11.74496644295302,70.0
45,1.0,5.0,132.0,0.85,73340.0,81700.0,281.0,817.0,89.76744186046511,9.30232558139535,76.0
46,1.0,5.0,132.0,0.9,57260.0,65900.0,281.0,659.0,86.88922610015175,10.318664643399089,68.0
47,1.0,5.0,132.0,0.92,55980.0,59700.0,281.0,597.0,93.76884422110552,11.055276381909549,66.0
48,1.0,5.0,134.0,0.85,57890.0,68200.0,281.0,682.0,84.88269794721408,9.970674486803519,68.0
49,1.0,5.0,134.0,0.9,43940.0,52900.0,281.0,529.0,83.06238185255198,10.207939508506616,54.0
50,1.0,5.0,134.0,0.92,42580.0,47400.0,281.0,474.0,89.83122362869199,10.970464135021098,52.0
51,1.0,5.0,136.0,0.85,70670.0,71400.0,281.0,714.0,98.97759103641457,10.92436974789916,78.0
52,1.0,5.0,136.0,0.9,57580.0,58400.0,281.0,584.0,98.5958904109589,11.301369863013697,66.0
53,1.0,5.0,136.0,0.92,54220.0,52700.0,281.0,527.0,102.8842504743833,11.57495256166983,61.0
54,1.0,5.0,138.0,0.85,65490.0,79600.0,281.0,796.0,82.27386934673366,10.175879396984925,81.0
55,1.0,5.0,138.0,0.9,58330.0,66300.0,281.0,663.0,87.9788838612368,11.010558069381599,73.0
56,1.0,5.0,138.0,0.92,51920.0,59800.0,281.0,598.0,86.8227424749164,11.036789297658862,66.0
57,1.0,5.0,140.0,0.85,69890.0,80900.0,281.0,809.0,86.39060568603215,9.88875154511743,80.0
58,1.0,5.0,140.0,0.9,59660.0,66100.0,281.0,661.0,90.25718608169441,10.59001512859304,70.0
59,1.0,5.0,140.0,0.92,55030.0,58800.0,281.0,588.0,93.58843537414965,10.54421768707483,62.0
60,1.0,5.0,142.0,0.85,60940.0,67800.0,281.0,678.0,89.88200589970502,10.32448377581121,70.0
61,1.0,5.0,142.0,0.9,53270.0,53500.0,281.0,535.0,99.57009345794393,11.214953271028037,60.0
62,1.0,5.0,142.0,0.92,46860.0,46400.0,281.0,464.0,100.99137931034483,11.637931034482758,54.0
63,1.0,5.0,144.0,0.85,57360.0,75200.0,281.0,752.0,76.27659574468085,9.441489361702128,71.0
64,1.0,5.0,144.0,0.9,45840.0,61300.0,281.0,613.0,74.77977161500816,9.29853181076672,57.0
65,1.0,5.0,144.0,0.92,40520.0,53200.0,281.0,532.0,76.1654135338346,9.210526315789473,49.0
66,1.0,5.0,146.0,0.85,68490.0,77000.0,281.0,770.0,88.94805194805194,10.38961038961039,80.0
67,1.0,5.0,146.0,0.9,52820.0,60000.0,281.0,600.0,88.03333333333333,10.5,63.0
