,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,2.0,8.0,190.0,0.85,8940.0,21600.0,59419.0,216.0,41.388888888888886,5.555555555555555,12.0
1,4.0,5.0,174.0,0.92,14710.0,17100.0,59419.0,171.0,86.0233918128655,7.602339181286549,13.0
2,6.0,5.0,118.0,0.9,32380.0,38600.0,59419.0,386.0,83.8860103626943,6.7357512953367875,26.0
3,8.0,8.0,160.0,0.9,25080.0,23500.0,59419.0,235.0,106.72340425531914,7.234042553191489,17.0
4,9.0,8.0,240.0,0.85,19610.0,10600.0,59419.0,106.0,185.0,11.320754716981133,12.0
5,11.0,8.0,200.0,0.9,21230.0,14800.0,59419.0,148.0,143.44594594594597,6.756756756756757,10.0
6,12.0,5.0,222.0,0.92,16840.0,10700.0,59419.0,107.0,157.38317757009347,8.411214953271028,9.0
7,13.0,8.0,154.0,0.92,8300.0,19400.0,59419.0,194.0,42.78350515463917,3.608247422680412,7.0
8,14.0,5.0,192.0,0.85,17160.0,23500.0,59419.0,235.0,73.02127659574468,4.680851063829787,11.0
9,17.0,8.0,264.0,0.9,10250.0,10200.0,59419.0,102.0,100.49019607843137,6.862745098039216,7.0
10,21.0,5.0,246.0,0.9,7090.0,14200.0,59419.0,142.0,49.929577464788736,3.5211267605633805,5.0
11,24.0,5.0,202.0,0.92,8390.0,17000.0,59419.0,170.0,49.35294117647059,4.117647058823529,7.0
