,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,2.0,8.0,190.0,0.85,55450.0,41600.0,231.0,416.0,133.29326923076923,11.538461538461538,48.0
1,4.0,5.0,174.0,0.92,46930.0,37900.0,112.0,379.0,123.82585751978891,8.179419525065963,31.0
2,6.0,5.0,118.0,0.9,91420.0,72600.0,189.0,726.0,125.9228650137741,11.019283746556475,80.0
3,8.0,8.0,160.0,0.9,62650.0,47900.0,99.0,479.0,130.79331941544885,7.515657620041753,36.0
4,9.0,8.0,240.0,0.85,37500.0,21900.0,181.0,219.0,171.23287671232876,15.068493150684931,33.0
5,11.0,8.0,200.0,0.9,40770.0,29500.0,92.0,295.0,138.20338983050848,7.118644067796611,21.0
6,12.0,5.0,222.0,0.92,30590.0,22900.0,96.0,229.0,133.58078602620088,8.73362445414847,20.0
7,13.0,8.0,154.0,0.92,66010.0,42700.0,76.0,427.0,154.59016393442624,5.620608899297424,24.0
8,14.0,5.0,192.0,0.85,86850.0,54100.0,78.0,541.0,160.53604436229205,6.284658040665435,34.0
9,17.0,8.0,264.0,0.9,35400.0,22100.0,56.0,221.0,160.18099547511312,6.787330316742081,15.0
10,21.0,5.0,246.0,0.9,55720.0,28000.0,78.0,280.0,199.0,9.285714285714286,26.0
11,24.0,5.0,202.0,0.92,69890.0,32600.0,57.0,326.0,214.38650306748465,6.134969325153374,20.0
