,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
864,2.0,8.0,174.0,0.85,46850.0,39600.0,231.0,396.0,118.30808080808082,10.353535353535351,41.0,36.0
888,2.0,8.0,190.0,0.85,55450.0,41600.0,231.0,416.0,133.29326923076923,11.538461538461538,48.0,44.0
930,2.0,8.0,218.0,0.85,41900.0,35700.0,231.0,357.0,117.3669467787115,12.605042016806722,45.0,58.0
939,2.0,8.0,224.0,0.85,40960.0,34100.0,231.0,341.0,120.11730205278592,13.78299120234604,47.0,61.0
945,2.0,8.0,228.0,0.85,35530.0,27000.0,231.0,270.0,131.59259259259258,13.333333333333334,36.0,63.0
871,2.0,8.0,178.0,0.9,45130.0,34400.0,231.0,344.0,131.1918604651163,11.918604651162791,41.0,38.0
907,2.0,8.0,202.0,0.9,32390.0,25700.0,231.0,257.0,126.03112840466926,14.785992217898832,38.0,50.0
872,2.0,8.0,178.0,0.92,38410.0,28400.0,231.0,284.0,135.24647887323945,12.676056338028168,36.0,38.0
1621,4.0,5.0,174.0,0.9,48920.0,42100.0,112.0,421.0,116.19952494061758,7.600950118764846,32.0,36.0
1750,4.0,5.0,260.0,0.9,27750.0,21500.0,112.0,215.0,129.06976744186048,9.30232558139535,20.0,79.0
1622,4.0,5.0,174.0,0.92,46930.0,37900.0,112.0,379.0,123.82585751978893,8.179419525065963,31.0,36.0
1658,4.0,5.0,198.0,0.92,42840.0,36300.0,112.0,363.0,118.01652892561984,6.887052341597796,25.0,48.0
1894,4.0,8.0,188.0,0.9,45960.0,37600.0,112.0,376.0,122.23404255319149,7.978723404255319,30.0,43.0
2542,6.0,5.0,116.0,0.9,83530.0,72100.0,189.0,721.0,115.85298196948683,9.986130374479888,72.0,7.0
2545,6.0,5.0,118.0,0.9,91420.0,72600.0,189.0,726.0,125.9228650137741,11.019283746556477,80.0,8.0
2540,6.0,5.0,114.0,0.92,72400.0,62500.0,189.0,625.0,115.84,11.04,69.0,6.0
2546,6.0,5.0,118.0,0.92,77430.0,65600.0,189.0,656.0,118.03353658536588,11.128048780487806,73.0,8.0
2790,6.0,8.0,114.0,0.85,102330.0,85700.0,189.0,857.0,119.4049008168028,9.918319719953326,85.0,6.0
2868,6.0,8.0,166.0,0.85,52050.0,45200.0,189.0,452.0,115.15486725663716,9.95575221238938,45.0,32.0
2871,6.0,8.0,168.0,0.85,56420.0,47600.0,189.0,476.0,118.52941176470588,10.92436974789916,52.0,33.0
2913,6.0,8.0,196.0,0.85,38520.0,33400.0,189.0,334.0,115.32934131736528,11.676646706586826,39.0,47.0
2916,6.0,8.0,198.0,0.85,41660.0,35200.0,189.0,352.0,118.35227272727272,11.931818181818182,42.0,48.0
2958,6.0,8.0,226.0,0.85,40080.0,32300.0,189.0,323.0,124.08668730650156,11.145510835913312,36.0,62.0
2967,6.0,8.0,232.0,0.85,35500.0,26500.0,189.0,265.0,133.96226415094338,12.452830188679243,33.0,65.0
2970,6.0,8.0,234.0,0.85,33360.0,26400.0,189.0,264.0,126.36363636363636,12.12121212121212,32.0,66.0
2788,6.0,8.0,112.0,0.9,96760.0,77900.0,189.0,779.0,124.21052631578948,10.141206675224646,79.0,5.0
2791,6.0,8.0,114.0,0.9,78670.0,67200.0,189.0,672.0,117.06845238095238,10.11904761904762,68.0,6.0
2794,6.0,8.0,116.0,0.9,80250.0,64200.0,189.0,642.0,125.0,10.2803738317757,66.0,7.0
2869,6.0,8.0,166.0,0.9,47980.0,35900.0,189.0,359.0,133.64902506963787,10.86350974930362,39.0,32.0
2914,6.0,8.0,196.0,0.9,32140.0,25000.0,189.0,250.0,128.56,12.4,31.0,47.0
2917,6.0,8.0,198.0,0.9,35550.0,26400.0,189.0,264.0,134.6590909090909,13.636363636363637,36.0,48.0
2789,6.0,8.0,112.0,0.92,87500.0,69700.0,189.0,697.0,125.5380200860832,10.043041606886655,70.0,5.0
2792,6.0,8.0,114.0,0.92,72040.0,59400.0,189.0,594.0,121.27946127946127,10.437710437710438,62.0,6.0
2867,6.0,8.0,164.0,0.92,44160.0,34400.0,189.0,344.0,128.3720930232558,11.33720930232558,39.0,31.0
2870,6.0,8.0,166.0,0.92,37390.0,30100.0,189.0,301.0,124.21926910299004,10.6312292358804,32.0,32.0
3744,8.0,5.0,246.0,0.85,42900.0,34000.0,99.0,340.0,126.17647058823528,7.941176470588235,27.0,72.0
3619,8.0,5.0,162.0,0.9,52750.0,45800.0,99.0,458.0,115.17467248908298,6.331877729257641,29.0,30.0
3631,8.0,5.0,170.0,0.9,55910.0,45100.0,99.0,451.0,123.9689578713969,7.760532150776053,35.0,34.0
3620,8.0,5.0,162.0,0.92,47080.0,40800.0,99.0,408.0,115.39215686274508,5.88235294117647,24.0,30.0
3868,8.0,8.0,160.0,0.9,62650.0,47900.0,99.0,479.0,130.79331941544885,7.515657620041753,36.0,29.0
3940,8.0,8.0,208.0,0.9,32290.0,27500.0,99.0,275.0,117.41818181818182,8.727272727272728,24.0,53.0
4065,9.0,5.0,124.0,0.85,80940.0,70200.0,181.0,702.0,115.2991452991453,8.974358974358974,63.0,11.0
4077,9.0,5.0,132.0,0.85,65220.0,55600.0,181.0,556.0,117.30215827338128,10.79136690647482,60.0,15.0
4080,9.0,5.0,134.0,0.85,67760.0,55200.0,181.0,552.0,122.7536231884058,11.05072463768116,61.0,16.0
4113,9.0,5.0,156.0,0.85,58800.0,48600.0,181.0,486.0,120.98765432098766,10.2880658436214,50.0,27.0
4119,9.0,5.0,160.0,0.85,54480.0,44300.0,181.0,443.0,122.97968397291196,9.706546275395034,43.0,29.0
4131,9.0,5.0,168.0,0.85,65050.0,51900.0,181.0,519.0,125.33718689788054,9.826589595375722,51.0,33.0
4134,9.0,5.0,170.0,0.85,50530.0,41700.0,181.0,417.0,121.17505995203835,9.59232613908873,40.0,34.0
4143,9.0,5.0,176.0,0.85,52810.0,44600.0,181.0,446.0,118.40807174887892,8.968609865470851,40.0,37.0
4146,9.0,5.0,178.0,0.85,64100.0,42600.0,181.0,426.0,150.46948356807513,11.502347417840376,49.0,38.0
4155,9.0,5.0,184.0,0.85,46400.0,37400.0,181.0,374.0,124.06417112299468,9.62566844919786,36.0,41.0
4173,9.0,5.0,196.0,0.85,46640.0,39300.0,181.0,393.0,118.676844783715,10.178117048346056,40.0,47.0
4176,9.0,5.0,198.0,0.85,39590.0,32900.0,181.0,329.0,120.33434650455928,10.94224924012158,36.0,48.0
4179,9.0,5.0,200.0,0.85,44650.0,37800.0,181.0,378.0,118.12169312169311,10.317460317460316,39.0,49.0
4185,9.0,5.0,204.0,0.85,42160.0,35000.0,181.0,350.0,120.45714285714286,9.714285714285714,34.0,51.0
4194,9.0,5.0,210.0,0.85,33700.0,27500.0,181.0,275.0,122.54545454545452,10.545454545454543,29.0,54.0
4218,9.0,5.0,226.0,0.85,31500.0,26500.0,181.0,265.0,118.86792452830188,11.320754716981131,30.0,62.0
4236,9.0,5.0,238.0,0.85,31490.0,24200.0,181.0,242.0,130.12396694214877,12.396694214876034,30.0,68.0
4239,9.0,5.0,240.0,0.85,30800.0,25200.0,181.0,252.0,122.22222222222224,11.904761904761903,30.0,69.0
4075,9.0,5.0,130.0,0.9,56180.0,48000.0,181.0,480.0,117.04166666666669,10.625,51.0,14.0
4078,9.0,5.0,132.0,0.9,56910.0,46200.0,181.0,462.0,123.1818181818182,11.03896103896104,51.0,15.0
4081,9.0,5.0,134.0,0.9,57630.0,44800.0,181.0,448.0,128.63839285714283,11.607142857142858,52.0,16.0
4084,9.0,5.0,136.0,0.9,53130.0,41800.0,181.0,418.0,127.10526315789474,11.722488038277511,49.0,17.0
4114,9.0,5.0,156.0,0.9,45840.0,36700.0,181.0,367.0,124.90463215258856,11.444141689373296,42.0,27.0
4120,9.0,5.0,160.0,0.9,48010.0,34500.0,181.0,345.0,139.15942028985506,11.014492753623188,38.0,29.0
4132,9.0,5.0,168.0,0.9,52030.0,38500.0,181.0,385.0,135.14285714285714,10.38961038961039,40.0,33.0
4135,9.0,5.0,170.0,0.9,42710.0,32300.0,181.0,323.0,132.22910216718267,10.526315789473683,34.0,34.0
4147,9.0,5.0,178.0,0.9,40620.0,31800.0,181.0,318.0,127.73584905660378,10.69182389937107,34.0,38.0
4150,9.0,5.0,180.0,0.9,40330.0,31300.0,181.0,313.0,128.84984025559106,9.904153354632587,31.0,39.0
4162,9.0,5.0,188.0,0.9,38240.0,31600.0,181.0,316.0,121.0126582278481,11.075949367088606,35.0,43.0
4183,9.0,5.0,202.0,0.9,27320.0,22200.0,181.0,222.0,123.06306306306308,13.513513513513514,30.0,50.0
4186,9.0,5.0,204.0,0.9,32910.0,26400.0,181.0,264.0,124.6590909090909,11.363636363636363,30.0,51.0
4076,9.0,5.0,130.0,0.92,52550.0,43100.0,181.0,431.0,121.92575406032482,10.672853828306264,46.0,14.0
4079,9.0,5.0,132.0,0.92,51880.0,40500.0,181.0,405.0,128.09876543209876,11.358024691358024,46.0,15.0
4082,9.0,5.0,134.0,0.92,51960.0,40300.0,181.0,403.0,128.93300248138956,11.662531017369728,47.0,16.0
4085,9.0,5.0,136.0,0.92,49930.0,36600.0,181.0,366.0,136.4207650273224,12.295081967213116,45.0,17.0
