,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
1,2.0,8.0,190.0,0.85,55450.0,41600.0,231.0,416.0,133.29326923076923,11.538461538461538,48.0,1.462614271203831,0.9886738449576505,2.4512881161614817,44.0
10,4.0,5.0,174.0,0.92,46930.0,37900.0,112.0,379.0,123.82585751978893,8.179419525065963,31.0,0.7557421816064577,0.4315386366816469,1.1872808182881045,36.0
14,6.0,5.0,118.0,0.9,91420.0,72600.0,189.0,726.0,125.9228650137741,11.019283746556477,80.0,1.4454001065935356,0.45823142898855446,1.90363153558209,8.0
39,8.0,8.0,160.0,0.9,62650.0,47900.0,99.0,479.0,130.79331941544885,7.515657620041753,36.0,1.420565803784236,1.5793859700466752,2.999951773830911,29.0
97,9.0,8.0,240.0,0.85,37500.0,21900.0,181.0,219.0,171.23287671232876,15.068493150684931,33.0,-0.787576842259757,4.15809412033792,3.370517278078163,69.0
125,11.0,8.0,200.0,0.9,40770.0,29500.0,92.0,295.0,138.20338983050848,7.118644067796611,21.0,0.7782896421160245,2.22494560930593,3.0032352514219545,49.0
132,12.0,5.0,222.0,0.92,30590.0,22900.0,96.0,229.0,133.58078602620088,8.73362445414847,20.0,0.4629100498862757,1.8424693648647608,2.3053794147510365,60.0
170,13.0,8.0,154.0,0.92,66010.0,42700.0,76.0,427.0,154.59016393442624,5.620608899297424,24.0,0.29745869527157914,2.269806498369905,2.567265193641484,26.0
179,14.0,5.0,192.0,0.85,86850.0,54100.0,78.0,541.0,160.53604436229205,6.284658040665435,34.0,3.0642959433398995,1.268215591948053,4.332511535287953,45.0
354,17.0,8.0,264.0,0.9,35400.0,22100.0,56.0,221.0,160.18099547511312,6.787330316742081,15.0,2.5526373512131553,0.7873687488445932,3.3400061000577486,81.0
417,21.0,5.0,246.0,0.9,55720.0,28000.0,78.0,280.0,199.0,9.285714285714286,26.0,0.5526553211243056,3.5622275784340065,4.114882899558312,72.0
633,24.0,5.0,202.0,0.92,69890.0,32600.0,57.0,326.0,214.38650306748465,6.134969325153374,20.0,2.5265516444801763,2.6231307816097855,5.149682426089962,50.0
