,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,120770.0,126900.0,317.0,1269.0,95.16942474389283,10.401891252955082,132.0
1,1.0,5.0,102.0,0.9,111660.0,115800.0,317.0,1158.0,96.42487046632124,10.79447322970639,125.0
2,1.0,5.0,102.0,0.92,97280.0,109700.0,317.0,1097.0,88.67821330902461,10.5742935278031,116.0
3,1.0,5.0,104.0,0.85,109690.0,122200.0,317.0,1222.0,89.76268412438625,10.638297872340425,130.0
4,1.0,5.0,104.0,0.9,103270.0,110300.0,317.0,1103.0,93.62647325475974,11.15140525838622,123.0
5,1.0,5.0,104.0,0.92,97550.0,105900.0,317.0,1059.0,92.1152030217186,11.048158640226628,117.0
6,1.0,5.0,106.0,0.85,101060.0,114600.0,317.0,1146.0,88.1849912739965,9.773123909249563,112.0
7,1.0,5.0,106.0,0.9,96700.0,102900.0,317.0,1029.0,93.97473275024295,10.398445092322643,107.0
8,1.0,5.0,106.0,0.92,94030.0,98500.0,317.0,985.0,95.46192893401016,10.456852791878173,103.0
9,1.0,5.0,108.0,0.85,135300.0,126200.0,317.0,1262.0,107.2107765451664,11.727416798732172,148.0
10,1.0,5.0,108.0,0.9,123310.0,114700.0,317.0,1147.0,107.50653879686138,11.769834350479512,135.0
11,1.0,5.0,108.0,0.92,111460.0,110100.0,317.0,1101.0,101.23524069028156,11.353315168029065,125.0
12,1.0,5.0,110.0,0.85,110100.0,113100.0,317.0,1131.0,97.34748010610079,10.256410256410255,116.0
13,1.0,5.0,110.0,0.9,100230.0,99900.0,317.0,999.0,100.33033033033033,10.61061061061061,106.0
14,1.0,5.0,110.0,0.92,96970.0,94200.0,317.0,942.0,102.94055201698514,10.721868365180468,101.0
15,1.0,5.0,112.0,0.85,93300.0,121400.0,317.0,1214.0,76.85337726523888,10.131795716639209,123.0
16,1.0,5.0,112.0,0.9,83010.0,109800.0,317.0,1098.0,75.60109289617486,10.018214936247723,110.0
17,1.0,5.0,112.0,0.92,79080.0,102200.0,317.0,1022.0,77.37769080234833,10.078277886497064,103.0
18,1.0,5.0,114.0,0.85,91180.0,105300.0,317.0,1053.0,86.59069325735992,10.0664767331434,106.0
19,1.0,5.0,114.0,0.9,77000.0,94900.0,317.0,949.0,81.13804004214963,10.010537407797681,95.0
20,1.0,5.0,114.0,0.92,73910.0,89100.0,317.0,891.0,82.95173961840628,10.21324354657688,91.0
21,1.0,5.0,116.0,0.85,132630.0,135300.0,317.0,1353.0,98.02660753880265,10.42128603104213,141.0
22,1.0,5.0,116.0,0.9,125140.0,123500.0,317.0,1235.0,101.32793522267207,10.688259109311742,132.0
23,1.0,5.0,116.0,0.92,123030.0,118000.0,317.0,1180.0,104.26271186440678,10.932203389830509,129.0
24,1.0,5.0,118.0,0.85,108190.0,107800.0,317.0,1078.0,100.36178107606679,11.317254174397032,122.0
25,1.0,5.0,118.0,0.9,99590.0,95100.0,317.0,951.0,104.72134595162987,11.77707676130389,112.0
26,1.0,5.0,118.0,0.92,95100.0,90400.0,317.0,904.0,105.19911504424779,11.725663716814159,106.0
27,1.0,5.0,120.0,0.85,85390.0,104800.0,317.0,1048.0,81.47900763358778,10.305343511450381,108.0
28,1.0,5.0,120.0,0.9,78520.0,94500.0,317.0,945.0,83.08994708994709,10.37037037037037,98.0
29,1.0,5.0,120.0,0.92,69460.0,89700.0,317.0,897.0,77.43589743589745,9.92196209587514,89.0
30,1.0,5.0,122.0,0.85,111930.0,114800.0,317.0,1148.0,97.5,11.498257839721255,132.0
31,1.0,5.0,122.0,0.9,102190.0,102600.0,317.0,1026.0,99.60038986354776,11.988304093567251,123.0
32,1.0,5.0,122.0,0.92,93600.0,96700.0,317.0,967.0,96.794208893485,12.099276111685626,117.0
33,1.0,5.0,124.0,0.85,93710.0,108400.0,317.0,1084.0,86.44833948339483,10.239852398523986,111.0
34,1.0,5.0,124.0,0.9,86630.0,97600.0,317.0,976.0,88.76024590163935,10.450819672131148,102.0
35,1.0,5.0,124.0,0.92,81110.0,92500.0,317.0,925.0,87.68648648648649,10.054054054054054,93.0
36,1.0,5.0,126.0,0.85,92110.0,104600.0,317.0,1046.0,88.05927342256214,10.038240917782026,105.0
37,1.0,5.0,126.0,0.9,85330.0,93600.0,317.0,936.0,91.16452991452991,10.363247863247864,97.0
38,1.0,5.0,126.0,0.92,81870.0,86900.0,317.0,869.0,94.21173762945915,10.701956271576526,93.0
39,1.0,5.0,128.0,0.85,90340.0,111700.0,317.0,1117.0,80.87735004476275,10.026857654431513,112.0
40,1.0,5.0,128.0,0.9,82590.0,99800.0,317.0,998.0,82.75551102204409,10.220440881763528,102.0
41,1.0,5.0,128.0,0.92,78570.0,93800.0,317.0,938.0,83.7633262260128,10.23454157782516,96.0
42,1.0,5.0,130.0,0.85,89560.0,105200.0,317.0,1052.0,85.13307984790875,9.980988593155894,105.0
43,1.0,5.0,130.0,0.9,88370.0,95500.0,317.0,955.0,92.53403141361257,10.785340314136125,103.0
44,1.0,5.0,130.0,0.92,82930.0,89700.0,317.0,897.0,92.45261984392418,10.813823857302118,97.0
45,1.0,5.0,132.0,0.85,109910.0,104600.0,317.0,1046.0,105.07648183556407,11.47227533460803,120.0
46,1.0,5.0,132.0,0.9,96990.0,94200.0,317.0,942.0,102.96178343949045,11.571125265392782,109.0
47,1.0,5.0,132.0,0.92,95110.0,88800.0,317.0,888.0,107.10585585585586,11.936936936936938,106.0
48,1.0,5.0,134.0,0.85,78300.0,98200.0,317.0,982.0,79.73523421588594,9.877800407331975,97.0
49,1.0,5.0,134.0,0.9,64340.0,89200.0,317.0,892.0,72.13004484304932,9.417040358744394,84.0
50,1.0,5.0,134.0,0.92,61910.0,85500.0,317.0,855.0,72.4093567251462,9.473684210526317,81.0
51,1.0,5.0,136.0,0.85,85390.0,90400.0,317.0,904.0,94.45796460176992,11.172566371681416,101.0
52,1.0,5.0,136.0,0.9,76680.0,81600.0,317.0,816.0,93.97058823529412,11.519607843137255,94.0
53,1.0,5.0,136.0,0.92,71610.0,77300.0,317.0,773.0,92.63906856403622,11.384217335058215,88.0
54,1.0,5.0,138.0,0.85,99970.0,100900.0,317.0,1009.0,99.0782953419227,11.59563924677899,117.0
55,1.0,5.0,138.0,0.9,87250.0,90700.0,317.0,907.0,96.19625137816979,11.466372657111357,104.0
56,1.0,5.0,138.0,0.92,80680.0,84800.0,317.0,848.0,95.14150943396227,11.43867924528302,97.0
57,1.0,5.0,140.0,0.85,77460.0,90500.0,317.0,905.0,85.59116022099448,10.497237569060774,95.0
58,1.0,5.0,140.0,0.9,72360.0,81200.0,317.0,812.0,89.11330049261083,10.83743842364532,88.0
59,1.0,5.0,140.0,0.92,67570.0,75800.0,317.0,758.0,89.1424802110818,10.817941952506596,82.0
60,1.0,5.0,142.0,0.85,94090.0,97900.0,317.0,979.0,96.10827374872318,11.133810010214505,109.0
61,1.0,5.0,142.0,0.9,79820.0,86700.0,317.0,867.0,92.06459054209918,11.072664359861593,96.0
62,1.0,5.0,142.0,0.92,75070.0,80800.0,317.0,808.0,92.90841584158416,11.262376237623762,91.0
63,1.0,5.0,144.0,0.85,84150.0,96700.0,317.0,967.0,87.02171664943124,10.858324715615305,105.0
64,1.0,5.0,144.0,0.9,77530.0,87300.0,317.0,873.0,88.80870561282931,11.225658648339062,98.0
65,1.0,5.0,144.0,0.92,75140.0,83500.0,317.0,835.0,89.9880239520958,11.25748502994012,94.0
66,1.0,5.0,146.0,0.85,86770.0,89900.0,317.0,899.0,96.51835372636263,11.7908787541713,106.0
67,1.0,5.0,146.0,0.9,76510.0,79400.0,317.0,794.0,96.360201511335,12.21662468513854,97.0
68,1.0,5.0,146.0,0.92,75530.0,75400.0,317.0,754.0,100.17241379310344,12.599469496021221,95.0
