,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,114.0,0.9,30040.0,29700.0,55541.0,297.0,101.14478114478113,13.131313131313133,39.0
1,3.0,8.0,254.0,0.9,5500.0,5700.0,55541.0,57.0,96.49122807017544,10.526315789473683,6.0
2,4.0,5.0,210.0,0.9,11980.0,16000.0,55541.0,160.0,74.875,7.5,12.0
3,5.0,5.0,156.0,0.85,18230.0,33200.0,55541.0,332.0,54.90963855421687,7.228915662650602,24.0
4,8.0,5.0,218.0,0.85,8600.0,17200.0,55541.0,172.0,50.0,5.813953488372093,10.0
5,10.0,8.0,148.0,0.9,18240.0,24000.0,55541.0,240.0,76.0,7.083333333333333,17.0
6,11.0,8.0,122.0,0.9,19600.0,28200.0,55541.0,282.0,69.50354609929079,7.092198581560284,20.0
7,13.0,5.0,230.0,0.92,11880.0,12800.0,55541.0,128.0,92.8125,9.375,12.0
8,14.0,5.0,148.0,0.85,30470.0,39500.0,55541.0,395.0,77.13924050632912,7.59493670886076,30.0
9,22.0,5.0,258.0,0.85,3540.0,12500.0,55541.0,125.0,28.32,4.0,5.0
