,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
445,1.0,8.0,230.0,0.9,57470.0,46300.0,317.0,463.0,124.12526997840172,15.766738660907128,73.0,64.0
1134,3.0,5.0,186.0,0.85,96010.0,83100.0,196.0,831.0,115.5354993983153,8.78459687123947,73.0,42.0
1170,3.0,5.0,210.0,0.85,85380.0,69200.0,196.0,692.0,123.3815028901734,8.236994219653178,57.0,54.0
1212,3.0,5.0,238.0,0.85,66390.0,53700.0,196.0,537.0,123.63128491620112,9.869646182495345,53.0,68.0
1227,3.0,5.0,248.0,0.85,75140.0,58300.0,196.0,583.0,128.88507718696397,10.97770154373928,64.0,73.0
1135,3.0,5.0,186.0,0.9,89550.0,74400.0,196.0,744.0,120.36290322580643,9.274193548387096,69.0,42.0
1171,3.0,5.0,210.0,0.9,79700.0,60700.0,196.0,607.0,131.30148270181218,8.896210873146623,54.0,54.0
1174,3.0,5.0,212.0,0.9,83620.0,68900.0,196.0,689.0,121.36429608127722,10.014513788098691,69.0,55.0
1204,3.0,5.0,232.0,0.9,69180.0,58400.0,196.0,584.0,118.45890410958904,9.931506849315069,58.0,65.0
1213,3.0,5.0,238.0,0.9,55850.0,46200.0,196.0,462.0,120.88744588744588,9.523809523809524,44.0,68.0
1216,3.0,5.0,240.0,0.9,62600.0,53900.0,196.0,539.0,116.14100185528756,9.461966604823749,51.0,69.0
1228,3.0,5.0,248.0,0.9,65620.0,50700.0,196.0,507.0,129.42800788954636,11.439842209072978,58.0,73.0
1234,3.0,5.0,252.0,0.9,51350.0,44300.0,196.0,443.0,115.9142212189616,9.932279909706546,44.0,75.0
1172,3.0,5.0,210.0,0.92,74100.0,55100.0,196.0,551.0,134.48275862068965,8.892921960072595,49.0,54.0
1175,3.0,5.0,212.0,0.92,73640.0,64000.0,196.0,640.0,115.0625,10.0,64.0,55.0
1214,3.0,5.0,238.0,0.92,54030.0,42400.0,196.0,424.0,127.42924528301889,10.141509433962264,43.0,68.0
1229,3.0,5.0,248.0,0.92,59390.0,47400.0,196.0,474.0,125.29535864978902,11.181434599156118,53.0,73.0
1235,3.0,5.0,252.0,0.92,48690.0,40400.0,196.0,404.0,120.51980198019804,10.396039603960396,42.0,75.0
1244,3.0,5.0,258.0,0.92,48550.0,41900.0,196.0,419.0,115.87112171837708,9.069212410501192,38.0,78.0
1437,3.0,8.0,220.0,0.85,71350.0,59100.0,196.0,591.0,120.72758037225042,10.65989847715736,63.0,59.0
1443,3.0,8.0,224.0,0.85,77220.0,59300.0,196.0,593.0,130.21922428330524,10.286677908937603,61.0,61.0
1446,3.0,8.0,226.0,0.85,62060.0,51600.0,196.0,516.0,120.27131782945736,8.914728682170542,46.0,62.0
1455,3.0,8.0,232.0,0.85,76500.0,66500.0,196.0,665.0,115.0375939849624,9.774436090225564,65.0,65.0
1482,3.0,8.0,250.0,0.85,66700.0,53700.0,196.0,537.0,124.20856610800746,10.42830540037244,56.0,74.0
1485,3.0,8.0,252.0,0.85,57490.0,48600.0,196.0,486.0,118.29218106995884,9.876543209876544,48.0,75.0
1488,3.0,8.0,254.0,0.85,57030.0,45600.0,196.0,456.0,125.0657894736842,10.087719298245611,46.0,76.0
1497,3.0,8.0,260.0,0.85,60700.0,48800.0,196.0,488.0,124.38524590163937,10.860655737704915,53.0,79.0
1503,3.0,8.0,264.0,0.85,64180.0,48100.0,196.0,481.0,133.43035343035342,11.226611226611228,54.0,81.0
1411,3.0,8.0,202.0,0.9,71080.0,59900.0,196.0,599.0,118.6644407345576,9.68280467445743,58.0,50.0
1414,3.0,8.0,204.0,0.9,76050.0,61900.0,196.0,619.0,122.859450726979,9.531502423263328,59.0,51.0
1444,3.0,8.0,224.0,0.9,63010.0,50700.0,196.0,507.0,124.2800788954635,9.861932938856016,50.0,61.0
1447,3.0,8.0,226.0,0.9,55960.0,45700.0,196.0,457.0,122.4507658643326,8.971553610503284,41.0,62.0
1450,3.0,8.0,228.0,0.9,58690.0,50000.0,196.0,500.0,117.38,11.4,57.0,63.0
1465,3.0,8.0,238.0,0.9,53970.0,46600.0,196.0,466.0,115.81545064377684,9.012875536480689,42.0,68.0
1483,3.0,8.0,250.0,0.9,63620.0,46900.0,196.0,469.0,135.6503198294243,11.300639658848617,53.0,74.0
1489,3.0,8.0,254.0,0.9,48350.0,39800.0,196.0,398.0,121.4824120603015,10.301507537688442,41.0,76.0
1498,3.0,8.0,260.0,0.9,56660.0,41500.0,196.0,415.0,136.53012048192772,11.80722891566265,49.0,79.0
1501,3.0,8.0,262.0,0.9,53320.0,40100.0,196.0,401.0,132.96758104738154,12.219451371571072,49.0,80.0
1504,3.0,8.0,264.0,0.9,55650.0,41700.0,196.0,417.0,133.45323741007192,10.79136690647482,45.0,81.0
1376,3.0,8.0,178.0,0.92,75310.0,64300.0,196.0,643.0,117.12286158631416,9.48678071539658,61.0,38.0
1412,3.0,8.0,202.0,0.92,64540.0,54700.0,196.0,547.0,117.9890310786106,10.420475319926874,57.0,50.0
