,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,103900.0,117500.0,298.0,1175.0,88.42553191489361,9.53191489361702,112.0
1,1.0,5.0,102.0,0.9,79830.0,97800.0,298.0,978.0,81.62576687116564,9.611451942740286,94.0
2,1.0,5.0,102.0,0.92,72890.0,90000.0,298.0,900.0,80.9888888888889,9.333333333333334,84.0
3,1.0,5.0,104.0,0.85,113020.0,112200.0,298.0,1122.0,100.73083778966132,10.51693404634581,118.0
4,1.0,5.0,104.0,0.9,95860.0,96400.0,298.0,964.0,99.43983402489627,10.58091286307054,102.0
5,1.0,5.0,104.0,0.92,86810.0,87500.0,298.0,875.0,99.21142857142857,10.857142857142858,95.0
6,1.0,5.0,106.0,0.85,108530.0,117800.0,298.0,1178.0,92.13073005093378,9.932088285229202,117.0
7,1.0,5.0,106.0,0.9,93570.0,102200.0,298.0,1022.0,91.55577299412916,10.371819960861057,106.0
8,1.0,5.0,106.0,0.92,87770.0,92900.0,298.0,929.0,94.47793326157158,10.76426264800861,100.0
9,1.0,5.0,108.0,0.85,98390.0,105400.0,298.0,1054.0,93.34914611005692,10.910815939278939,115.0
10,1.0,5.0,108.0,0.9,79310.0,90100.0,298.0,901.0,88.02441731409544,10.876803551609324,98.0
11,1.0,5.0,108.0,0.92,74060.0,83200.0,298.0,832.0,89.01442307692308,11.298076923076923,94.0
12,1.0,5.0,110.0,0.85,103270.0,104900.0,298.0,1049.0,98.44613918017158,10.676835081029552,112.0
13,1.0,5.0,110.0,0.9,72760.0,86800.0,298.0,868.0,83.82488479262673,9.90783410138249,86.0
14,1.0,5.0,110.0,0.92,67030.0,77900.0,298.0,779.0,86.0462130937099,10.397946084724005,81.0
15,1.0,5.0,112.0,0.85,98340.0,105000.0,298.0,1050.0,93.65714285714286,10.666666666666668,112.0
16,1.0,5.0,112.0,0.9,83390.0,89500.0,298.0,895.0,93.1731843575419,10.502793296089386,94.0
17,1.0,5.0,112.0,0.92,75230.0,81800.0,298.0,818.0,91.96821515892421,10.146699266503667,83.0
18,1.0,5.0,114.0,0.85,89700.0,106200.0,298.0,1062.0,84.4632768361582,10.16949152542373,108.0
19,1.0,5.0,114.0,0.9,77330.0,87600.0,298.0,876.0,88.27625570776256,11.073059360730593,97.0
20,1.0,5.0,114.0,0.92,72130.0,79300.0,298.0,793.0,90.95838587641867,11.475409836065573,91.0
21,1.0,5.0,116.0,0.85,90480.0,103500.0,298.0,1035.0,87.42028985507247,9.66183574879227,100.0
22,1.0,5.0,116.0,0.9,70330.0,85700.0,298.0,857.0,82.06534422403735,9.218203033838973,79.0
23,1.0,5.0,116.0,0.92,61900.0,77400.0,298.0,774.0,79.97416020671835,9.30232558139535,72.0
24,1.0,5.0,118.0,0.85,79060.0,94700.0,298.0,947.0,83.48468848996832,9.926082365364309,94.0
25,1.0,5.0,118.0,0.9,68810.0,80200.0,298.0,802.0,85.79800498753117,10.349127182044887,83.0
26,1.0,5.0,118.0,0.92,59570.0,71600.0,298.0,716.0,83.19832402234637,10.335195530726256,74.0
27,1.0,5.0,120.0,0.85,109610.0,101800.0,298.0,1018.0,107.67190569744598,11.394891944990176,116.0
28,1.0,5.0,120.0,0.9,85610.0,84900.0,298.0,849.0,100.83627797408717,11.189634864546525,95.0
29,1.0,5.0,120.0,0.92,75040.0,77500.0,298.0,775.0,96.8258064516129,10.967741935483872,85.0
30,1.0,5.0,122.0,0.85,87510.0,95000.0,298.0,950.0,92.1157894736842,10.526315789473683,100.0
31,1.0,5.0,122.0,0.9,69980.0,78800.0,298.0,788.0,88.80710659898477,10.532994923857867,83.0
32,1.0,5.0,122.0,0.92,61420.0,70900.0,298.0,709.0,86.62905500705219,10.578279266572638,75.0
33,1.0,5.0,124.0,0.85,85800.0,96300.0,298.0,963.0,89.09657320872275,10.384215991692628,100.0
34,1.0,5.0,124.0,0.9,76460.0,82000.0,298.0,820.0,93.2439024390244,10.853658536585366,89.0
35,1.0,5.0,124.0,0.92,66980.0,75200.0,298.0,752.0,89.06914893617022,10.77127659574468,81.0
36,1.0,5.0,126.0,0.85,89060.0,91700.0,298.0,917.0,97.12104689203926,10.687022900763358,98.0
37,1.0,5.0,126.0,0.9,75430.0,77100.0,298.0,771.0,97.83398184176394,10.894941634241246,84.0
38,1.0,5.0,126.0,0.92,68550.0,71200.0,298.0,712.0,96.27808988764045,10.53370786516854,75.0
39,1.0,5.0,128.0,0.85,77750.0,82300.0,298.0,823.0,94.47144592952613,10.206561360874849,84.0
40,1.0,5.0,128.0,0.9,62970.0,68700.0,298.0,687.0,91.6593886462882,10.189228529839884,70.0
41,1.0,5.0,128.0,0.92,57600.0,62400.0,298.0,624.0,92.3076923076923,10.737179487179487,67.0
42,1.0,5.0,130.0,0.85,89580.0,89300.0,298.0,893.0,100.31354983202687,11.422172452407615,102.0
43,1.0,5.0,130.0,0.9,81060.0,74000.0,298.0,740.0,109.54054054054055,12.297297297297298,91.0
44,1.0,5.0,130.0,0.92,66760.0,67500.0,298.0,675.0,98.9037037037037,11.703703703703704,79.0
45,1.0,5.0,132.0,0.85,79940.0,86500.0,298.0,865.0,92.41618497109828,10.520231213872833,91.0
46,1.0,5.0,132.0,0.9,70810.0,73600.0,298.0,736.0,96.20923913043478,11.005434782608695,81.0
47,1.0,5.0,132.0,0.92,67440.0,67100.0,298.0,671.0,100.50670640834576,11.475409836065573,77.0
48,1.0,5.0,134.0,0.85,73630.0,76200.0,298.0,762.0,96.62729658792651,10.62992125984252,81.0
49,1.0,5.0,134.0,0.9,61840.0,63300.0,298.0,633.0,97.69352290679305,11.058451816745656,70.0
50,1.0,5.0,134.0,0.92,56670.0,56500.0,298.0,565.0,100.30088495575222,11.327433628318584,64.0
51,1.0,5.0,136.0,0.85,83360.0,86500.0,298.0,865.0,96.36994219653178,11.098265895953757,96.0
52,1.0,5.0,136.0,0.9,70300.0,72100.0,298.0,721.0,97.50346740638003,11.095700416088766,80.0
53,1.0,5.0,136.0,0.92,67490.0,65600.0,298.0,656.0,102.8810975609756,11.585365853658537,76.0
54,1.0,5.0,138.0,0.85,76160.0,75800.0,298.0,758.0,100.47493403693932,11.345646437994723,86.0
55,1.0,5.0,138.0,0.9,58330.0,63100.0,298.0,631.0,92.4405705229794,10.45958795562599,66.0
56,1.0,5.0,138.0,0.92,55750.0,57400.0,298.0,574.0,97.12543554006969,10.975609756097562,63.0
57,1.0,5.0,140.0,0.85,84210.0,86800.0,298.0,868.0,97.01612903225806,10.829493087557603,94.0
