,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,186.0,0.9,26210.0,21500.0,64618.0,215.0,121.90697674418604,13.488372093023257,29.0
1,2.0,5.0,140.0,0.85,44830.0,31100.0,64618.0,311.0,144.14790996784566,11.89710610932476,37.0
2,4.0,5.0,202.0,0.92,14860.0,15500.0,64618.0,155.0,95.87096774193549,7.741935483870968,12.0
3,6.0,5.0,240.0,0.92,6600.0,9800.0,64618.0,98.0,67.3469387755102,7.142857142857142,7.0
4,7.0,8.0,238.0,0.92,21610.0,11200.0,64618.0,112.0,192.94642857142856,10.714285714285714,12.0
5,8.0,8.0,176.0,0.85,27020.0,27200.0,64618.0,272.0,99.33823529411765,7.720588235294118,21.0
6,9.0,5.0,252.0,0.92,8460.0,9500.0,64618.0,95.0,89.05263157894737,6.315789473684211,6.0
7,12.0,5.0,248.0,0.92,11250.0,12500.0,64618.0,125.0,90.0,5.6000000000000005,7.0
8,14.0,8.0,254.0,0.9,2530.0,6000.0,64618.0,60.0,42.16666666666667,1.6666666666666667,1.0
9,21.0,5.0,116.0,0.92,40780.0,27700.0,64618.0,277.0,147.2202166064982,9.025270758122744,25.0
10,22.0,8.0,144.0,0.85,36060.0,33300.0,64618.0,333.0,108.2882882882883,9.90990990990991,33.0
11,23.0,5.0,252.0,0.9,8230.0,11200.0,64618.0,112.0,73.48214285714286,6.25,7.0
