,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,186.0,0.9,53380.0,44200.0,298.0,442.0,120.76923076923076,14.93212669683258,66.0
1,2.0,5.0,140.0,0.85,81320.0,64700.0,224.0,647.0,125.68778979907265,9.428129829984544,61.0
2,4.0,5.0,202.0,0.92,60840.0,31500.0,114.0,315.0,193.14285714285714,8.88888888888889,28.0
3,6.0,5.0,240.0,0.92,45580.0,25600.0,188.0,256.0,178.046875,11.328125,29.0
4,7.0,8.0,238.0,0.92,29820.0,24000.0,112.0,240.0,124.25,8.75,21.0
5,8.0,8.0,176.0,0.85,84490.0,56900.0,84.0,569.0,148.48857644991213,5.975395430579964,34.0
6,9.0,5.0,252.0,0.92,27420.0,22800.0,122.0,228.0,120.26315789473685,8.333333333333332,19.0
7,12.0,5.0,248.0,0.92,37780.0,26700.0,56.0,267.0,141.49812734082397,6.741573033707865,18.0
8,14.0,8.0,254.0,0.9,17510.0,13700.0,48.0,137.0,127.81021897810218,6.569343065693431,9.0
9,21.0,5.0,116.0,0.92,79480.0,56800.0,111.0,568.0,139.92957746478874,5.633802816901409,32.0
10,22.0,8.0,144.0,0.85,121310.0,66100.0,113.0,661.0,183.5249621785174,6.202723146747353,41.0
11,23.0,5.0,252.0,0.9,40500.0,23400.0,55.0,234.0,173.0769230769231,5.555555555555555,13.0
