,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
123,1.0,5.0,184.0,0.85,66980.0,57200.0,298.0,572.0,117.0979020979021,12.412587412587412,71.0,41.0
124,1.0,5.0,184.0,0.9,56960.0,47100.0,298.0,471.0,120.93418259023356,13.163481953290871,62.0,41.0
127,1.0,5.0,186.0,0.9,53380.0,44200.0,298.0,442.0,120.76923076923076,14.93212669683258,66.0,42.0
427,1.0,8.0,218.0,0.9,41860.0,33400.0,298.0,334.0,125.32934131736526,16.16766467065868,54.0,58.0
365,1.0,8.0,176.0,0.92,52350.0,44600.0,298.0,446.0,117.37668161434978,14.349775784753364,64.0,37.0
561,2.0,5.0,140.0,0.85,81320.0,64700.0,224.0,647.0,125.68778979907265,9.428129829984544,61.0,19.0
579,2.0,5.0,152.0,0.85,75000.0,61000.0,224.0,610.0,122.95081967213116,10.81967213114754,66.0,25.0
606,2.0,5.0,170.0,0.85,58480.0,45900.0,224.0,459.0,127.40740740740742,10.239651416122005,47.0,34.0
791,2.0,8.0,124.0,0.92,61650.0,53200.0,224.0,532.0,115.88345864661652,10.714285714285714,57.0,11.0
1602,4.0,5.0,162.0,0.85,77740.0,64300.0,114.0,643.0,120.90202177293934,5.754276827371696,37.0,30.0
1605,4.0,5.0,164.0,0.85,72740.0,60300.0,114.0,603.0,120.6301824212272,6.467661691542288,39.0,31.0
1617,4.0,5.0,172.0,0.85,70380.0,53800.0,114.0,538.0,130.81784386617102,6.133828996282528,33.0,35.0
1635,4.0,5.0,184.0,0.85,62040.0,52700.0,114.0,527.0,117.72296015180264,5.313092979127135,28.0,41.0
1638,4.0,5.0,186.0,0.85,54340.0,43600.0,114.0,436.0,124.6330275229358,5.963302752293578,26.0,42.0
1641,4.0,5.0,188.0,0.85,75910.0,54700.0,114.0,547.0,138.77513711151735,6.215722120658136,34.0,43.0
1644,4.0,5.0,190.0,0.85,64520.0,50600.0,114.0,506.0,127.50988142292488,6.521739130434782,33.0,44.0
1650,4.0,5.0,194.0,0.85,72670.0,42600.0,114.0,426.0,170.5868544600939,7.981220657276995,34.0,46.0
1653,4.0,5.0,196.0,0.85,56290.0,45300.0,114.0,453.0,124.26048565121413,5.960264900662252,27.0,47.0
1656,4.0,5.0,198.0,0.85,62310.0,42700.0,114.0,427.0,145.92505854800936,6.557377049180328,28.0,48.0
1659,4.0,5.0,200.0,0.85,79200.0,46700.0,114.0,467.0,169.59314775160598,7.494646680942184,35.0,49.0
1662,4.0,5.0,202.0,0.85,67940.0,45500.0,114.0,455.0,149.3186813186813,7.252747252747254,33.0,50.0
1671,4.0,5.0,208.0,0.85,62800.0,39700.0,114.0,397.0,158.18639798488664,8.060453400503778,32.0,53.0
1674,4.0,5.0,210.0,0.85,46890.0,34500.0,114.0,345.0,135.91304347826087,6.376811594202898,22.0,54.0
1677,4.0,5.0,212.0,0.85,43190.0,35600.0,114.0,356.0,121.32022471910112,5.8988764044943816,21.0,55.0
1680,4.0,5.0,214.0,0.85,43760.0,32200.0,114.0,322.0,135.90062111801242,7.763975155279502,25.0,56.0
1686,4.0,5.0,218.0,0.85,44060.0,37700.0,114.0,377.0,116.87002652519894,6.10079575596817,23.0,58.0
1692,4.0,5.0,222.0,0.85,47670.0,37100.0,114.0,371.0,128.49056603773585,7.008086253369273,26.0,60.0
1695,4.0,5.0,224.0,0.85,47310.0,35600.0,114.0,356.0,132.8932584269663,7.02247191011236,25.0,61.0
1698,4.0,5.0,226.0,0.85,44260.0,33500.0,114.0,335.0,132.11940298507463,6.865671641791045,23.0,62.0
1701,4.0,5.0,228.0,0.85,35580.0,29900.0,114.0,299.0,118.99665551839465,7.6923076923076925,23.0,63.0
1740,4.0,5.0,254.0,0.85,39940.0,28000.0,114.0,280.0,142.64285714285714,7.5,21.0,76.0
1743,4.0,5.0,256.0,0.85,30910.0,24100.0,114.0,241.0,128.2572614107884,7.468879668049793,18.0,77.0
