,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,184.0,0.92,15930.0,13000.0,63069.0,130.0,122.53846153846153,11.538461538461538,15.0
1,2.0,8.0,208.0,0.9,10680.0,12500.0,63069.0,125.0,85.44,5.6000000000000005,7.0
2,3.0,8.0,206.0,0.9,11340.0,15800.0,63069.0,158.0,71.77215189873418,8.227848101265822,13.0
3,4.0,5.0,154.0,0.85,26760.0,28000.0,63069.0,280.0,95.57142857142857,6.785714285714286,19.0
4,5.0,8.0,130.0,0.85,40190.0,34300.0,63069.0,343.0,117.17201166180757,10.204081632653061,35.0
5,7.0,8.0,212.0,0.85,10920.0,14200.0,63069.0,142.0,76.90140845070422,7.042253521126761,10.0
6,8.0,8.0,264.0,0.85,7590.0,6500.0,63069.0,65.0,116.76923076923076,9.230769230769232,6.0
7,10.0,5.0,112.0,0.92,28340.0,34600.0,63069.0,346.0,81.90751445086704,4.624277456647398,16.0
8,11.0,5.0,226.0,0.92,0.0,11700.0,63069.0,117.0,0.0,0.0,0.0
9,12.0,5.0,242.0,0.92,2640.0,8700.0,63069.0,87.0,30.344827586206897,2.2988505747126435,2.0
10,13.0,8.0,164.0,0.9,23260.0,23000.0,63069.0,230.0,101.1304347826087,6.521739130434782,15.0
11,22.0,8.0,172.0,0.92,10500.0,19000.0,63069.0,190.0,55.26315789473685,4.736842105263158,9.0
12,24.0,8.0,236.0,0.92,6600.0,9400.0,63069.0,94.0,70.2127659574468,6.382978723404255,6.0
13,25.0,5.0,254.0,0.85,3270.0,9600.0,63069.0,96.0,34.0625,3.125,3.0
