,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
9,1.0,5.0,108.0,0.85,108980.0,92000.0,234.0,920.0,118.45652173913044,10.108695652173912,93.0,3.0
15,1.0,5.0,112.0,0.85,102770.0,83300.0,234.0,833.0,123.3733493397359,10.56422569027611,88.0,5.0
27,1.0,5.0,120.0,0.85,102520.0,84700.0,234.0,847.0,121.03896103896103,10.035419126328216,85.0,9.0
30,1.0,5.0,122.0,0.85,88160.0,75700.0,234.0,757.0,116.45970937912811,10.568031704095112,80.0,10.0
33,1.0,5.0,124.0,0.85,96650.0,80300.0,234.0,803.0,120.36114570361146,10.70983810709838,86.0,11.0
39,1.0,5.0,128.0,0.85,87530.0,73000.0,234.0,730.0,119.9041095890411,10.136986301369864,74.0,13.0
42,1.0,5.0,130.0,0.85,94220.0,76300.0,234.0,763.0,123.4862385321101,10.878112712975096,83.0,14.0
78,1.0,5.0,154.0,0.85,73210.0,59500.0,234.0,595.0,123.04201680672269,11.428571428571429,68.0,26.0
87,1.0,5.0,160.0,0.85,66350.0,57400.0,234.0,574.0,115.59233449477352,10.104529616724738,58.0,29.0
90,1.0,5.0,162.0,0.85,72690.0,55500.0,234.0,555.0,130.97297297297297,11.711711711711713,65.0,30.0
96,1.0,5.0,166.0,0.85,72250.0,56800.0,234.0,568.0,127.20070422535213,12.147887323943662,69.0,32.0
99,1.0,5.0,168.0,0.85,63630.0,52700.0,234.0,527.0,120.74003795066416,11.76470588235294,62.0,33.0
120,1.0,5.0,182.0,0.85,57170.0,46300.0,234.0,463.0,123.47732181425486,11.23110151187905,52.0,40.0
135,1.0,5.0,192.0,0.85,54750.0,39800.0,234.0,398.0,137.56281407035175,10.804020100502512,43.0,45.0
141,1.0,5.0,196.0,0.85,56130.0,44800.0,234.0,448.0,125.29017857142856,11.383928571428571,51.0,47.0
144,1.0,5.0,198.0,0.85,53710.0,41900.0,234.0,419.0,128.18615751789977,11.217183770883054,47.0,48.0
177,1.0,5.0,220.0,0.85,55520.0,37400.0,234.0,374.0,148.44919786096256,11.497326203208557,43.0,59.0
180,1.0,5.0,222.0,0.85,46540.0,37300.0,234.0,373.0,124.77211796246648,10.455764075067025,39.0,60.0
183,1.0,5.0,224.0,0.85,45070.0,35100.0,234.0,351.0,128.4045584045584,11.11111111111111,39.0,61.0
186,1.0,5.0,226.0,0.85,50140.0,33100.0,234.0,331.0,151.48036253776436,12.386706948640484,41.0,62.0
192,1.0,5.0,230.0,0.85,42380.0,33000.0,234.0,330.0,128.4242424242424,12.12121212121212,40.0,64.0
