,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
129,1.0,8.0,184.0,0.92,49260.0,30100.0,234.0,301.0,163.65448504983388,13.621262458471762,41.0,-1.0812642959198167,4.404508790035253,3.3232444941154364,41.0
142,2.0,8.0,208.0,0.9,36530.0,27000.0,143.0,270.0,135.2962962962963,9.62962962962963,26.0,-0.05057217374241719,1.5147043876404471,1.46413221389803,53.0
173,3.0,8.0,206.0,0.9,55760.0,32700.0,119.0,327.0,170.51987767584097,6.727828746177369,22.0,-0.46964090725852026,2.8543251359877755,2.384684228729255,52.0
183,4.0,5.0,154.0,0.85,86910.0,60800.0,103.0,608.0,142.94407894736844,5.592105263157895,34.0,0.1704278238830942,1.7313833895717983,1.9018112134548923,26.0
208,5.0,8.0,130.0,0.85,98140.0,71700.0,174.0,717.0,136.87587168758716,7.949790794979079,57.0,1.3293774671765581,2.225964861731998,3.555342328908556,14.0
255,7.0,8.0,212.0,0.85,46180.0,28600.0,110.0,286.0,161.46853146853147,8.741258741258742,25.0,-0.41389280308870025,3.378531842863888,2.964639039775188,55.0
303,8.0,8.0,264.0,0.85,42570.0,17100.0,71.0,171.0,248.94736842105263,8.187134502923977,14.0,-0.5122719412560086,2.9347710191532177,2.422499077897209,81.0
417,10.0,5.0,112.0,0.92,122340.0,71500.0,100.0,715.0,171.1048951048951,6.433566433566433,46.0,2.0865618687727894,1.4323552356607854,3.5189171044335747,5.0
535,11.0,5.0,226.0,0.92,28460.0,24200.0,60.0,242.0,117.60330578512396,5.371900826446281,13.0,1.0,1.0,2.0,62.0
536,12.0,5.0,242.0,0.92,24840.0,16600.0,53.0,166.0,149.63855421686748,7.228915662650602,12.0,0.3922322702763677,1.4051065598670889,1.7973388301434565,70.0
572,13.0,8.0,164.0,0.9,80710.0,44600.0,72.0,446.0,180.9641255605381,6.278026905829597,28.0,1.8764703862691476,2.2667885399706327,4.14325892623978,31.0
610,22.0,8.0,172.0,0.92,42580.0,34500.0,80.0,345.0,123.42028985507248,5.507246376811594,19.0,,,,35.0
624,24.0,8.0,236.0,0.92,46200.0,18300.0,56.0,183.0,252.45901639344265,6.557377049180328,12.0,0.8324051132428145,1.7256944489015433,2.558099562144358,67.0
629,25.0,5.0,254.0,0.85,30250.0,17600.0,49.0,176.0,171.875,6.8181818181818175,12.0,0.05234239225902119,1.9527532962120846,2.0050956884711058,76.0
