,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,128.0,0.92,39760.0,27600.0,60365.0,276.0,144.05797101449275,15.217391304347828,42.0
1,2.0,5.0,178.0,0.9,22460.0,20400.0,60365.0,204.0,110.09803921568628,8.333333333333332,17.0
2,3.0,5.0,246.0,0.9,20040.0,10900.0,60365.0,109.0,183.85321100917432,14.678899082568808,16.0
3,4.0,8.0,218.0,0.92,12740.0,8700.0,60365.0,87.0,146.4367816091954,10.344827586206897,9.0
4,5.0,5.0,206.0,0.85,18850.0,19800.0,60365.0,198.0,95.2020202020202,12.626262626262626,25.0
5,6.0,5.0,188.0,0.85,17590.0,26300.0,60365.0,263.0,66.88212927756653,6.4638783269961975,17.0
6,8.0,5.0,200.0,0.92,29800.0,16700.0,60365.0,167.0,178.4431137724551,11.377245508982035,19.0
7,10.0,8.0,106.0,0.92,31700.0,38300.0,60365.0,383.0,82.76762402088774,6.266318537859007,24.0
8,14.0,5.0,256.0,0.9,16030.0,10000.0,60365.0,100.0,160.3,8.0,8.0
9,21.0,5.0,196.0,0.9,22570.0,19500.0,60365.0,195.0,115.74358974358974,9.743589743589745,19.0
10,23.0,5.0,158.0,0.92,27640.0,24200.0,60365.0,242.0,114.21487603305785,9.090909090909092,22.0
11,26.0,8.0,266.0,0.92,9520.0,8500.0,60365.0,85.0,112.00000000000001,4.705882352941177,4.0
