,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,128.0,0.92,81330.0,60200.0,289.0,602.0,135.09966777408638,14.119601328903656,85.0
1,2.0,5.0,178.0,0.9,51400.0,32800.0,253.0,328.0,156.70731707317074,12.195121951219512,40.0
2,3.0,5.0,246.0,0.9,30080.0,23800.0,157.0,238.0,126.38655462184873,10.084033613445378,24.0
3,4.0,8.0,218.0,0.92,36430.0,18200.0,96.0,182.0,200.16483516483515,11.538461538461538,21.0
4,5.0,5.0,206.0,0.85,54850.0,38600.0,232.0,386.0,142.0984455958549,11.658031088082902,45.0
5,6.0,5.0,188.0,0.85,71380.0,52900.0,197.0,529.0,134.93383742911155,10.207939508506616,54.0
6,8.0,5.0,200.0,0.92,34620.0,30000.0,91.0,300.0,115.39999999999999,6.0,18.0
7,10.0,8.0,106.0,0.92,91170.0,78900.0,134.0,789.0,115.55133079847909,5.7034220532319395,45.0
8,14.0,5.0,256.0,0.9,54370.0,23800.0,78.0,238.0,228.44537815126048,7.563025210084033,18.0
9,21.0,5.0,196.0,0.9,58710.0,36400.0,95.0,364.0,161.2912087912088,7.142857142857142,26.0
10,23.0,5.0,158.0,0.92,67060.0,51400.0,80.0,514.0,130.4669260700389,6.420233463035019,33.0
11,26.0,8.0,266.0,0.92,22130.0,14400.0,43.0,144.0,153.68055555555554,5.555555555555555,8.0
