,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,110730.0,110100.0,289.0,1101.0,100.57220708446866,9.990917347865578,110.0
1,1.0,5.0,102.0,0.9,85220.0,91500.0,289.0,915.0,93.13661202185793,9.398907103825136,86.0
2,1.0,5.0,102.0,0.92,81970.0,81600.0,289.0,816.0,100.45343137254903,9.926470588235293,81.0
3,1.0,5.0,104.0,0.85,114740.0,113200.0,289.0,1132.0,101.36042402826855,10.247349823321555,116.0
4,1.0,5.0,104.0,0.9,87590.0,92900.0,289.0,929.0,94.28417653390743,10.010764262648008,93.0
5,1.0,5.0,104.0,0.92,79940.0,83600.0,289.0,836.0,95.62200956937798,10.287081339712918,86.0
6,1.0,5.0,106.0,0.85,117030.0,115400.0,289.0,1154.0,101.41247833622185,10.74523396880416,124.0
7,1.0,5.0,106.0,0.9,108680.0,94800.0,289.0,948.0,114.64135021097046,12.130801687763713,115.0
8,1.0,5.0,106.0,0.92,102780.0,84900.0,289.0,849.0,121.0600706713781,12.7208480565371,108.0
9,1.0,5.0,108.0,0.85,111070.0,100100.0,289.0,1001.0,110.95904095904096,10.989010989010989,110.0
10,1.0,5.0,108.0,0.9,82230.0,82200.0,289.0,822.0,100.03649635036496,10.218978102189782,84.0
11,1.0,5.0,108.0,0.92,72320.0,73200.0,289.0,732.0,98.79781420765028,10.10928961748634,74.0
12,1.0,5.0,110.0,0.85,99340.0,106000.0,289.0,1060.0,93.71698113207547,10.18867924528302,108.0
13,1.0,5.0,110.0,0.9,80620.0,86700.0,289.0,867.0,92.98731257208766,10.149942329873126,88.0
14,1.0,5.0,110.0,0.92,69240.0,78600.0,289.0,786.0,88.09160305343512,9.79643765903308,77.0
15,1.0,5.0,112.0,0.85,105140.0,106500.0,289.0,1065.0,98.72300469483568,9.953051643192488,106.0
16,1.0,5.0,112.0,0.9,96250.0,88900.0,289.0,889.0,108.26771653543308,10.573678290213723,94.0
17,1.0,5.0,112.0,0.92,83200.0,80900.0,289.0,809.0,102.84301606922126,10.3831891223733,84.0
18,1.0,5.0,114.0,0.85,104740.0,101700.0,289.0,1017.0,102.98918387413963,10.619469026548673,108.0
19,1.0,5.0,114.0,0.9,90190.0,83900.0,289.0,839.0,107.49702026221692,11.084624553039331,93.0
20,1.0,5.0,114.0,0.92,70990.0,72800.0,289.0,728.0,97.51373626373626,10.164835164835164,74.0
21,1.0,5.0,116.0,0.85,119510.0,104100.0,289.0,1041.0,114.80307396733909,10.951008645533141,114.0
22,1.0,5.0,116.0,0.9,94940.0,86000.0,289.0,860.0,110.3953488372093,11.395348837209303,98.0
23,1.0,5.0,116.0,0.92,90470.0,78100.0,289.0,781.0,115.83866837387964,12.03585147247119,94.0
24,1.0,5.0,118.0,0.85,97790.0,95900.0,289.0,959.0,101.97080291970804,10.323253388946819,99.0
25,1.0,5.0,118.0,0.9,84260.0,78200.0,289.0,782.0,107.74936061381075,10.61381074168798,83.0
26,1.0,5.0,118.0,0.92,77590.0,68700.0,289.0,687.0,112.94032023289667,11.06259097525473,76.0
27,1.0,5.0,120.0,0.85,94820.0,88500.0,289.0,885.0,107.1412429378531,11.186440677966102,99.0
28,1.0,5.0,120.0,0.9,83800.0,73000.0,289.0,730.0,114.79452054794521,11.917808219178081,87.0
29,1.0,5.0,120.0,0.92,73620.0,64200.0,289.0,642.0,114.67289719626169,12.305295950155763,79.0
30,1.0,5.0,122.0,0.85,107740.0,100700.0,289.0,1007.0,106.99106256206554,11.221449851042701,113.0
31,1.0,5.0,122.0,0.9,77580.0,81000.0,289.0,810.0,95.77777777777777,9.876543209876543,80.0
32,1.0,5.0,122.0,0.92,69380.0,71900.0,289.0,719.0,96.4951321279555,10.15299026425591,73.0
33,1.0,5.0,124.0,0.85,91920.0,83500.0,289.0,835.0,110.08383233532935,10.89820359281437,91.0
34,1.0,5.0,124.0,0.9,83050.0,66100.0,289.0,661.0,125.642965204236,12.102874432677762,80.0
35,1.0,5.0,124.0,0.92,74910.0,57700.0,289.0,577.0,129.82668977469672,12.131715771230503,70.0
36,1.0,5.0,126.0,0.85,68610.0,78700.0,289.0,787.0,87.17916137229987,9.6569250317662,76.0
37,1.0,5.0,126.0,0.9,62280.0,63800.0,289.0,638.0,97.61755485893417,10.658307210031348,68.0
38,1.0,5.0,126.0,0.92,57950.0,56000.0,289.0,560.0,103.48214285714286,11.428571428571429,64.0
39,1.0,5.0,128.0,0.85,97600.0,86200.0,289.0,862.0,113.22505800464037,11.1368909512761,96.0
40,1.0,5.0,128.0,0.9,87210.0,70600.0,289.0,706.0,123.52691218130312,12.464589235127479,88.0
41,1.0,5.0,128.0,0.92,73350.0,60500.0,289.0,605.0,121.2396694214876,12.561983471074381,76.0
42,1.0,5.0,130.0,0.85,78000.0,80400.0,289.0,804.0,97.01492537313433,10.323383084577115,83.0
43,1.0,5.0,130.0,0.9,67390.0,65600.0,289.0,656.0,102.72865853658537,10.975609756097562,72.0
44,1.0,5.0,130.0,0.92,59080.0,58200.0,289.0,582.0,101.51202749140893,11.168384879725087,65.0
45,1.0,5.0,132.0,0.85,74170.0,78500.0,289.0,785.0,94.48407643312102,10.318471337579618,81.0
46,1.0,5.0,132.0,0.9,61280.0,63600.0,289.0,636.0,96.35220125786164,10.849056603773585,69.0
47,1.0,5.0,132.0,0.92,53980.0,54900.0,289.0,549.0,98.32422586520947,11.475409836065573,63.0
48,1.0,5.0,134.0,0.85,79370.0,76300.0,289.0,763.0,104.02359108781127,10.747051114023591,82.0
49,1.0,5.0,134.0,0.9,64570.0,59500.0,289.0,595.0,108.52100840336134,11.428571428571429,68.0
50,1.0,5.0,134.0,0.92,54310.0,52500.0,289.0,525.0,103.44761904761906,10.476190476190476,55.0
51,1.0,5.0,136.0,0.85,78970.0,78900.0,289.0,789.0,100.08871989860583,10.899873257287707,86.0
52,1.0,5.0,136.0,0.9,68780.0,65500.0,289.0,655.0,105.00763358778626,11.755725190839694,77.0
53,1.0,5.0,136.0,0.92,64690.0,59200.0,289.0,592.0,109.27364864864866,12.162162162162163,72.0
54,1.0,5.0,138.0,0.85,87000.0,77000.0,289.0,770.0,112.98701298701299,11.818181818181818,91.0
55,1.0,5.0,138.0,0.9,69650.0,61500.0,289.0,615.0,113.2520325203252,12.357723577235772,76.0
56,1.0,5.0,138.0,0.92,60520.0,54200.0,289.0,542.0,111.66051660516605,12.361623616236162,67.0
57,1.0,5.0,140.0,0.85,75350.0,72500.0,289.0,725.0,103.93103448275862,10.620689655172413,77.0
58,1.0,5.0,140.0,0.9,62310.0,56700.0,289.0,567.0,109.89417989417989,11.28747795414462,64.0
59,1.0,5.0,140.0,0.92,57780.0,49200.0,289.0,492.0,117.4390243902439,11.991869918699187,59.0
60,1.0,5.0,142.0,0.85,78570.0,74700.0,289.0,747.0,105.18072289156626,10.843373493975903,81.0
61,1.0,5.0,142.0,0.9,65320.0,60800.0,289.0,608.0,107.43421052631578,11.019736842105262,67.0
62,1.0,5.0,142.0,0.92,61950.0,55000.0,289.0,550.0,112.63636363636364,11.818181818181818,65.0
63,1.0,5.0,144.0,0.85,69170.0,65000.0,289.0,650.0,106.41538461538462,10.923076923076923,71.0
64,1.0,5.0,144.0,0.9,55870.0,50500.0,289.0,505.0,110.63366336633665,11.287128712871288,57.0
65,1.0,5.0,144.0,0.92,52010.0,44600.0,289.0,446.0,116.61434977578476,11.659192825112108,52.0
66,1.0,5.0,146.0,0.85,79760.0,72900.0,289.0,729.0,109.41015089163237,11.659807956104252,85.0
67,1.0,5.0,146.0,0.9,65780.0,56000.0,289.0,560.0,117.46428571428571,12.321428571428573,69.0
68,1.0,5.0,146.0,0.92,58290.0,49800.0,289.0,498.0,117.04819277108433,12.248995983935743,61.0
69,1.0,5.0,148.0,0.85,72240.0,67000.0,289.0,670.0,107.82089552238804,11.044776119402986,74.0
70,1.0,5.0,148.0,0.9,63490.0,51200.0,289.0,512.0,124.00390625,12.5,64.0
71,1.0,5.0,148.0,0.92,56670.0,43700.0,289.0,437.0,129.6796338672769,13.043478260869565,57.0
72,1.0,5.0,150.0,0.85,70070.0,64400.0,289.0,644.0,108.80434782608697,11.801242236024844,76.0
73,1.0,5.0,150.0,0.9,59620.0,50300.0,289.0,503.0,118.52882703777337,12.72365805168986,64.0
74,1.0,5.0,150.0,0.92,50760.0,44000.0,289.0,440.0,115.36363636363636,12.272727272727273,54.0
75,1.0,5.0,152.0,0.85,72050.0,63400.0,289.0,634.0,113.64353312302839,12.145110410094636,77.0
76,1.0,5.0,152.0,0.9,55340.0,49600.0,289.0,496.0,111.5725806451613,12.5,62.0
77,1.0,5.0,152.0,0.92,51430.0,43300.0,289.0,433.0,118.77598152424942,13.394919168591224,58.0
78,1.0,5.0,154.0,0.85,52330.0,59900.0,289.0,599.0,87.36227045075125,10.01669449081803,60.0
79,1.0,5.0,154.0,0.9,45810.0,48100.0,289.0,481.0,95.23908523908524,10.395010395010395,50.0
80,1.0,5.0,154.0,0.92,44510.0,41000.0,289.0,410.0,108.5609756097561,11.707317073170733,48.0
81,1.0,5.0,156.0,0.85,72980.0,60000.0,289.0,600.0,121.63333333333333,12.333333333333334,74.0
82,1.0,5.0,156.0,0.9,57550.0,45700.0,289.0,457.0,125.92997811816193,13.566739606126916,62.0
83,1.0,5.0,156.0,0.92,51660.0,40900.0,289.0,409.0,126.30806845965769,13.691931540342297,56.0
84,1.0,5.0,158.0,0.85,57960.0,53300.0,289.0,533.0,108.74296435272043,11.25703564727955,60.0
85,1.0,5.0,158.0,0.9,46690.0,41600.0,289.0,416.0,112.23557692307693,11.778846153846153,49.0
86,1.0,5.0,158.0,0.92,41450.0,35400.0,289.0,354.0,117.090395480226,12.146892655367232,43.0
87,1.0,5.0,160.0,0.85,60640.0,59600.0,289.0,596.0,101.74496644295301,10.906040268456376,65.0
88,1.0,5.0,160.0,0.9,52320.0,45700.0,289.0,457.0,114.48577680525165,12.25382932166302,56.0
89,1.0,5.0,160.0,0.92,38190.0,38700.0,289.0,387.0,98.68217054263566,11.11111111111111,43.0
90,1.0,5.0,162.0,0.85,60170.0,59600.0,289.0,596.0,100.95637583892618,11.241610738255034,67.0
91,1.0,5.0,162.0,0.9,40770.0,46600.0,289.0,466.0,87.4892703862661,10.515021459227468,49.0
92,1.0,5.0,162.0,0.92,37060.0,41300.0,289.0,413.0,89.73365617433414,11.138014527845035,46.0
93,1.0,5.0,164.0,0.85,69060.0,57800.0,289.0,578.0,119.48096885813149,12.283737024221452,71.0
94,1.0,5.0,164.0,0.9,60610.0,44900.0,289.0,449.0,134.98886414253897,13.140311804008908,59.0
95,1.0,5.0,164.0,0.92,54060.0,39700.0,289.0,397.0,136.17128463476072,13.350125944584383,53.0
96,1.0,5.0,166.0,0.85,55870.0,55300.0,289.0,553.0,101.03074141048825,11.754068716094032,65.0
97,1.0,5.0,166.0,0.9,47760.0,41800.0,289.0,418.0,114.25837320574163,13.157894736842104,55.0
98,1.0,5.0,166.0,0.92,43770.0,35500.0,289.0,355.0,123.29577464788733,14.084507042253522,50.0
99,1.0,5.0,168.0,0.85,57020.0,47500.0,289.0,475.0,120.04210526315791,14.105263157894738,67.0
100,1.0,5.0,168.0,0.9,48930.0,36500.0,289.0,365.0,134.05479452054794,15.616438356164384,57.0
