,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
81,1.0,5.0,156.0,0.85,72980.0,60000.0,289.0,600.0,121.63333333333333,12.333333333333334,74.0,27.0
99,1.0,5.0,168.0,0.85,57020.0,47500.0,289.0,475.0,120.04210526315792,14.105263157894738,67.0,33.0
102,1.0,5.0,170.0,0.85,61210.0,51700.0,289.0,517.0,118.39458413926498,12.379110251450678,64.0,34.0
105,1.0,5.0,172.0,0.85,67400.0,52900.0,289.0,529.0,127.4102079395085,13.610586011342155,72.0,35.0
129,1.0,5.0,188.0,0.85,53290.0,45700.0,289.0,457.0,116.60831509846828,12.691466083150983,58.0,43.0
132,1.0,5.0,190.0,0.85,50990.0,40800.0,289.0,408.0,124.97549019607844,12.254901960784313,50.0,44.0
135,1.0,5.0,192.0,0.85,47250.0,39700.0,289.0,397.0,119.01763224181362,12.090680100755668,48.0,45.0
138,1.0,5.0,194.0,0.85,70240.0,50100.0,289.0,501.0,140.1996007984032,13.77245508982036,69.0,46.0
141,1.0,5.0,196.0,0.85,44560.0,36500.0,289.0,365.0,122.08219178082192,13.6986301369863,50.0,47.0
150,1.0,5.0,202.0,0.85,48070.0,36900.0,289.0,369.0,130.2710027100271,14.363143631436316,53.0,50.0
168,1.0,5.0,214.0,0.85,39630.0,33000.0,289.0,330.0,120.0909090909091,13.636363636363637,45.0,56.0
171,1.0,5.0,216.0,0.85,45230.0,33800.0,289.0,338.0,133.81656804733728,13.017751479289942,44.0,57.0
67,1.0,5.0,146.0,0.9,65780.0,56000.0,289.0,560.0,117.46428571428572,12.321428571428571,69.0,22.0
70,1.0,5.0,148.0,0.9,63490.0,51200.0,289.0,512.0,124.00390625,12.5,64.0,23.0
73,1.0,5.0,150.0,0.9,59620.0,50300.0,289.0,503.0,118.52882703777335,12.72365805168986,64.0,24.0
82,1.0,5.0,156.0,0.9,57550.0,45700.0,289.0,457.0,125.92997811816193,13.566739606126916,62.0,27.0
94,1.0,5.0,164.0,0.9,60610.0,44900.0,289.0,449.0,134.98886414253897,13.140311804008908,59.0,31.0
100,1.0,5.0,168.0,0.9,48930.0,36500.0,289.0,365.0,134.05479452054794,15.616438356164384,57.0,33.0
103,1.0,5.0,170.0,0.9,53070.0,40200.0,289.0,402.0,132.01492537313433,13.930348258706468,56.0,34.0
106,1.0,5.0,172.0,0.9,57960.0,40200.0,289.0,402.0,144.17910447761193,15.671641791044776,63.0,35.0
118,1.0,5.0,180.0,0.9,51700.0,39800.0,289.0,398.0,129.8994974874372,13.06532663316583,52.0,39.0
121,1.0,5.0,182.0,0.9,40500.0,33600.0,289.0,336.0,120.53571428571428,13.690476190476192,46.0,40.0
23,1.0,5.0,116.0,0.92,90470.0,78100.0,289.0,781.0,115.83866837387964,12.03585147247119,94.0,7.0
59,1.0,5.0,140.0,0.92,57780.0,49200.0,289.0,492.0,117.4390243902439,11.991869918699187,59.0,19.0
65,1.0,5.0,144.0,0.92,52010.0,44600.0,289.0,446.0,116.61434977578476,11.659192825112108,52.0,21.0
68,1.0,5.0,146.0,0.92,58290.0,49800.0,289.0,498.0,117.04819277108432,12.248995983935744,61.0,22.0
71,1.0,5.0,148.0,0.92,56670.0,43700.0,289.0,437.0,129.6796338672769,13.043478260869565,57.0,23.0
74,1.0,5.0,150.0,0.92,50760.0,44000.0,289.0,440.0,115.36363636363636,12.272727272727272,54.0,24.0
77,1.0,5.0,152.0,0.92,51430.0,43300.0,289.0,433.0,118.77598152424942,13.394919168591224,58.0,25.0
83,1.0,5.0,156.0,0.92,51660.0,40900.0,289.0,409.0,126.30806845965768,13.691931540342296,56.0,27.0
95,1.0,5.0,164.0,0.92,54060.0,39700.0,289.0,397.0,136.17128463476072,13.350125944584384,53.0,31.0
98,1.0,5.0,166.0,0.92,43770.0,35500.0,289.0,355.0,123.29577464788731,14.084507042253522,50.0,32.0
101,1.0,5.0,168.0,0.92,41470.0,31900.0,289.0,319.0,130.0,15.36050156739812,49.0,33.0
104,1.0,5.0,170.0,0.92,47520.0,35200.0,289.0,352.0,135.0,14.204545454545457,50.0,34.0
107,1.0,5.0,172.0,0.92,50830.0,35900.0,289.0,359.0,141.58774373259052,16.15598885793872,58.0,35.0
312,1.0,8.0,142.0,0.85,88200.0,72500.0,289.0,725.0,121.65517241379312,11.862068965517242,86.0,20.0
318,1.0,8.0,146.0,0.85,73730.0,63900.0,289.0,639.0,115.38341158059468,12.832550860719872,82.0,22.0
324,1.0,8.0,150.0,0.85,76680.0,61600.0,289.0,616.0,124.48051948051948,12.987012987012983,80.0,24.0
330,1.0,8.0,154.0,0.85,66680.0,56900.0,289.0,569.0,117.18804920913884,12.478031634446396,71.0,26.0
336,1.0,8.0,158.0,0.85,59520.0,50900.0,289.0,509.0,116.93516699410608,11.984282907662084,61.0,28.0
345,1.0,8.0,164.0,0.85,64340.0,52600.0,289.0,526.0,122.31939163498096,13.11787072243346,69.0,31.0
354,1.0,8.0,170.0,0.85,51120.0,43900.0,289.0,439.0,116.44646924829156,12.984054669703871,57.0,34.0
384,1.0,8.0,190.0,0.85,41120.0,35300.0,289.0,353.0,116.4872521246459,12.747875354107649,45.0,44.0
387,1.0,8.0,192.0,0.85,43790.0,38000.0,289.0,380.0,115.23684210526316,13.684210526315791,52.0,45.0
390,1.0,8.0,194.0,0.85,49980.0,42100.0,289.0,421.0,118.71733966745845,13.064133016627078,55.0,46.0
393,1.0,8.0,196.0,0.85,48140.0,35500.0,289.0,355.0,135.6056338028169,13.802816901408452,49.0,47.0
396,1.0,8.0,198.0,0.85,41760.0,30700.0,289.0,307.0,136.02605863192184,15.309446254071664,47.0,48.0
399,1.0,8.0,200.0,0.85,44470.0,31200.0,289.0,312.0,142.5320512820513,16.025641025641026,50.0,49.0
402,1.0,8.0,202.0,0.85,45440.0,34600.0,289.0,346.0,131.32947976878611,14.739884393063583,51.0,50.0
405,1.0,8.0,204.0,0.85,41290.0,32400.0,289.0,324.0,127.43827160493828,14.506172839506174,47.0,51.0
432,1.0,8.0,222.0,0.85,36380.0,28200.0,289.0,282.0,129.00709219858155,15.602836879432624,44.0,60.0
435,1.0,8.0,224.0,0.85,44210.0,33600.0,289.0,336.0,131.57738095238096,14.583333333333334,49.0,61.0
438,1.0,8.0,226.0,0.85,38290.0,30300.0,289.0,303.0,126.36963696369637,14.521452145214525,44.0,62.0
292,1.0,8.0,128.0,0.9,87140.0,67800.0,289.0,678.0,128.52507374631267,13.421828908554572,91.0,13.0
313,1.0,8.0,142.0,0.9,70090.0,54800.0,289.0,548.0,127.9014598540146,12.773722627737229,70.0,20.0
319,1.0,8.0,146.0,0.9,61380.0,51300.0,289.0,513.0,119.64912280701752,13.255360623781677,68.0,22.0
325,1.0,8.0,150.0,0.9,58240.0,49000.0,289.0,490.0,118.85714285714286,12.653061224489797,62.0,24.0
328,1.0,8.0,152.0,0.9,49560.0,42900.0,289.0,429.0,115.52447552447552,13.286713286713288,57.0,25.0
340,1.0,8.0,160.0,0.9,51380.0,41600.0,289.0,416.0,123.50961538461536,12.5,52.0,29.0
263,1.0,8.0,108.0,0.92,86600.0,73600.0,289.0,736.0,117.66304347826086,11.956521739130435,88.0,3.0
293,1.0,8.0,128.0,0.92,81330.0,60200.0,289.0,602.0,135.09966777408638,14.119601328903656,85.0,13.0
314,1.0,8.0,142.0,0.92,59640.0,47500.0,289.0,475.0,125.55789473684212,13.052631578947368,62.0,20.0
317,1.0,8.0,144.0,0.92,48530.0,40600.0,289.0,406.0,119.5320197044335,12.561576354679804,51.0,21.0
320,1.0,8.0,146.0,0.92,51730.0,44800.0,289.0,448.0,115.46875,13.839285714285715,62.0,22.0
329,1.0,8.0,152.0,0.92,44040.0,37600.0,289.0,376.0,117.12765957446808,13.829787234042554,52.0,25.0
