,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
60,1.0,8.0,128.0,0.92,81330.0,60200.0,289.0,602.0,135.09966777408638,14.119601328903656,85.0,2.1342590083915782,1.347378833006772,3.48163784139835,13.0
71,2.0,5.0,178.0,0.9,51400.0,32800.0,253.0,328.0,156.70731707317074,12.195121951219512,40.0,-1.3836712561449185,1.9041115953025145,0.520440339157596,38.0
75,3.0,5.0,246.0,0.9,30080.0,23800.0,157.0,238.0,126.38655462184872,10.084033613445378,24.0,-1.039168997070661,1.7187291489393723,0.6795601518687113,72.0
96,4.0,8.0,218.0,0.92,36430.0,18200.0,96.0,182.0,200.16483516483515,11.538461538461538,21.0,0.6091120354556259,3.3730213719359194,3.9821334073915455,58.0
102,5.0,5.0,206.0,0.85,54850.0,38600.0,232.0,386.0,142.0984455958549,11.658031088082902,45.0,0.6239820607736257,3.1937922468756152,3.817774307649241,52.0
119,6.0,5.0,188.0,0.85,71380.0,52900.0,197.0,529.0,134.93383742911155,10.207939508506616,54.0,1.3947559390641278,1.8844389400318755,3.2791948790960035,43.0
125,8.0,5.0,200.0,0.92,34620.0,30000.0,91.0,300.0,115.4,6.0,18.0,,,,49.0
126,10.0,8.0,106.0,0.92,91170.0,78900.0,134.0,789.0,115.55133079847909,5.70342205323194,45.0,,,,2.0
170,14.0,5.0,256.0,0.9,54370.0,23800.0,78.0,238.0,228.44537815126048,7.563025210084033,18.0,-0.926442061096675,4.641840028826258,3.715397967729583,77.0
298,21.0,5.0,196.0,0.9,58710.0,36400.0,95.0,364.0,161.2912087912088,7.142857142857142,26.0,1.533121270315264,3.7948913298982285,5.328012600213492,47.0
326,23.0,5.0,158.0,0.92,67060.0,51400.0,80.0,514.0,130.4669260700389,6.420233463035019,33.0,1.0934221306154164,1.7087888889289176,2.802211019544334,28.0
331,26.0,8.0,266.0,0.92,22130.0,14400.0,43.0,144.0,153.68055555555554,5.555555555555555,8.0,-1.0,1.0,0.0,82.0
