,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,112470.0,129800.0,288.0,1298.0,86.64869029275809,7.395993836671804,96.0
1,1.0,5.0,102.0,0.9,101680.0,117500.0,288.0,1175.0,86.53617021276597,7.574468085106383,89.0
2,1.0,5.0,102.0,0.92,96980.0,111100.0,288.0,1111.0,87.2907290729073,7.650765076507652,85.0
3,1.0,5.0,104.0,0.85,117450.0,140200.0,288.0,1402.0,83.77318116975749,7.417974322396577,104.0
4,1.0,5.0,104.0,0.9,106720.0,127300.0,288.0,1273.0,83.83346425765907,7.305577376276512,93.0
5,1.0,5.0,104.0,0.92,101210.0,120500.0,288.0,1205.0,83.99170124481327,7.385892116182573,89.0
6,1.0,5.0,106.0,0.85,129860.0,147600.0,288.0,1476.0,87.98102981029811,7.8590785907859075,116.0
7,1.0,5.0,106.0,0.9,113490.0,134800.0,288.0,1348.0,84.19139465875371,7.863501483679524,106.0
8,1.0,5.0,106.0,0.92,108720.0,128900.0,288.0,1289.0,84.344453064391,7.835531419705198,101.0
9,1.0,5.0,108.0,0.85,138330.0,143300.0,288.0,1433.0,96.53175157013258,8.583391486392184,123.0
10,1.0,5.0,108.0,0.9,122190.0,128600.0,288.0,1286.0,95.01555209953344,8.475894245723174,109.0
11,1.0,5.0,108.0,0.92,113650.0,121100.0,288.0,1211.0,93.84805945499586,8.257638315441785,100.0
12,1.0,5.0,110.0,0.85,129980.0,122500.0,288.0,1225.0,106.10612244897959,8.653061224489795,106.0
13,1.0,5.0,110.0,0.9,121860.0,112100.0,288.0,1121.0,108.70651204281891,8.920606601248885,100.0
14,1.0,5.0,110.0,0.92,119800.0,106300.0,288.0,1063.0,112.69990592662276,9.219190968955786,98.0
15,1.0,5.0,112.0,0.85,119500.0,121800.0,288.0,1218.0,98.11165845648604,8.210180623973727,100.0
16,1.0,5.0,112.0,0.9,106800.0,110200.0,288.0,1102.0,96.91470054446461,8.348457350272232,92.0
17,1.0,5.0,112.0,0.92,102670.0,104300.0,288.0,1043.0,98.43720038350911,8.437200383509108,88.0
18,1.0,5.0,114.0,0.85,104420.0,125400.0,288.0,1254.0,83.26953748006379,7.256778309409888,91.0
19,1.0,5.0,114.0,0.9,100030.0,112500.0,288.0,1125.0,88.91555555555556,7.733333333333333,87.0
20,1.0,5.0,114.0,0.92,96840.0,106900.0,288.0,1069.0,90.58933582787651,7.951356407857811,85.0
21,1.0,5.0,116.0,0.85,132630.0,128700.0,288.0,1287.0,103.05361305361305,8.780108780108781,113.0
22,1.0,5.0,116.0,0.9,117490.0,116700.0,288.0,1167.0,100.67694944301628,8.826049700085688,103.0
23,1.0,5.0,116.0,0.92,105180.0,109400.0,288.0,1094.0,96.14259597806216,8.500914076782449,93.0
24,1.0,5.0,118.0,0.85,104460.0,128600.0,288.0,1286.0,81.22861586314153,7.620528771384137,98.0
25,1.0,5.0,118.0,0.9,91070.0,113900.0,288.0,1139.0,79.95610184372256,7.6382791922739255,87.0
26,1.0,5.0,118.0,0.92,87640.0,108000.0,288.0,1080.0,81.14814814814815,7.685185185185185,83.0
27,1.0,5.0,120.0,0.85,112740.0,119300.0,288.0,1193.0,94.50125733445095,8.382229673093043,100.0
28,1.0,5.0,120.0,0.9,108500.0,107200.0,288.0,1072.0,101.21268656716418,8.861940298507463,95.0
29,1.0,5.0,120.0,0.92,105940.0,101500.0,288.0,1015.0,104.3743842364532,9.064039408866995,92.0
30,1.0,5.0,122.0,0.85,113640.0,126100.0,288.0,1261.0,90.11895321173672,7.7716098334655035,98.0
31,1.0,5.0,122.0,0.9,109110.0,112700.0,288.0,1127.0,96.81455190771962,8.074534161490684,91.0
32,1.0,5.0,122.0,0.92,102570.0,106600.0,288.0,1066.0,96.21951219512195,7.879924953095685,84.0
33,1.0,5.0,124.0,0.85,114140.0,126500.0,288.0,1265.0,90.2292490118577,7.82608695652174,99.0
34,1.0,5.0,124.0,0.9,107020.0,114900.0,288.0,1149.0,93.14186248912097,8.093994778067886,93.0
35,1.0,5.0,124.0,0.92,92890.0,107800.0,288.0,1078.0,86.16883116883118,8.070500927643785,87.0
36,1.0,5.0,126.0,0.85,129410.0,120800.0,288.0,1208.0,107.12748344370861,9.519867549668874,115.0
37,1.0,5.0,126.0,0.9,117500.0,109400.0,288.0,1094.0,107.40402193784277,9.689213893967093,106.0
38,1.0,5.0,126.0,0.92,116620.0,103800.0,288.0,1038.0,112.35067437379575,10.115606936416185,105.0
39,1.0,5.0,128.0,0.85,119990.0,117500.0,288.0,1175.0,102.11914893617022,9.02127659574468,106.0
40,1.0,5.0,128.0,0.9,101780.0,105900.0,288.0,1059.0,96.109537299339,8.687440982058545,92.0
41,1.0,5.0,128.0,0.92,93520.0,101100.0,288.0,1011.0,92.5024727992087,8.40751730959446,85.0
42,1.0,5.0,130.0,0.85,126850.0,122500.0,288.0,1225.0,103.55102040816327,8.653061224489795,106.0
43,1.0,5.0,130.0,0.9,122220.0,111100.0,288.0,1111.0,110.00900090009,9.000900090009,100.0
44,1.0,5.0,130.0,0.92,115870.0,104700.0,288.0,1047.0,110.66857688634192,9.073543457497612,95.0
45,1.0,5.0,132.0,0.85,99800.0,109700.0,288.0,1097.0,90.97538742023701,8.113035551504103,89.0
46,1.0,5.0,132.0,0.9,88210.0,98500.0,288.0,985.0,89.55329949238579,8.020304568527918,79.0
47,1.0,5.0,132.0,0.92,86340.0,93400.0,288.0,934.0,92.44111349036402,8.244111349036402,77.0
48,1.0,5.0,134.0,0.85,94430.0,111900.0,288.0,1119.0,84.38784629133154,7.685433422698838,86.0
49,1.0,5.0,134.0,0.9,80040.0,101100.0,288.0,1011.0,79.16913946587538,7.6162215628091,77.0
50,1.0,5.0,134.0,0.92,73270.0,95900.0,288.0,959.0,76.40250260688217,7.40354535974974,71.0
51,1.0,5.0,136.0,0.85,101390.0,110500.0,288.0,1105.0,91.75565610859728,8.235294117647058,91.0
52,1.0,5.0,136.0,0.9,90000.0,96900.0,288.0,969.0,92.87925696594426,8.25593395252838,80.0
53,1.0,5.0,136.0,0.92,83390.0,90000.0,288.0,900.0,92.65555555555555,8.222222222222223,74.0
54,1.0,5.0,138.0,0.85,104560.0,111900.0,288.0,1119.0,93.44057193923146,7.953529937444147,89.0
55,1.0,5.0,138.0,0.9,93590.0,99600.0,288.0,996.0,93.96586345381526,8.23293172690763,82.0
56,1.0,5.0,138.0,0.92,90510.0,94100.0,288.0,941.0,96.18490967056323,8.501594048884167,80.0
57,1.0,5.0,140.0,0.85,95360.0,106600.0,288.0,1066.0,89.45590994371481,8.067542213883677,86.0
58,1.0,5.0,140.0,0.9,89890.0,97800.0,288.0,978.0,91.9120654396728,8.1799591002045,80.0
59,1.0,5.0,140.0,0.92,76380.0,91700.0,288.0,917.0,83.29334787350055,7.960741548527809,73.0
60,1.0,5.0,142.0,0.85,87480.0,101900.0,288.0,1019.0,85.84887144259078,7.654563297350343,78.0
61,1.0,5.0,142.0,0.9,68230.0,91900.0,288.0,919.0,74.24374319912948,7.072905331882481,65.0
62,1.0,5.0,142.0,0.92,62710.0,85900.0,288.0,859.0,73.0034924330617,6.984866123399301,60.0
63,1.0,5.0,144.0,0.85,112970.0,119800.0,288.0,1198.0,94.29883138564273,8.347245409015025,100.0
64,1.0,5.0,144.0,0.9,98650.0,107500.0,288.0,1075.0,91.76744186046511,8.0,86.0
65,1.0,5.0,144.0,0.92,96390.0,102000.0,288.0,1020.0,94.5,8.137254901960784,83.0
