,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
1348,3.0,8.0,160.0,0.9,59350.0,48700.0,173.0,487.0,121.86858316221767,8.624229979466119,42.0,29.0
1896,4.0,8.0,190.0,0.85,70880.0,55700.0,113.0,557.0,127.25314183123876,5.026929982046679,28.0,44.0
1899,4.0,8.0,192.0,0.85,67530.0,53800.0,113.0,538.0,125.52044609665428,5.390334572490707,29.0,45.0
1902,4.0,8.0,194.0,0.85,64850.0,50600.0,113.0,506.0,128.16205533596838,5.928853754940711,30.0,46.0
1897,4.0,8.0,190.0,0.9,61830.0,43000.0,113.0,430.0,143.79069767441862,5.5813953488372094,24.0,44.0
1900,4.0,8.0,192.0,0.9,51870.0,40100.0,113.0,401.0,129.35162094763092,5.486284289276807,22.0,45.0
1903,4.0,8.0,194.0,0.9,46350.0,39200.0,113.0,392.0,118.23979591836736,6.122448979591836,24.0,46.0
1901,4.0,8.0,192.0,0.92,40140.0,34200.0,113.0,342.0,117.3684210526316,5.847953216374268,20.0,45.0
2145,5.0,5.0,188.0,0.85,48910.0,41900.0,194.0,419.0,116.73031026252984,9.785202863961814,41.0,43.0
2154,5.0,5.0,194.0,0.85,50540.0,41300.0,194.0,413.0,122.3728813559322,8.716707021791766,36.0,46.0
2157,5.0,5.0,196.0,0.85,54360.0,47000.0,194.0,470.0,115.6595744680851,8.72340425531915,41.0,47.0
2160,5.0,5.0,198.0,0.85,43120.0,36800.0,194.0,368.0,117.17391304347828,8.967391304347826,33.0,48.0
2155,5.0,5.0,194.0,0.9,41120.0,31200.0,194.0,312.0,131.7948717948718,9.615384615384617,30.0,46.0
2385,5.0,8.0,180.0,0.85,49470.0,39100.0,194.0,391.0,126.52173913043478,8.439897698209718,33.0,39.0
2388,5.0,8.0,182.0,0.85,50420.0,38500.0,194.0,385.0,130.96103896103898,9.87012987012987,38.0,40.0
2391,5.0,8.0,184.0,0.85,56510.0,43100.0,194.0,431.0,131.11368909512765,9.280742459396752,40.0,41.0
2409,5.0,8.0,196.0,0.85,53040.0,40800.0,194.0,408.0,130.0,9.068627450980392,37.0,47.0
2326,5.0,8.0,140.0,0.9,71180.0,61200.0,194.0,612.0,116.30718954248368,8.823529411764707,54.0,19.0
2330,5.0,8.0,142.0,0.92,59700.0,50800.0,194.0,508.0,117.51968503937007,9.05511811023622,46.0,20.0
2342,5.0,8.0,150.0,0.92,50880.0,42900.0,194.0,429.0,118.6013986013986,8.391608391608392,36.0,24.0
3642,8.0,5.0,178.0,0.85,62740.0,48500.0,108.0,485.0,129.36082474226805,5.77319587628866,28.0,38.0
3678,8.0,5.0,202.0,0.85,56750.0,36800.0,108.0,368.0,154.21195652173913,7.065217391304348,26.0,50.0
3684,8.0,5.0,206.0,0.85,62200.0,41500.0,108.0,415.0,149.87951807228916,6.987951807228916,29.0,52.0
3705,8.0,5.0,220.0,0.85,59990.0,45700.0,108.0,457.0,131.2691466083151,6.564551422319474,30.0,59.0
3679,8.0,5.0,202.0,0.9,41860.0,27400.0,108.0,274.0,152.77372262773724,7.664233576642336,21.0,50.0
3685,8.0,5.0,206.0,0.9,39790.0,31500.0,108.0,315.0,126.31746031746032,7.301587301587302,23.0,52.0
3706,8.0,5.0,220.0,0.9,52900.0,36700.0,108.0,367.0,144.141689373297,7.084468664850137,26.0,59.0
3581,8.0,5.0,136.0,0.92,66660.0,55500.0,108.0,555.0,120.1081081081081,5.045045045045045,28.0,17.0
3635,8.0,5.0,172.0,0.92,41060.0,34500.0,108.0,345.0,119.0144927536232,6.956521739130435,24.0,35.0
