,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,180.0,0.85,30770.0,20300.0,68125.0,203.0,151.57635467980296,16.25615763546798,33.0
1,3.0,8.0,252.0,0.85,12100.0,17000.0,68125.0,170.0,71.17647058823529,5.88235294117647,10.0
2,5.0,5.0,138.0,0.9,31320.0,25900.0,68125.0,259.0,120.92664092664091,12.355212355212355,32.0
3,8.0,5.0,242.0,0.9,22590.0,16700.0,68125.0,167.0,135.2694610778443,7.784431137724551,13.0
4,9.0,8.0,212.0,0.9,10440.0,11700.0,68125.0,117.0,89.23076923076924,5.982905982905983,7.0
5,10.0,8.0,198.0,0.85,20320.0,20100.0,68125.0,201.0,101.09452736318407,5.970149253731343,12.0
6,11.0,5.0,180.0,0.92,10960.0,13000.0,68125.0,130.0,84.3076923076923,4.615384615384616,6.0
7,12.0,5.0,200.0,0.92,9760.0,12000.0,68125.0,120.0,81.33333333333333,8.333333333333332,10.0
8,13.0,5.0,260.0,0.85,17710.0,14200.0,68125.0,142.0,124.71830985915493,9.15492957746479,13.0
9,14.0,5.0,186.0,0.92,13960.0,16800.0,68125.0,168.0,83.0952380952381,5.952380952380952,10.0
10,16.0,8.0,168.0,0.92,8620.0,8200.0,68125.0,82.0,105.1219512195122,6.097560975609756,5.0
11,21.0,5.0,254.0,0.92,3780.0,8800.0,68125.0,88.0,42.95454545454545,5.681818181818182,5.0
12,22.0,8.0,244.0,0.92,3860.0,8800.0,68125.0,88.0,43.86363636363637,5.681818181818182,5.0
