,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,180.0,0.85,54770.0,42300.0,259.0,423.0,129.47990543735224,14.420803782505912,61.0
1,3.0,8.0,252.0,0.85,45190.0,33700.0,148.0,337.0,134.09495548961425,10.089020771513352,34.0
2,5.0,5.0,138.0,0.9,63970.0,52700.0,171.0,527.0,121.38519924098672,8.72865275142315,46.0
3,8.0,5.0,242.0,0.9,44620.0,36000.0,103.0,360.0,123.94444444444443,6.111111111111111,22.0
4,9.0,8.0,212.0,0.9,25270.0,20100.0,135.0,201.0,125.72139303482588,10.945273631840797,22.0
5,10.0,8.0,198.0,0.85,54700.0,38800.0,122.0,388.0,140.979381443299,7.474226804123711,29.0
6,11.0,5.0,180.0,0.92,47630.0,32900.0,88.0,329.0,144.7720364741641,6.68693009118541,22.0
7,12.0,5.0,200.0,0.92,32760.0,27100.0,74.0,271.0,120.88560885608857,6.642066420664207,18.0
8,13.0,5.0,260.0,0.85,43310.0,25800.0,88.0,258.0,167.86821705426357,6.976744186046512,18.0
9,14.0,5.0,186.0,0.92,47340.0,34100.0,77.0,341.0,138.82697947214075,5.571847507331378,19.0
10,16.0,8.0,168.0,0.92,37520.0,19500.0,58.0,195.0,192.4102564102564,6.153846153846154,12.0
11,21.0,5.0,254.0,0.92,27450.0,16900.0,83.0,169.0,162.42603550295857,7.6923076923076925,13.0
12,22.0,8.0,244.0,0.92,28390.0,19800.0,67.0,198.0,143.3838383838384,7.575757575757576,15.0
