,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
129,1.0,5.0,188.0,0.85,44580.0,36800.0,259.0,368.0,121.14130434782608,13.043478260869565,48.0,43.0
144,1.0,5.0,198.0,0.85,38290.0,33200.0,259.0,332.0,115.33132530120484,14.156626506024098,47.0,48.0
147,1.0,5.0,200.0,0.85,47550.0,39600.0,259.0,396.0,120.07575757575756,13.636363636363637,54.0,49.0
165,1.0,5.0,212.0,0.85,38760.0,32000.0,259.0,320.0,121.125,14.6875,47.0,55.0
171,1.0,5.0,216.0,0.85,40690.0,33700.0,259.0,337.0,120.74183976261128,13.94658753709199,47.0,57.0
180,1.0,5.0,222.0,0.85,40050.0,29300.0,259.0,293.0,136.68941979522185,15.358361774744028,45.0,60.0
183,1.0,5.0,224.0,0.85,34460.0,28300.0,259.0,283.0,121.76678445229685,14.13427561837456,40.0,61.0
186,1.0,5.0,226.0,0.85,39240.0,31000.0,259.0,310.0,126.58064516129032,14.516129032258066,45.0,62.0
192,1.0,5.0,230.0,0.85,39440.0,33800.0,259.0,338.0,116.68639053254437,13.313609467455622,45.0,64.0
91,1.0,5.0,162.0,0.9,47610.0,37900.0,259.0,379.0,125.62005277044854,14.24802110817942,54.0,30.0
118,1.0,5.0,180.0,0.9,39390.0,34100.0,259.0,341.0,115.5131964809384,13.48973607038123,46.0,39.0
369,1.0,8.0,180.0,0.85,54770.0,42300.0,259.0,423.0,129.47990543735224,14.420803782505912,61.0,39.0
384,1.0,8.0,190.0,0.85,39980.0,33700.0,259.0,337.0,118.63501483679526,13.94658753709199,47.0,44.0
399,1.0,8.0,200.0,0.85,45370.0,35900.0,259.0,359.0,126.37883008356545,15.598885793871869,56.0,49.0
405,1.0,8.0,204.0,0.85,36570.0,31300.0,259.0,313.0,116.8370607028754,13.738019169329077,43.0,51.0
408,1.0,8.0,206.0,0.85,37110.0,27200.0,259.0,272.0,136.43382352941177,16.176470588235293,44.0,52.0
411,1.0,8.0,208.0,0.85,36850.0,27300.0,259.0,273.0,134.981684981685,15.384615384615383,42.0,53.0
414,1.0,8.0,210.0,0.85,36930.0,27800.0,259.0,278.0,132.84172661870502,16.18705035971223,45.0,54.0
417,1.0,8.0,212.0,0.85,37480.0,28100.0,259.0,281.0,133.38078291814946,16.72597864768683,47.0,55.0
429,1.0,8.0,220.0,0.85,33970.0,28700.0,259.0,287.0,118.3623693379791,14.634146341463412,42.0,59.0
432,1.0,8.0,222.0,0.85,33400.0,27600.0,259.0,276.0,121.0144927536232,15.942028985507244,44.0,60.0
441,1.0,8.0,228.0,0.85,35860.0,27500.0,259.0,275.0,130.4,17.09090909090909,47.0,63.0
295,1.0,8.0,130.0,0.9,52970.0,45000.0,259.0,450.0,117.71111111111112,12.88888888888889,58.0,14.0
379,1.0,8.0,186.0,0.9,31800.0,26600.0,259.0,266.0,119.54887218045114,15.037593984962406,40.0,42.0
382,1.0,8.0,188.0,0.9,34110.0,28900.0,259.0,289.0,118.02768166089965,16.26297577854671,47.0,43.0
344,1.0,8.0,162.0,0.92,40240.0,29500.0,259.0,295.0,136.40677966101694,15.593220338983052,46.0,30.0
1137,3.0,5.0,188.0,0.85,45810.0,39700.0,148.0,397.0,115.3904282115869,7.8085642317380355,31.0,43.0
1141,3.0,5.0,190.0,0.9,40220.0,32400.0,148.0,324.0,124.1358024691358,8.333333333333332,27.0,44.0
1103,3.0,5.0,164.0,0.92,49460.0,40700.0,148.0,407.0,121.52334152334151,7.125307125307126,29.0,31.0
1133,3.0,5.0,184.0,0.92,36970.0,31700.0,148.0,317.0,116.62460567823342,8.832807570977918,28.0,41.0
1482,3.0,8.0,250.0,0.85,39710.0,29800.0,148.0,298.0,133.25503355704697,9.731543624161072,29.0,74.0
1485,3.0,8.0,252.0,0.85,45190.0,33700.0,148.0,337.0,134.09495548961425,10.089020771513352,34.0,75.0
1381,3.0,8.0,182.0,0.9,45210.0,37600.0,148.0,376.0,120.23936170212764,7.978723404255319,30.0,40.0
1396,3.0,8.0,192.0,0.9,42580.0,30600.0,148.0,306.0,139.15032679738562,9.15032679738562,28.0,45.0
1399,3.0,8.0,194.0,0.9,41850.0,34700.0,148.0,347.0,120.60518731988472,8.069164265129682,28.0,46.0
2049,5.0,5.0,124.0,0.85,97050.0,80800.0,171.0,808.0,120.11138613861384,7.5495049504950495,61.0,11.0
2071,5.0,5.0,138.0,0.9,63970.0,52700.0,171.0,527.0,121.38519924098672,8.72865275142315,46.0,18.0
3739,8.0,5.0,242.0,0.9,44620.0,36000.0,103.0,360.0,123.94444444444444,6.111111111111111,22.0,70.0
4447,9.0,8.0,210.0,0.9,28480.0,24300.0,135.0,243.0,117.20164609053498,10.2880658436214,25.0,54.0
4450,9.0,8.0,212.0,0.9,25270.0,20100.0,135.0,201.0,125.72139303482588,10.945273631840797,22.0,55.0
4625,10.0,5.0,160.0,0.92,51820.0,44000.0,122.0,440.0,117.77272727272728,7.272727272727272,32.0,29.0
4917,10.0,8.0,188.0,0.85,50980.0,42000.0,122.0,420.0,121.3809523809524,6.190476190476191,26.0,43.0
4932,10.0,8.0,198.0,0.85,54700.0,38800.0,122.0,388.0,140.979381443299,7.474226804123711,29.0,48.0
4938,10.0,8.0,202.0,0.85,41000.0,35600.0,122.0,356.0,115.1685393258427,7.303370786516854,26.0,50.0
4810,10.0,8.0,116.0,0.9,73290.0,60300.0,122.0,603.0,121.54228855721394,5.804311774461028,35.0,7.0
4906,10.0,8.0,180.0,0.9,53320.0,40700.0,122.0,407.0,131.007371007371,7.862407862407863,32.0,39.0
4936,10.0,8.0,200.0,0.9,36770.0,29400.0,122.0,294.0,125.06802721088437,6.802721088435375,20.0,49.0
4811,10.0,8.0,116.0,0.92,68920.0,54400.0,122.0,544.0,126.69117647058825,5.698529411764706,31.0,7.0
4907,10.0,8.0,180.0,0.92,42530.0,36300.0,122.0,363.0,117.1625344352617,7.7134986225895315,28.0,39.0
4937,10.0,8.0,200.0,0.92,35810.0,25500.0,122.0,255.0,140.4313725490196,7.450980392156863,19.0,49.0
