,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,的中数_std,利益率_std,score,number_i
11,1.0,8.0,180.0,0.85,54770.0,42300.0,259.0,423.0,129.47990543735224,14.420803782505912,61.0,2.66864715279594,0.7319354776376019,3.400582630433542,39.0
31,3.0,8.0,252.0,0.85,45190.0,33700.0,148.0,337.0,134.09495548961425,10.089020771513352,34.0,2.333333333333334,1.144179776902457,3.4775131102357912,75.0
36,5.0,5.0,138.0,0.9,63970.0,52700.0,171.0,527.0,121.38519924098672,8.72865275142315,46.0,-1.0,1.0,0.0,18.0
37,8.0,5.0,242.0,0.9,44620.0,36000.0,103.0,360.0,123.94444444444444,6.111111111111111,22.0,,,,70.0
39,9.0,8.0,212.0,0.9,25270.0,20100.0,135.0,201.0,125.72139303482588,10.945273631840797,22.0,-1.0,1.0000000000000018,1.7763568394002505e-15,55.0
42,10.0,8.0,198.0,0.85,54700.0,38800.0,122.0,388.0,140.979381443299,7.474226804123711,29.0,0.24313226954193218,1.7473334632333466,1.9904657327752788,48.0
51,11.0,5.0,180.0,0.92,47630.0,32900.0,88.0,329.0,144.7720364741641,6.68693009118541,22.0,-1.0,1.0000000000000007,6.661338147750939e-16,39.0
53,12.0,5.0,200.0,0.92,32760.0,27100.0,74.0,271.0,120.88560885608857,6.642066420664207,18.0,1.0,0.9999999999999913,1.9999999999999913,49.0
57,13.0,5.0,260.0,0.85,43310.0,25800.0,88.0,258.0,167.86821705426357,6.976744186046512,18.0,-0.29242919520104976,2.52154085091001,2.22911165570896,79.0
86,14.0,5.0,186.0,0.92,47340.0,34100.0,77.0,341.0,138.82697947214075,5.571847507331378,19.0,,,,42.0
87,16.0,8.0,168.0,0.92,37520.0,19500.0,58.0,195.0,192.4102564102564,6.153846153846154,12.0,1.0,1.0,2.0,33.0
97,21.0,5.0,254.0,0.92,27450.0,16900.0,83.0,169.0,162.42603550295857,7.6923076923076925,13.0,-0.8626621856275072,2.1386472652741664,1.2759850796466592,76.0
100,22.0,8.0,244.0,0.92,28390.0,19800.0,67.0,198.0,143.3838383838384,7.575757575757576,15.0,1.0,0.9999999999999993,1.9999999999999993,71.0
