,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,112.0,0.85,47720.0,41900.0,75211.0,419.0,113.89021479713604,9.54653937947494,40.0
1,2.0,8.0,146.0,0.92,24610.0,20600.0,75211.0,206.0,119.46601941747572,6.796116504854369,14.0
2,3.0,5.0,144.0,0.92,20030.0,29800.0,75211.0,298.0,67.21476510067113,5.369127516778524,16.0
3,5.0,5.0,128.0,0.85,42420.0,45400.0,75211.0,454.0,93.43612334801762,6.828193832599119,31.0
4,7.0,5.0,118.0,0.92,26470.0,32400.0,75211.0,324.0,81.69753086419753,5.555555555555555,18.0
5,8.0,8.0,124.0,0.92,29050.0,34200.0,75211.0,342.0,84.94152046783626,6.140350877192982,21.0
6,9.0,5.0,182.0,0.92,15030.0,24300.0,75211.0,243.0,61.85185185185185,5.761316872427984,14.0
7,10.0,8.0,262.0,0.92,2020.0,9200.0,75211.0,92.0,21.956521739130437,2.1739130434782608,2.0
8,13.0,8.0,212.0,0.9,17150.0,16400.0,75211.0,164.0,104.57317073170731,6.097560975609756,10.0
9,19.0,8.0,250.0,0.92,6120.0,8500.0,75211.0,85.0,72.0,4.705882352941177,4.0
10,20.0,8.0,258.0,0.9,3340.0,11400.0,75211.0,114.0,29.29824561403509,2.631578947368421,3.0
11,21.0,8.0,158.0,0.92,16880.0,15800.0,75211.0,158.0,106.83544303797467,10.126582278481013,16.0
