,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,8.0,112.0,0.85,120220.0,83500.0,213.0,835.0,143.9760479041916,10.658682634730539,89.0
1,2.0,8.0,146.0,0.92,59320.0,43100.0,157.0,431.0,137.6334106728538,8.816705336426914,38.0
2,3.0,5.0,144.0,0.92,68930.0,50100.0,128.0,501.0,137.58483033932137,7.584830339321358,38.0
3,5.0,5.0,128.0,0.85,118080.0,88900.0,163.0,889.0,132.8233970753656,7.986501687289089,71.0
4,7.0,5.0,118.0,0.92,94620.0,66400.0,102.0,664.0,142.5,6.626506024096386,44.0
5,8.0,8.0,124.0,0.92,114550.0,77900.0,103.0,779.0,147.04749679075738,5.5198973042362,43.0
6,9.0,5.0,182.0,0.92,68470.0,42800.0,112.0,428.0,159.97663551401868,7.710280373831775,33.0
7,10.0,8.0,262.0,0.92,21600.0,15800.0,91.0,158.0,136.70886075949366,10.126582278481013,16.0
8,13.0,8.0,212.0,0.9,65540.0,29900.0,78.0,299.0,219.19732441471572,8.02675585284281,24.0
9,19.0,8.0,250.0,0.92,62870.0,17400.0,46.0,174.0,361.32183908045977,5.747126436781609,10.0
10,20.0,8.0,258.0,0.9,51700.0,20800.0,37.0,208.0,248.5576923076923,5.769230769230769,12.0
11,21.0,8.0,158.0,0.92,51890.0,30700.0,83.0,307.0,169.02280130293158,6.514657980456026,20.0
