,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
174,1.0,5.0,218.0,0.85,70100.0,58400.0,213.0,584.0,120.03424657534248,9.76027397260274,57.0,58.0
28,1.0,5.0,120.0,0.9,106880.0,92800.0,213.0,928.0,115.17241379310346,8.943965517241379,83.0,9.0
38,1.0,5.0,126.0,0.92,102820.0,88400.0,213.0,884.0,116.31221719457014,8.823529411764707,78.0,12.0
300,1.0,8.0,134.0,0.85,117800.0,95800.0,213.0,958.0,122.96450939457202,8.977035490605429,86.0,16.0
390,1.0,8.0,194.0,0.85,71280.0,58200.0,213.0,582.0,122.47422680412372,10.13745704467354,59.0,46.0
399,1.0,8.0,200.0,0.85,80400.0,60100.0,213.0,601.0,133.77703826955073,9.983361064891849,60.0,49.0
486,1.0,8.0,258.0,0.85,54560.0,47100.0,213.0,471.0,115.83864118895966,9.341825902335456,44.0,78.0
492,1.0,8.0,262.0,0.85,53830.0,42300.0,213.0,423.0,127.25768321513004,9.219858156028367,39.0,80.0
495,1.0,8.0,264.0,0.85,56230.0,45900.0,213.0,459.0,122.50544662309368,9.803921568627452,45.0,81.0
298,1.0,8.0,132.0,0.9,81430.0,69500.0,213.0,695.0,117.16546762589928,9.640287769784171,67.0,15.0
301,1.0,8.0,134.0,0.9,106780.0,84600.0,213.0,846.0,126.21749408983452,9.219858156028367,78.0,16.0
391,1.0,8.0,194.0,0.9,61070.0,48700.0,213.0,487.0,125.40041067761808,10.26694045174538,50.0,46.0
400,1.0,8.0,200.0,0.9,72980.0,52100.0,213.0,521.0,140.07677543186182,10.36468330134357,54.0,49.0
403,1.0,8.0,202.0,0.9,65130.0,55400.0,213.0,554.0,117.56317689530688,9.927797833935015,55.0,50.0
445,1.0,8.0,230.0,0.9,56690.0,47600.0,213.0,476.0,119.0966386554622,9.243697478991598,44.0,64.0
493,1.0,8.0,262.0,0.9,49480.0,34600.0,213.0,346.0,143.0057803468208,10.404624277456648,36.0,80.0
496,1.0,8.0,264.0,0.9,48650.0,39600.0,213.0,396.0,122.85353535353536,9.595959595959595,38.0,81.0
299,1.0,8.0,132.0,0.92,77490.0,64400.0,213.0,644.0,120.32608695652172,9.782608695652174,63.0,15.0
302,1.0,8.0,134.0,0.92,105960.0,79800.0,213.0,798.0,132.78195488721803,9.649122807017545,77.0,16.0
401,1.0,8.0,200.0,0.92,70420.0,48900.0,213.0,489.0,144.0081799591002,10.633946830265849,52.0,49.0
494,1.0,8.0,262.0,0.92,47990.0,32200.0,213.0,322.0,149.03726708074535,10.869565217391305,35.0,80.0
830,2.0,8.0,150.0,0.92,86180.0,73700.0,157.0,737.0,116.93351424694708,7.191316146540028,53.0,24.0
833,2.0,8.0,152.0,0.92,77800.0,65400.0,157.0,654.0,118.96024464831804,7.339449541284404,48.0,25.0
1014,3.0,5.0,106.0,0.85,151850.0,121300.0,128.0,1213.0,125.18549051937345,6.265457543281121,76.0,2.0
1059,3.0,5.0,136.0,0.85,118190.0,101000.0,128.0,1010.0,117.019801980198,5.742574257425743,58.0,17.0
1062,3.0,5.0,138.0,0.85,109670.0,95100.0,128.0,951.0,115.32071503680336,5.573080967402734,53.0,18.0
1224,3.0,5.0,246.0,0.85,72230.0,51400.0,128.0,514.0,140.52529182879377,6.614785992217899,34.0,72.0
1015,3.0,5.0,106.0,0.9,142200.0,110000.0,128.0,1100.0,129.27272727272728,6.363636363636363,70.0,2.0
1060,3.0,5.0,136.0,0.9,112440.0,92300.0,128.0,923.0,121.8201516793066,6.067172264355363,56.0,17.0
1063,3.0,5.0,138.0,0.9,100920.0,84700.0,128.0,847.0,119.1499409681228,5.548996458087367,47.0,18.0
1129,3.0,5.0,182.0,0.9,88030.0,75300.0,128.0,753.0,116.90571049136788,6.241699867197875,47.0,40.0
1198,3.0,5.0,228.0,0.9,56850.0,48500.0,128.0,485.0,117.21649484536084,5.77319587628866,28.0,63.0
1225,3.0,5.0,246.0,0.9,62120.0,44700.0,128.0,447.0,138.9709172259508,6.711409395973154,30.0,72.0
1237,3.0,5.0,254.0,0.9,63550.0,53700.0,128.0,537.0,118.34264432029796,6.517690875232775,35.0,76.0
1016,3.0,5.0,106.0,0.92,133200.0,103900.0,128.0,1039.0,128.20019249278153,6.448508180943215,67.0,2.0
1064,3.0,5.0,138.0,0.92,92170.0,79800.0,128.0,798.0,115.50125313283208,5.513784461152882,44.0,18.0
1130,3.0,5.0,182.0,0.92,86530.0,70500.0,128.0,705.0,122.73758865248227,6.382978723404255,45.0,40.0
1199,3.0,5.0,228.0,0.92,55600.0,45000.0,128.0,450.0,123.55555555555556,5.777777777777778,26.0,63.0
1226,3.0,5.0,246.0,0.92,48050.0,41300.0,128.0,413.0,116.34382566585955,6.2953995157385,26.0,72.0
1238,3.0,5.0,254.0,0.92,63550.0,50400.0,128.0,504.0,126.09126984126983,6.944444444444445,35.0,76.0
1308,3.0,8.0,134.0,0.85,115420.0,92200.0,128.0,922.0,125.18438177874188,6.29067245119306,58.0,16.0
1323,3.0,8.0,144.0,0.85,113770.0,96700.0,128.0,967.0,117.6525336091003,5.687693898655636,55.0,21.0
1434,3.0,8.0,218.0,0.85,82150.0,60200.0,128.0,602.0,136.46179401993354,6.64451827242525,40.0,58.0
1449,3.0,8.0,228.0,0.85,66180.0,50700.0,128.0,507.0,130.53254437869825,6.903353057199212,35.0,63.0
1488,3.0,8.0,254.0,0.85,63880.0,52200.0,128.0,522.0,122.37547892720306,6.704980842911877,35.0,76.0
1491,3.0,8.0,256.0,0.85,60720.0,50500.0,128.0,505.0,120.23762376237624,6.336633663366337,32.0,77.0
1309,3.0,8.0,134.0,0.9,100380.0,81600.0,128.0,816.0,123.01470588235294,6.372549019607843,52.0,16.0
1450,3.0,8.0,228.0,0.9,52680.0,44500.0,128.0,445.0,118.38202247191012,6.741573033707865,30.0,63.0
1459,3.0,8.0,234.0,0.9,56420.0,45200.0,128.0,452.0,124.82300884955752,7.079646017699115,32.0,66.0
1504,3.0,8.0,264.0,0.9,53930.0,41200.0,128.0,412.0,130.89805825242718,6.796116504854369,28.0,81.0
1310,3.0,8.0,134.0,0.92,100380.0,77000.0,128.0,770.0,130.36363636363637,6.753246753246753,52.0,16.0
1436,3.0,8.0,218.0,0.92,61200.0,50800.0,128.0,508.0,120.4724409448819,6.496062992125983,33.0,58.0
1451,3.0,8.0,228.0,0.92,52680.0,41600.0,128.0,416.0,126.63461538461536,7.211538461538461,30.0,63.0
1454,3.0,8.0,230.0,0.92,51310.0,44100.0,128.0,441.0,116.34920634920636,5.895691609977324,26.0,64.0
1457,3.0,8.0,232.0,0.92,52250.0,44600.0,128.0,446.0,117.15246636771302,6.278026905829597,28.0,65.0
1460,3.0,8.0,234.0,0.92,54810.0,41700.0,128.0,417.0,131.4388489208633,7.194244604316546,30.0,66.0
1505,3.0,8.0,264.0,0.92,53930.0,38400.0,128.0,384.0,140.44270833333334,7.291666666666667,28.0,81.0
2073,5.0,5.0,140.0,0.85,139600.0,111100.0,163.0,1111.0,125.65256525652566,7.020702070207021,78.0,19.0
2076,5.0,5.0,142.0,0.85,118720.0,100200.0,163.0,1002.0,118.48303393213573,6.58682634730539,66.0,20.0
2091,5.0,5.0,152.0,0.85,111340.0,96100.0,163.0,961.0,115.85848074921957,6.763787721123829,65.0,25.0
2115,5.0,5.0,168.0,0.85,112380.0,85600.0,163.0,856.0,131.28504672897196,7.242990654205607,62.0,33.0
2118,5.0,5.0,170.0,0.85,93350.0,78000.0,163.0,780.0,119.67948717948718,6.923076923076923,54.0,34.0
2127,5.0,5.0,176.0,0.85,94380.0,73000.0,163.0,730.0,129.28767123287673,6.849315068493151,50.0,37.0
2151,5.0,5.0,192.0,0.85,76660.0,64700.0,163.0,647.0,118.4853168469861,6.0278207109737245,39.0,45.0
2166,5.0,5.0,202.0,0.85,88110.0,73800.0,163.0,738.0,119.39024390243902,7.046070460704606,52.0,50.0
2169,5.0,5.0,204.0,0.85,88810.0,76000.0,163.0,760.0,116.85526315789474,7.368421052631578,56.0,51.0
2178,5.0,5.0,210.0,0.85,103230.0,74200.0,163.0,742.0,139.12398921832886,6.873315363881402,51.0,54.0
2181,5.0,5.0,212.0,0.85,81060.0,68200.0,163.0,682.0,118.85630498533725,6.89149560117302,47.0,55.0
2223,5.0,5.0,240.0,0.85,79030.0,65600.0,163.0,656.0,120.47256097560977,7.164634146341463,47.0,69.0
2226,5.0,5.0,242.0,0.85,65350.0,53500.0,163.0,535.0,122.14953271028035,7.102803738317758,38.0,70.0
2235,5.0,5.0,248.0,0.85,64880.0,54800.0,163.0,548.0,118.3941605839416,6.751824817518248,37.0,73.0
2238,5.0,5.0,250.0,0.85,65090.0,53300.0,163.0,533.0,122.12007504690432,6.378986866791744,34.0,74.0
2241,5.0,5.0,252.0,0.85,65100.0,54500.0,163.0,545.0,119.44954128440368,7.339449541284404,40.0,75.0
2250,5.0,5.0,258.0,0.85,56220.0,47700.0,163.0,477.0,117.86163522012578,6.289308176100629,30.0,78.0
2074,5.0,5.0,140.0,0.9,126260.0,100600.0,163.0,1006.0,125.50695825049702,7.256461232604374,73.0,19.0
2077,5.0,5.0,142.0,0.9,112770.0,89800.0,163.0,898.0,125.57906458797328,6.904231625835189,62.0,20.0
2092,5.0,5.0,152.0,0.9,103080.0,84600.0,163.0,846.0,121.84397163120568,7.210401891252956,61.0,25.0
2116,5.0,5.0,168.0,0.9,100860.0,76100.0,163.0,761.0,132.53613666228648,7.35873850197109,56.0,33.0
2122,5.0,5.0,172.0,0.9,77110.0,66800.0,163.0,668.0,115.43413173652696,7.18562874251497,48.0,35.0
2128,5.0,5.0,176.0,0.9,79720.0,64800.0,163.0,648.0,123.0246913580247,6.790123456790123,44.0,37.0
2131,5.0,5.0,178.0,0.9,82840.0,68900.0,163.0,689.0,120.2322206095791,7.111756168359943,49.0,38.0
2149,5.0,5.0,190.0,0.9,71990.0,59500.0,163.0,595.0,120.99159663865548,6.722689075630252,40.0,44.0
2167,5.0,5.0,202.0,0.9,83000.0,66600.0,163.0,666.0,124.62462462462464,7.207207207207207,48.0,50.0
2170,5.0,5.0,204.0,0.9,82450.0,67500.0,163.0,675.0,122.14814814814814,7.703703703703704,52.0,51.0
2179,5.0,5.0,210.0,0.9,95660.0,66500.0,163.0,665.0,143.84962406015038,7.218045112781955,48.0,54.0
2182,5.0,5.0,212.0,0.9,73710.0,59800.0,163.0,598.0,123.2608695652174,7.190635451505016,43.0,55.0
2191,5.0,5.0,218.0,0.9,67280.0,56700.0,163.0,567.0,118.65961199294532,7.4074074074074066,42.0,58.0
2206,5.0,5.0,228.0,0.9,68840.0,58200.0,163.0,582.0,118.28178694158076,7.216494845360824,42.0,63.0
2224,5.0,5.0,240.0,0.9,74190.0,57300.0,163.0,573.0,129.47643979057594,7.504363001745201,43.0,69.0
2227,5.0,5.0,242.0,0.9,62420.0,46900.0,163.0,469.0,133.09168443496802,7.675906183368871,36.0,70.0
2233,5.0,5.0,246.0,0.9,53850.0,46400.0,163.0,464.0,116.05603448275863,7.974137931034483,37.0,72.0
2236,5.0,5.0,248.0,0.9,57320.0,47000.0,163.0,470.0,121.95744680851064,7.234042553191489,34.0,73.0
2251,5.0,5.0,258.0,0.9,48160.0,41200.0,163.0,412.0,116.89320388349516,6.310679611650485,26.0,78.0
2257,5.0,5.0,262.0,0.9,52480.0,43400.0,163.0,434.0,120.9216589861751,8.525345622119817,37.0,80.0
2075,5.0,5.0,140.0,0.92,121550.0,94700.0,163.0,947.0,128.35269271383316,7.286166842661035,69.0,19.0
2078,5.0,5.0,142.0,0.92,108340.0,82300.0,163.0,823.0,131.64034021871203,7.168894289185905,59.0,20.0
2117,5.0,5.0,168.0,0.92,93550.0,71000.0,163.0,710.0,131.76056338028167,7.323943661971831,52.0,33.0
2129,5.0,5.0,176.0,0.92,71300.0,61300.0,163.0,613.0,116.3132137030995,6.688417618270799,41.0,37.0
2150,5.0,5.0,190.0,0.92,71990.0,55400.0,163.0,554.0,129.94584837545128,7.220216606498194,40.0,44.0
2153,5.0,5.0,192.0,0.92,63290.0,52800.0,163.0,528.0,119.86742424242424,6.628787878787879,35.0,45.0
2159,5.0,5.0,196.0,0.92,73460.0,63500.0,163.0,635.0,115.68503937007874,7.244094488188976,46.0,47.0
2168,5.0,5.0,202.0,0.92,78670.0,62000.0,163.0,620.0,126.88709677419354,7.258064516129033,45.0,50.0
2171,5.0,5.0,204.0,0.92,79490.0,63900.0,163.0,639.0,124.39749608763692,7.82472613458529,50.0,51.0
2180,5.0,5.0,210.0,0.92,87320.0,63500.0,163.0,635.0,137.51181102362204,7.086614173228346,45.0,54.0
