,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数
0,1.0,5.0,102.0,0.85,119410.0,127700.0,213.0,1277.0,93.5082223962412,7.595927956147221,97.0
1,1.0,5.0,102.0,0.9,103050.0,116300.0,213.0,1163.0,88.60705073086844,7.308684436801376,85.0
2,1.0,5.0,102.0,0.92,102240.0,110900.0,213.0,1109.0,92.19116321009919,7.57439134355275,84.0
3,1.0,5.0,104.0,0.85,99910.0,116400.0,213.0,1164.0,85.83333333333333,7.0446735395189,82.0
4,1.0,5.0,104.0,0.9,82400.0,105200.0,213.0,1052.0,78.32699619771863,6.844106463878327,72.0
5,1.0,5.0,104.0,0.92,77630.0,99600.0,213.0,996.0,77.9417670682731,6.827309236947792,68.0
6,1.0,5.0,106.0,0.85,134840.0,134500.0,213.0,1345.0,100.25278810408922,7.5836431226765795,102.0
7,1.0,5.0,106.0,0.9,125900.0,122700.0,213.0,1227.0,102.60798696006519,7.579462102689487,93.0
8,1.0,5.0,106.0,0.92,125240.0,117300.0,213.0,1173.0,106.76896845694799,7.8431372549019605,92.0
9,1.0,5.0,108.0,0.85,114180.0,121900.0,213.0,1219.0,93.66694011484825,7.629204265791632,93.0
10,1.0,5.0,108.0,0.9,107590.0,112700.0,213.0,1127.0,95.46583850931677,7.897071872227151,89.0
11,1.0,5.0,108.0,0.92,104190.0,107200.0,213.0,1072.0,97.19216417910448,7.929104477611941,85.0
12,1.0,5.0,110.0,0.85,117500.0,117000.0,213.0,1170.0,100.42735042735043,7.863247863247863,92.0
13,1.0,5.0,110.0,0.9,109270.0,107500.0,213.0,1075.0,101.64651162790696,8.093023255813954,87.0
14,1.0,5.0,110.0,0.92,106110.0,102700.0,213.0,1027.0,103.3203505355404,8.179162609542356,84.0
15,1.0,5.0,112.0,0.85,124700.0,128800.0,213.0,1288.0,96.8167701863354,7.453416149068323,96.0
16,1.0,5.0,112.0,0.9,120110.0,116800.0,213.0,1168.0,102.83390410958904,8.047945205479452,94.0
17,1.0,5.0,112.0,0.92,114410.0,111300.0,213.0,1113.0,102.79424977538186,7.996406109613657,89.0
18,1.0,5.0,114.0,0.85,119420.0,117400.0,213.0,1174.0,101.7206132879046,7.836456558773425,92.0
19,1.0,5.0,114.0,0.9,113410.0,107000.0,213.0,1070.0,105.99065420560747,8.037383177570094,86.0
20,1.0,5.0,114.0,0.92,107440.0,101400.0,213.0,1014.0,105.95660749506904,8.086785009861932,82.0
21,1.0,5.0,116.0,0.85,99280.0,108700.0,213.0,1087.0,91.33394664213431,7.451701931922723,81.0
22,1.0,5.0,116.0,0.9,97790.0,98200.0,213.0,982.0,99.58248472505092,8.04480651731161,79.0
23,1.0,5.0,116.0,0.92,93150.0,92500.0,213.0,925.0,100.7027027027027,8.108108108108109,75.0
24,1.0,5.0,118.0,0.85,98290.0,112400.0,213.0,1124.0,87.44661921708186,6.93950177935943,78.0
25,1.0,5.0,118.0,0.9,91220.0,100300.0,213.0,1003.0,90.94715852442673,7.178464606181456,72.0
26,1.0,5.0,118.0,0.92,88250.0,95600.0,213.0,956.0,92.31171548117155,7.217573221757322,69.0
27,1.0,5.0,120.0,0.85,115840.0,102800.0,213.0,1028.0,112.68482490272373,8.657587548638132,89.0
28,1.0,5.0,120.0,0.9,106880.0,92800.0,213.0,928.0,115.17241379310346,8.943965517241379,83.0
29,1.0,5.0,120.0,0.92,104620.0,86700.0,213.0,867.0,120.66897347174164,9.342560553633218,81.0
30,1.0,5.0,122.0,0.85,110830.0,105100.0,213.0,1051.0,105.45195052331113,7.802093244529019,82.0
31,1.0,5.0,122.0,0.9,98480.0,93500.0,213.0,935.0,105.32620320855615,7.807486631016043,73.0
32,1.0,5.0,122.0,0.92,89410.0,87300.0,213.0,873.0,102.41695303550972,7.789232531500573,68.0
33,1.0,5.0,124.0,0.85,103810.0,94200.0,213.0,942.0,110.20169851380042,8.9171974522293,84.0
34,1.0,5.0,124.0,0.9,87150.0,82700.0,213.0,827.0,105.38089480048367,8.585247883917775,71.0
35,1.0,5.0,124.0,0.92,82130.0,78700.0,213.0,787.0,104.35832274459975,8.513341804320202,67.0
36,1.0,5.0,126.0,0.85,117010.0,104700.0,213.0,1047.0,111.75740210124164,8.595988538681947,90.0
37,1.0,5.0,126.0,0.9,107400.0,93400.0,213.0,934.0,114.98929336188436,8.67237687366167,81.0
38,1.0,5.0,126.0,0.92,102820.0,88400.0,213.0,884.0,116.31221719457014,8.823529411764707,78.0
39,1.0,5.0,128.0,0.85,102180.0,95700.0,213.0,957.0,106.77115987460814,8.359456635318704,80.0
40,1.0,5.0,128.0,0.9,94920.0,85600.0,213.0,856.0,110.88785046728972,8.528037383177569,73.0
41,1.0,5.0,128.0,0.92,91390.0,81200.0,213.0,812.0,112.54926108374383,8.497536945812808,69.0
42,1.0,5.0,130.0,0.85,91210.0,93700.0,213.0,937.0,97.34258271077908,8.32443970117396,78.0
43,1.0,5.0,130.0,0.9,77340.0,84200.0,213.0,842.0,91.85273159144893,8.432304038004752,71.0
44,1.0,5.0,130.0,0.92,73520.0,79400.0,213.0,794.0,92.59445843828715,8.564231738035264,68.0
45,1.0,5.0,132.0,0.85,113790.0,95100.0,213.0,951.0,119.65299684542587,8.937960042060988,85.0
46,1.0,5.0,132.0,0.9,107940.0,86000.0,213.0,860.0,125.51162790697674,9.41860465116279,81.0
47,1.0,5.0,132.0,0.92,104290.0,81500.0,213.0,815.0,127.96319018404907,9.570552147239264,78.0
48,1.0,5.0,134.0,0.85,92050.0,95100.0,213.0,951.0,96.79284963196635,7.781282860147214,74.0
49,1.0,5.0,134.0,0.9,85790.0,85200.0,213.0,852.0,100.6924882629108,7.981220657276995,68.0
50,1.0,5.0,134.0,0.92,80150.0,79100.0,213.0,791.0,101.32743362831857,8.091024020227561,64.0
51,1.0,5.0,136.0,0.85,81550.0,89800.0,213.0,898.0,90.81291759465479,7.2383073496659245,65.0
52,1.0,5.0,136.0,0.9,75740.0,80800.0,213.0,808.0,93.73762376237624,7.673267326732673,62.0
53,1.0,5.0,136.0,0.92,75740.0,77300.0,213.0,773.0,97.98188874514877,8.020698576972833,62.0
54,1.0,5.0,138.0,0.85,96030.0,93100.0,213.0,931.0,103.14715359828142,7.626208378088077,71.0
55,1.0,5.0,138.0,0.9,86600.0,81000.0,213.0,810.0,106.91358024691357,7.530864197530865,61.0
56,1.0,5.0,138.0,0.92,86600.0,76500.0,213.0,765.0,113.20261437908496,7.973856209150326,61.0
57,1.0,5.0,140.0,0.85,99240.0,94100.0,213.0,941.0,105.46227417640807,9.139213602550477,86.0
58,1.0,5.0,140.0,0.9,94880.0,83500.0,213.0,835.0,113.62874251497006,9.70059880239521,81.0
59,1.0,5.0,140.0,0.92,88460.0,78500.0,213.0,785.0,112.68789808917197,9.681528662420384,76.0
60,1.0,5.0,142.0,0.85,63830.0,92300.0,213.0,923.0,69.15492957746478,6.825568797399784,63.0
61,1.0,5.0,142.0,0.9,52190.0,83200.0,213.0,832.0,62.72836538461538,6.971153846153847,58.0
62,1.0,5.0,142.0,0.92,50760.0,78400.0,213.0,784.0,64.74489795918367,7.142857142857142,56.0
63,1.0,5.0,144.0,0.85,78850.0,86200.0,213.0,862.0,91.47331786542924,7.192575406032482,62.0
64,1.0,5.0,144.0,0.9,74040.0,76300.0,213.0,763.0,97.03800786369594,7.601572739187418,58.0
65,1.0,5.0,144.0,0.92,71500.0,71500.0,213.0,715.0,100.0,7.8321678321678325,56.0
66,1.0,5.0,146.0,0.85,92010.0,92100.0,213.0,921.0,99.90228013029316,7.27470141150923,67.0
67,1.0,5.0,146.0,0.9,87860.0,85600.0,213.0,856.0,102.64018691588785,7.476635514018691,64.0
68,1.0,5.0,146.0,0.92,84100.0,80500.0,213.0,805.0,104.472049689441,7.453416149068323,60.0
69,1.0,5.0,148.0,0.85,95390.0,89600.0,213.0,896.0,106.46205357142857,7.924107142857142,71.0
70,1.0,5.0,148.0,0.9,80230.0,80000.0,213.0,800.0,100.2875,7.625,61.0
71,1.0,5.0,148.0,0.92,67500.0,75000.0,213.0,750.0,90.0,7.466666666666668,56.0
72,1.0,5.0,150.0,0.85,86830.0,87500.0,213.0,875.0,99.23428571428572,8.571428571428571,75.0
73,1.0,5.0,150.0,0.9,77040.0,77900.0,213.0,779.0,98.89602053915276,8.21566110397946,64.0
74,1.0,5.0,150.0,0.92,73480.0,74500.0,213.0,745.0,98.63087248322148,8.322147651006711,62.0
75,1.0,5.0,152.0,0.85,107010.0,92500.0,213.0,925.0,115.6864864864865,8.432432432432432,78.0
76,1.0,5.0,152.0,0.9,91160.0,82600.0,213.0,826.0,110.36319612590799,8.837772397094431,73.0
77,1.0,5.0,152.0,0.92,84830.0,77100.0,213.0,771.0,110.0259403372244,8.819714656290532,68.0
78,1.0,5.0,154.0,0.85,79340.0,87200.0,213.0,872.0,90.9862385321101,7.912844036697248,69.0
79,1.0,5.0,154.0,0.9,61410.0,76700.0,213.0,767.0,80.06518904823989,7.561929595827902,58.0
80,1.0,5.0,154.0,0.92,55590.0,73000.0,213.0,730.0,76.15068493150685,7.397260273972603,54.0
81,1.0,5.0,156.0,0.85,74100.0,78500.0,213.0,785.0,94.39490445859873,8.152866242038217,64.0
82,1.0,5.0,156.0,0.9,64650.0,69200.0,213.0,692.0,93.42485549132948,8.236994219653178,57.0
83,1.0,5.0,156.0,0.92,60100.0,64500.0,213.0,645.0,93.1782945736434,8.372093023255815,54.0
