,target_com,depth,target_per,threshold,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
159,1.0,5.0,208.0,0.85,86210.0,74000.0,335.0,740.0,116.5,13.378378378378375,99.0,53.0
198,1.0,5.0,234.0,0.85,73660.0,61300.0,335.0,613.0,120.163132137031,15.33442088091354,94.0,66.0
204,1.0,5.0,238.0,0.85,68050.0,56600.0,335.0,566.0,120.2296819787986,13.780918727915196,78.0,68.0
231,1.0,5.0,256.0,0.85,64870.0,56000.0,335.0,560.0,115.83928571428572,14.642857142857144,82.0,77.0
234,1.0,5.0,258.0,0.85,67330.0,55300.0,335.0,553.0,121.75406871609404,14.828209764918626,82.0,78.0
70,1.0,5.0,148.0,0.9,96270.0,82300.0,335.0,823.0,116.9744835965978,12.75820170109356,105.0,23.0
160,1.0,5.0,208.0,0.9,77230.0,65100.0,335.0,651.0,118.63287250384025,13.517665130568355,88.0,53.0
184,1.0,5.0,224.0,0.9,65440.0,56700.0,335.0,567.0,115.41446208112876,14.991181657848324,85.0,61.0
199,1.0,5.0,234.0,0.9,65870.0,53900.0,335.0,539.0,122.2077922077922,15.584415584415584,84.0,66.0
205,1.0,5.0,238.0,0.9,64150.0,50100.0,335.0,501.0,128.0439121756487,14.37125748502994,72.0,68.0
208,1.0,5.0,240.0,0.9,62190.0,53900.0,335.0,539.0,115.38033395176252,13.91465677179963,75.0,69.0
211,1.0,5.0,242.0,0.9,62890.0,53600.0,335.0,536.0,117.3320895522388,16.044776119402986,86.0,70.0
232,1.0,5.0,256.0,0.9,57580.0,49300.0,335.0,493.0,116.79513184584178,14.60446247464503,72.0,77.0
235,1.0,5.0,258.0,0.9,56790.0,48600.0,335.0,486.0,116.85185185185183,15.020576131687244,73.0,78.0
71,1.0,5.0,148.0,0.92,96270.0,78600.0,335.0,786.0,122.48091603053436,13.358778625954198,105.0,23.0
161,1.0,5.0,208.0,0.92,73920.0,62000.0,335.0,620.0,119.2258064516129,13.709677419354838,85.0,53.0
185,1.0,5.0,224.0,0.92,61510.0,53300.0,335.0,533.0,115.4033771106942,14.821763602251409,79.0,61.0
200,1.0,5.0,234.0,0.92,63180.0,50500.0,335.0,505.0,125.10891089108912,15.84158415841584,80.0,66.0
206,1.0,5.0,238.0,0.92,57040.0,46400.0,335.0,464.0,122.93103448275862,14.870689655172416,69.0,68.0
212,1.0,5.0,242.0,0.92,61600.0,49900.0,335.0,499.0,123.44689378757514,16.83366733466934,84.0,70.0
236,1.0,5.0,258.0,0.92,54180.0,44800.0,335.0,448.0,120.9375,15.848214285714285,71.0,78.0
441,1.0,8.0,228.0,0.85,66390.0,56800.0,335.0,568.0,116.8838028169014,15.316901408450704,87.0,63.0
442,1.0,8.0,228.0,0.9,57870.0,49900.0,335.0,499.0,115.97194388777554,15.831663326653306,79.0,63.0
457,1.0,8.0,238.0,0.9,62520.0,52800.0,335.0,528.0,118.4090909090909,14.772727272727272,78.0,68.0
443,1.0,8.0,228.0,0.92,55670.0,45900.0,335.0,459.0,121.28540305010893,16.33986928104575,75.0,63.0
458,1.0,8.0,238.0,0.92,58230.0,47700.0,335.0,477.0,122.07547169811322,15.09433962264151,72.0,68.0
615,2.0,5.0,176.0,0.85,92940.0,77100.0,228.0,771.0,120.54474708171206,8.300907911802852,64.0,37.0
526,2.0,5.0,116.0,0.9,113850.0,96100.0,228.0,961.0,118.4703433922997,7.388137356919875,71.0,7.0
614,2.0,5.0,174.0,0.92,72200.0,58900.0,228.0,589.0,122.58064516129032,8.828522920203735,52.0,36.0
986,2.0,8.0,254.0,0.92,50790.0,37900.0,228.0,379.0,134.01055408970976,9.234828496042216,35.0,76.0
4279,9.0,5.0,266.0,0.9,60580.0,49100.0,159.0,491.0,123.38085539714866,6.313645621181263,31.0,82.0
4280,9.0,5.0,266.0,0.92,60580.0,46000.0,159.0,460.0,131.69565217391303,6.739130434782608,31.0,82.0
4506,9.0,8.0,250.0,0.85,58380.0,47200.0,159.0,472.0,123.6864406779661,7.838983050847458,37.0,74.0
4504,9.0,8.0,248.0,0.9,50550.0,43700.0,159.0,437.0,115.675057208238,7.322654462242563,32.0,73.0
4507,9.0,8.0,250.0,0.9,51250.0,39600.0,159.0,396.0,129.41919191919192,8.080808080808081,32.0,74.0
4508,9.0,8.0,250.0,0.92,49960.0,37000.0,159.0,370.0,135.02702702702703,8.378378378378379,31.0,74.0
6443,13.0,8.0,196.0,0.92,79120.0,61300.0,91.0,613.0,129.07014681892332,5.220228384991843,32.0,47.0
10164,21.0,5.0,158.0,0.85,92310.0,76300.0,124.0,763.0,120.9829619921363,5.373525557011796,41.0,28.0
10167,21.0,5.0,160.0,0.85,110800.0,86400.0,124.0,864.0,128.24074074074073,5.902777777777778,51.0,29.0
10302,21.0,5.0,250.0,0.85,63660.0,52400.0,124.0,524.0,121.4885496183206,5.343511450381679,28.0,74.0
10305,21.0,5.0,252.0,0.85,69830.0,57400.0,124.0,574.0,121.65505226480838,6.620209059233449,38.0,75.0
10114,21.0,5.0,124.0,0.9,106270.0,92000.0,124.0,920.0,115.5108695652174,5.434782608695652,50.0,11.0
10117,21.0,5.0,126.0,0.9,111130.0,95700.0,124.0,957.0,116.12330198537096,5.329153605015674,51.0,12.0
10303,21.0,5.0,250.0,0.9,60800.0,45300.0,124.0,453.0,134.21633554083886,5.518763796909492,25.0,74.0
10306,21.0,5.0,252.0,0.9,67520.0,51600.0,124.0,516.0,130.85271317829458,7.170542635658915,37.0,75.0
10324,21.0,5.0,264.0,0.9,49200.0,36900.0,124.0,369.0,133.33333333333331,6.775067750677506,25.0,81.0
10112,21.0,5.0,122.0,0.92,114610.0,95300.0,124.0,953.0,120.2623294858342,5.246589716684155,50.0,10.0
10118,21.0,5.0,126.0,0.92,107170.0,90200.0,124.0,902.0,118.8137472283814,5.321507760532151,48.0,12.0
10184,21.0,5.0,170.0,0.92,97140.0,61800.0,124.0,618.0,157.18446601941747,5.825242718446602,36.0,34.0
10193,21.0,5.0,176.0,0.92,83640.0,56100.0,124.0,561.0,149.0909090909091,6.23885918003565,35.0,37.0
10196,21.0,5.0,178.0,0.92,68440.0,59400.0,124.0,594.0,115.21885521885524,5.05050505050505,30.0,38.0
10229,21.0,5.0,200.0,0.92,60030.0,51200.0,124.0,512.0,117.24609375,5.859375,30.0,49.0
10232,21.0,5.0,202.0,0.92,61670.0,51600.0,124.0,516.0,119.515503875969,6.007751937984496,31.0,50.0
10286,21.0,5.0,238.0,0.92,87980.0,49300.0,124.0,493.0,178.45841784989858,6.288032454361055,31.0,68.0
10304,21.0,5.0,250.0,0.92,60800.0,42400.0,124.0,424.0,143.39622641509433,5.89622641509434,25.0,74.0
10307,21.0,5.0,252.0,0.92,58690.0,48300.0,124.0,483.0,121.51138716356108,7.039337474120083,34.0,75.0
10325,21.0,5.0,264.0,0.92,49200.0,33800.0,124.0,338.0,145.5621301775148,7.396449704142012,25.0,81.0
10425,21.0,8.0,164.0,0.85,111900.0,77100.0,124.0,771.0,145.136186770428,5.966277561608301,46.0,31.0
10440,21.0,8.0,174.0,0.85,84220.0,65400.0,124.0,654.0,128.77675840978594,5.045871559633028,33.0,36.0
10443,21.0,8.0,176.0,0.85,94500.0,69400.0,124.0,694.0,136.1671469740634,5.043227665706052,35.0,37.0
10446,21.0,8.0,178.0,0.85,97700.0,77800.0,124.0,778.0,125.5784061696658,5.269922879177378,41.0,38.0
10548,21.0,8.0,246.0,0.85,74660.0,56200.0,124.0,562.0,132.84697508896798,5.338078291814947,30.0,72.0
10554,21.0,8.0,250.0,0.85,63970.0,54000.0,124.0,540.0,118.46296296296298,5.37037037037037,29.0,74.0
10557,21.0,8.0,252.0,0.85,64870.0,53300.0,124.0,533.0,121.70731707317071,6.00375234521576,32.0,75.0
10578,21.0,8.0,266.0,0.85,75480.0,47200.0,124.0,472.0,159.91525423728814,6.991525423728813,33.0,82.0
10414,21.0,8.0,156.0,0.9,85200.0,74000.0,124.0,740.0,115.13513513513512,5.135135135135135,38.0,27.0
10417,21.0,8.0,158.0,0.9,84390.0,70200.0,124.0,702.0,120.2136752136752,5.128205128205128,36.0,28.0
10444,21.0,8.0,176.0,0.9,83760.0,59600.0,124.0,596.0,140.53691275167785,5.5369127516778525,33.0,37.0
10447,21.0,8.0,178.0,0.9,87500.0,69200.0,124.0,692.0,126.44508670520231,5.057803468208093,35.0,38.0
10522,21.0,8.0,228.0,0.9,53660.0,42700.0,124.0,427.0,125.6674473067916,5.386416861826698,23.0,63.0
10555,21.0,8.0,250.0,0.9,58570.0,47100.0,124.0,471.0,124.35244161358813,5.7324840764331215,27.0,74.0
10558,21.0,8.0,252.0,0.9,59770.0,45100.0,124.0,451.0,132.52771618625275,5.986696230598669,27.0,75.0
10573,21.0,8.0,262.0,0.9,44260.0,37100.0,124.0,371.0,119.29919137466308,5.660377358490567,21.0,80.0
10579,21.0,8.0,266.0,0.9,68490.0,40800.0,124.0,408.0,167.86764705882354,6.862745098039216,28.0,82.0
10406,21.0,8.0,150.0,0.92,83620.0,68100.0,124.0,681.0,122.7900146842878,5.286343612334802,36.0,24.0
10418,21.0,8.0,158.0,0.92,83350.0,66800.0,124.0,668.0,124.7754491017964,5.239520958083832,35.0,28.0
10421,21.0,8.0,160.0,0.92,102640.0,71700.0,124.0,717.0,143.15202231520223,5.02092050209205,36.0,29.0
10448,21.0,8.0,178.0,0.92,83230.0,65400.0,124.0,654.0,127.26299694189602,5.045871559633028,33.0,38.0
10523,21.0,8.0,228.0,0.92,49960.0,39900.0,124.0,399.0,125.21303258145365,5.012531328320802,20.0,63.0
10556,21.0,8.0,250.0,0.92,53700.0,42100.0,124.0,421.0,127.55344418052258,5.463182897862233,23.0,74.0
10559,21.0,8.0,252.0,0.92,59770.0,41700.0,124.0,417.0,143.33333333333334,6.474820143884892,27.0,75.0
10574,21.0,8.0,262.0,0.92,44260.0,34900.0,124.0,349.0,126.81948424068769,6.017191977077363,21.0,80.0
10580,21.0,8.0,266.0,0.92,66660.0,38000.0,124.0,380.0,175.42105263157893,6.842105263157896,26.0,82.0
